خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
گذشته از این با گذار به خط روسی خطر برقراری ارتباط میان اقوام ترک‌تبار اتحاد شوروی و ترکیه و همچنین پیوند پارسی‌گویان این اتحادیه با هم‌زبانان برون‌مرزیشان هم خنثی می‌شد,гузашта аз ин бо гузор ба хатти русӣ хатари барқарории иртибот миёни ақвоми турктабори иттиҳоди шӯравию туркия ва ҳамчунин пайванди порсигӯёни ин иттиҳодия бо ҳамзабонони бурунмарзишон ҳам хунсо мешуд
اما تغییر دوبارۀ الفبا برای پارسی‌گویان شوروی به مثابۀ بازکنده شدن از ریشه‌ای بود که تازه می‌دواندند,аммо тағйири дубораи алифбо барои порсигӯёни шӯравӣ ба масобаи бозканда шудан аз решае буд ки тоза медавонданд
الفبای سیریلیکی که برای فارسی‌زبانان ساخته شد و اکنون با تلفیق واژه‌های پارسی و سیریلیک گاه پیریلیک خوانده می‌شود همۀ حرف و علامت الفبای روسی‌را دربر داشت افزون بر علامت‌هایی برای شش صدای ویژۀ پارسی,алифбои сириллике ки барои форсизабонон сохта шуд ва акнун бо талфиқи вожаҳои порсӣ ва сириллик гоҳ пириллик хонда мешавад ҳамаи ҳарфу ъаломати алифбои русиро дарбар дошт афзун бар ъаломатҳое барои шаш садои вежаи порсӣ
غ ای ق او هـح ج,ғ ӣ қ ӯ ҳ ҷ
این تغییر الفبا هم به مانند تغییر اولیه خودجوش نبود,ин тағйири алифбо ҳам ба монанди тағйири аввалия худҷӯш набуд
دستور مسکو بود و باید اجرا می‌شد,дастури маскав буд ва бояд иҷро мешуд
دوباره مردم بی‌سواد شدند و دگرباره لشکرهای محو بیسوادی در اقصی نقاط کشور به گردش افتادند,дубора мардум бесавод шуданд ва дигарбора лашкарҳои маҳви бесаводӣ дар ақсо-нуқоти кишвар ба гардиш уфтоданд
بعد از چند سال اعلام شد که مردم تاجیکستان صد درصد باسواد شده‌اند,баъд аз чанд сол эълом шуд ки мардуми тоҷикистон сад дарсад босавод шудаанд
در واقع باید سواد فارسی از دست می‌رفت تا سواد شوروی حاصل شود,дар воқеъ бояд саводи форсӣ аз даст мерафт то саводи шӯравӣ ҳосил шавад
لُبِّ سوادی که حاصل میشد همان حرفی بود که خاورشناسان شوروی ساخته بودند,лубби саводе ки ҳосил мешуд ҳамон ҳарфе буд ки ховаршиносони шӯравӣ сохта буданд
می‌شد آن علامت‌را فرا گرفت و به آثاری به این دبیره دست یافت که با خط مشی شوروی سازگاری تمام و کمال داشتند,мешуд он ъаломатро фаро гирифт ва ба осоре ба ин дабира даст ёфт ки бо хатти машйи шӯравӣ созгории тамому камол доштанд
این الفبا برای نگه داشتن پارسی‌گویان اتحاد شوروی در چارچوب عقیدتی شوروی طراحی شده بود,ин алифбо барои нигаҳ доштани порсигӯёни иттиҳоди шӯравӣ дар чорчӯби ъақидатии шӯравӣ тарроҳӣ шуда буд
با پذیرش الفبای پیریلیک کوچکترین ارتباطی هم که میان پارسی‌گویان شوروی و برون‌مرز وجود داشت گسسته شد,бо пазириши алифбои пириллик кӯчактарин иртиботе ҳам ки миёни порсигӯёни шӯравӣ ва бурунмарз вуҷуд дошт гусаста шуд
کنترل اتحاد شوروی بر دسترسی تاجیکان به آثار گذشتگانشان تا پایان عمر این امپراتوری ادامه داشت,кунтрули иттиҳоди шӯравӣ бар дастрасии тоҷикон ба осори гузаштагонашон то поёни ъумри ин импротурӣ идома дошт
مثلاً مثنوی معنوی مولوی برای کسانی که فقط خط پیریلیک بلد بودند اثری ناشناخته بود؛ از جمله برای خود من,масалан маснавии маънавӣ-и мавлавӣ барои касоне ки фақат хатти пириллик балад буданд асаре ношинохта буд аз ҷумла барои худи ман
نخستین باری که در نوجوانی توانستم با محتوای آن تاحدی آشنا شوم در اوان مرگ امپراتوری بود و آن هم به زبان روسی نه زبان اصلی,нахустин боре ки дар навҷавонӣ тавонистам бо муҳтавои он то ҳадде ошно шавам дар авони марги импротурӣ буд ва он ҳам ба забони русӣ на забони аслӣ
در سال پاره‌هایی از مثنوی معنوی تحت عنوان به ترجمۀ نعوم گرِبنِف منتشر شد و از آن راه بود که بسیاری از تاجیکان آسیای مرکزی پس از حدود یک قرن دوباره مولوی‌را شناختند,дар соли пораҳое аз маснавии маънавӣ таҳти ъунвони поэма о скрытом смысле ба тарҷумаи наъум гребнеф мунташир шуд ва аз он роҳ буд ки бисёре аз тоҷикони осиёи марказӣ пас аз ҳудуди як қарн дубора мавлавиро шинохтанд
اما مثنوی معنویِ کامل پنهان ماند تا شوروی فرو بپاشد و بعد به خط پیریلیک در شهر دوشنبه منتشر شود,аммо маснавии маънавӣ-и комил пинҳон монд то шӯравӣ фурӯ бипошад ва баъд ба хатти пириллик дар шаҳри душанбе мунташир шавад
پایان و ادامۀ امپراتوری,поён ва идомаи импротурӣ
با تحکیم مرزبندی سیاسی و فرهنگی شوروی میان پارسی‌گویان حوزۀ امپراتوری و هم‌زبانان برون‌مرزیِ آنها اعتماد به نفس شوروی بالا رفت و در سال کتاب صد رباعی خیام‌را به زبان روسی و به دو خط پارسی و پیریلیک منتشر کرد,бо таҳкими марзбандии сиёсию фарҳангии шӯравӣ миёни порсигӯёни ҳавзаи импротурӣ ва ҳамзабонони бурунмарзии онҳо эътимод ба нафси шӯравӣ боло рафт ва дар соли китоби сад рубоъӣ-и хайёмро ба забони русӣ ва ба ду хатти порсию пириллик мунташир кард
این از معدود مواردی بود که تاجیکان شوروی‌زاده‌ای چون من می‌توانستند با تطبیق و مقایسۀ متون پارسی و پیریلیک خط پارسی‌را تاحدی فرا بگیرند,ин аз маъдуди мавориде буд ки тоҷикони шӯравизодае чун ман метавонистанд бо татбиқу муқоисаи мутуни порсию пириллик хатти порсиро то ҳадде фаро бигиранд
صد رباعی عمر خیام چاپ انتشارات عرفان تاجیکستان نخستین آموزگار خط پارسی برای من و هزاران تن دیگر بود,сад рубоъӣ-и ъумари хайём чопи интишороти ирфон-и тоҷикистон нахустин омӯзгори хатти порсӣ барои ману ҳазорон тани дигар буд
چالش‌های روسی نوشتن و پارسی خواندن,чолишҳои русӣ нивиштану порсӣ хондан
اتحاد شوروی رفت اما مرده‌ریگ میراث آن باقی است,иттиҳоди шӯравӣ рафт аммо мурдарег мерос-и он боқист
اکنون هشتاد سال است که تاجیکانِ آسیای مرکزی پارسی‌را به خط روسی می‌نویسند و می‌خوانند,акнун ҳаштод сол аст ки тоҷикони осиёи марказӣ порсиро ба хатти русӣ менивисанду мехонанд
بسیاری به این پندارند که آشنایی تاجیکان با خط روسی باعث گشایش در راه رسیدن به علوم و هنرهای رایج در روسیه و غرب بوده است,бисёре ба ин пиндоранд ки ошноии тоҷикон бо хатти русӣ боъиси гушоиш дар роҳи расидан ба ъулуму ҳунарҳои роиҷ дар русияву ғарб будааст
و این بسیاری معمولاً روی هنرهایی چون اپرا و باله انگشت می‌گذارند که امروزه در تاجیکستان نسبتاً شکوفاست,ва ин бисёре маъмулан рӯи ҳунарҳое чун уперову боле ангушт мегузоранд ки имрӯза дар тоҷикистон нисбатан шукуфост
چه بسا پارسی‌گویانی که به این علوم و هنرهای غرب بدون تبدیل رسم‌الخط مادری خود به لاتین یا روسی رسیده‌اند,чи басо порсигӯёне ки ба ин ъулуму ҳунарҳои ғарб бидуни табдили расмулхатти модарии худ ба лотин ё русӣ расидаанд
به‌ویژه اینکه این علوم و هنرها مختص روس‌ها نبوده و از راه‌های دیگر هم می‌شد به آنها رسید,бавежа ин ки ин ъулуму ҳунарҳо мухтасси русҳо набуда ва аз роҳҳои дигар ҳам мешуд ба онҳо расид
به مانند سنگاپور که هرگز رسم‌الخطش روسی نشد اما اکنون تماشاخانۀ اپرا و بالۀ آن شهرۀ آفاق است,ба монанди сангопур ки ҳаргиз расмулхатташ русӣ нашуд аммо акнун тамошохонаи уперо ва болеи он шуҳраи офоқ аст
آشنایی با آثار نویسندگان برجستۀ روس هم نمی‌تواند ضایعۀ دبیرۀ پارسی‌را برای تاجیکان شوروی پیشین جبران کند,ошноӣ бо осори нивисандагони барҷастаи рус ҳам наметавонад зоеъаи дабираи порсиро барои тоҷикони шӯравии пешин ҷуброн кунад
لازمۀ خواندن آن آثار تغییر رسم‌الخط ملی نبود,лозимаи хондани он осор тағйири расмулхатти миллӣ набуд
یک برزیلی هم می‌تواند در عین حفظ خط و زبان پرتغالی خود از آثار داستایفسکی و تولستوی و چخوف شناخت خوبی داشته باشد,як берзилӣ ҳам метавонад дар ъайни ҳифзи хатту забони пуртуғолии худ аз осори достоефскию тулстуйу чехуф шинохти хубе дошта бошад
آشنایی نزدیک تاجیکان شوروی پیشین با این آثار هم بهای سنگین باختن رسم‌الخط خودی‌را نمی‌پوشاند,ошноии наздики тоҷикони шӯравии пешин бо ин осор ҳам баҳои сангини бохтани расмулхатти худиро намепӯшонад
واقعیتی که با آن روبرو هستیم بسیار عریان‌تر است,воқеъияте ки бо он рӯбарӯ ҳастем бисёр ъурёнтар аст
حدود نُه میلیون تن در تاجیکستان به زبان پارسی صحبت می‌کنند و به خط روسی می‌نویسند,ҳудуди нуҳ милюн тан дар тоҷикистон ба забони порсӣ суҳбат мекунанд ва ба хатти русӣ менивисанд
در حالی که ده‌ها میلیون انسان دیگر در جهان به زبان همین حدود نُه میلیون تن صحبت می‌کنند و به خط پارسی می‌نویسند,дар ҳоле ки даҳҳо милюн инсони дигар дар ҷаҳон ба забони ҳамин ҳудуди милюн тан суҳбат мекунанду ба хатти порсӣ менивисанд
دیوار چین برای تاجیکان شوروی پیشین و همزبانانشان همانا خطی است که اتحاد شوروی هشتاد سال پیش بر آنها تحمیل کرد,девори чин барои тоҷикони шӯравии пешин ва ҳамзабононашон ҳамоно хаттест ки иттиҳоди шӯравӣ сол пеш бар онҳо таҳмил кард
در نتیجه نه آنها به آثار هم‌زبانان برون‌مرزی خود دسترسی دارند نه پارسی‌گویان خارجی می‌توانند نوشته‌های آنها‌را بخوانند,дар натиҷа на онҳо ба осори ҳамзабонони бурунмарзии худ дастрасӣ доранд на порсигӯёни хориҷӣ метавонанд нивиштаҳои онҳоро бихонанд
خط پیریلیک باعث این انسداد شده است,хатти пириллик боъиси ин инсидод шудааст
باز جوید روزگار وصل خویش,боз ҷӯяд рӯзгори васли хеш
این پرسش‌ها باعث شد که سال دو سال مانده به پایان عمر اتحاد شوروی در شهر دوشنبه پایتخت تاجیکستان تظاهراتی در اعتراض به نادیده گرفتنِ زبان ملی برپا شود,ин пурсишҳо боъис шуд ки соли ду сол монда ба поёни ъумри иттиҳоди шӯравӣ дар шаҳри душанбе пойтахти тоҷикистон тазоҳуроте дар эътироз ба нодида гирифтани забони миллӣ барпо шавад
سال پیش معترضان تاجیک نه تنها خواهان رسمیت زبان خود بودند بلکه هم‌زمان می‌کوشیدند که نام تاریخی این زبان فارسی‌را دوباره بر مسند رسمی برسانند,сол пеш муътаризони тоҷик на танҳо хоҳони расмияти забони худ буданд балки ҳамзамон мекӯшиданд ки номи торихии ин забон форсӣ-ро дубора бар маснади расмӣ бирасонанд
دولت وقت تاجیکستان که در تار عنکبوت سیاست‌های پرسترویکا و گلاسنوستِ گورباچف گرفتار مانده بود به خواستۀ مردم تن داد و ژوئیۀ همان سال قانون زبان تاجیکستان تصویب شد,давлати вақти тоҷикистон ки дар тори ъанкабути сиёсатҳои переструйко ва глоснуст-и гурбочеф гирифтор монда буд ба хостаи мардум тан дод ва жуие июл-и ҳамон сол қонуни забони тоҷикистон тасвиб шуд
در آن قانون نام رسمی زبان ملی تاجیکی فارسی مرقوم شد,дар он қонун номи расмии забони миллӣ тоҷикӣ форсӣ марқум шуд
یعنی با گذشت بیش از هفتاد سال دوباره نام فارسی در یک سند حکومتی ذکر شد,яъне бо гузашти беш аз сол дубора номи форсӣ дар як санади ҳукуматӣ зикр шуд
در سال اتحاد شوروی فرو پاشید و دولت وقت تاجیکستان به‌ناچار اعلامیه استقلال‌را امضا کرد که طاهر عبدالجبار رهبر جنبش رستاخیز و از مخالفان اصلی حکومت تاجیکستان شوروی تدوین کرده بود,дар соли иттиҳоди шӯравӣ фурӯ пошид ва давлати вақти тоҷикистон баночор эъломияи истиқлол-ро имзо кард ки тоҳири ъабдулҷаббор раҳбари ҷунбиши растохез ва аз мухолифони аслии ҳукумати тоҷикистони шӯравӣ тадвин карда буд
چند ماه بعد از آن جنگی در تاجیکستان درگرفت که روسیه و ازبکستان و ایران هم آتش‌بیارش بودند اما داخلی عنوان شد,чанд моҳ баъд аз он ҷанге дар тоҷикистон даргирифт ки русияву узбакистону эрон ҳам оташбиёраш буданд аммо дохилӣ ъунвон шуд
این جنگ پنج سال به درازا کشید و جان بیش از شصت هزار تن‌را ربود,ин ҷанг панҷ сол ба дарозо кашиду ҷони беш аз ҳазор танро рабуд
در همان اوائل جنگ به صلاحدید روسیه امامعلی رحمانف رئیس یک مزرعۀ اشتراکی شوروی به رهبری کشور برگزیده شد که همچنان رئیس‌جمهور تاجیکستان است با این تفاوت که پسوند روسی نام خانوادگی اف‌را حذف کرده و اکنون با نام امامعلی رحمان شناخته می‌شود,дар ҳамон авоили ҷанг ба салоҳдиди русия эмомъалӣ раҳмонуф раиси як мазраъаи иштирокии шӯравӣ ба раҳбарии кишвар баргузида шуд ки ҳамчунон раисҷумҳури тоҷикистон аст бо ин тафовут ки пасванди русии номи хонаводагии -уф ов-ро ҳазф карда ва акнун бо номи эмомъалии раҳмон шинохта мешавад
در سال که قانون اساسی تاجیکستان به همه‌پرسی گذاشته شد شهرت سلطانُف یکی از نمایندگان مجلس پیشنهاد کرد نام زبان رسمی تاجیکستان صرفاً تاجیکی باشد بدون افزودۀ فارسی,дар соли ки қонуни асосии тоҷикистон ба ҳамапурсӣ гузошта шуд шуҳрат султонуф яке аз намояндагони маҷлис пешниҳод кард номи забони расмии тоҷикистон сирфан тоҷикӣ бошад бидуни афзудаи форсӣ
این پیشنهاد پذیرفته شد و بعداً شهرت سلطانف رئیس دفتر ریاست جمهوری تاجیکستان شد و سالها سفیر تاجیکستان در ترکیه و اوکراین بود,ин пешниҳод пазируфта шуд ва баъдан шуҳрат султонуф раиси дафтари раёсати ҷумҳурии тоҷикистон шуд ва солҳо сафири тоҷикистон дар туркияву укроин буд
در سال پیش‌بینی میشد که در عرض پنج سال تاجیکستان به‌تدریج به خط فارسی برگردد,дар соли пешбинӣ мешуд ки дар ъарзи панҷ сол тоҷикистон батадриҷ ба хатти форсӣ баргардад
به همین منظور تدریس دبیرۀ فارسی در مدارس راه‌اندازی شد و نوشته‌های کوچه و خیابان‌ها و دکه‌ها به دو خط روسی و فارسی بود,ба ҳамин манзур тадриси дабираи форсӣ дар мадорис роҳандозӣ шуд ва нивиштаҳои кӯчаву хиёбонҳову даккаҳо ба ду хатти русию форсӣ буд
اما پس از پیروزی جبهه خلقی رحمان نوشته‌هایی به خط پارسی که در جای جای کشور دیده می‌شد سترده شد و دوباره جای آن نوشته‌ها‌را واژه‌ها و عباراتی به خط روسی گرفت,аммо пас аз пирӯзии ҷабҳаи халқӣ-и раҳмон нивиштаҳое ба хатти порсӣ ки дар ҷой-ҷои кишвар дида мешуд сутурда шуд ва дубора ҷои он нивиштаҳоро вожаҳову ъибороте ба хатти русӣ гирифт
امامعلی رحمان شخصاً نه یک بار و دو بار گفته است که قرار نیست تاجیکستان به خط فارسی برگردد,эмомъалии раҳмон шахсан на як бору ду бор гуфтааст ки қарор нест тоҷикистон ба хатти форсӣ баргардад
قیاس و تطبیق پارسی و پیریلیک,қиёсу татбиқи порсию пириллик
جستجوگر گوگل هم در این باره حرفی برای گفتن دارد,ҷустуҷӯгари ҳам дар ин бора ҳарфе барои гуфтан дорад
حتی موضوع‌هایی که مربوط به آسیای مرکزی است در جستجوهای گوگل امتیاز بیشتر‌را به خط فارسی می‌دهد,ҳатто мавзӯъҳое ки марбут ба осиёи марказист дар ҷустуҷӯгари гугл имтиёзи бештарро ба хатти форсӣ медиҳад
برای نمونه جستجوی عبارت شهر بخارا در گوگل به خط پیریلیک حدود ده هزار و نتیجه میدهد و به خط فارسی بیش از هزار نتیجه,барои намуна ҷустуҷӯи ъиборати шаҳри бухоро дар гугл ба хатти пириллик ҳудуди ҳазору натиҷа медиҳад ва ба хатти форсӣ беш аз ҳазор натиҷа
نتایج جستجوی واژۀ کتاب‌خوانی به دو خط پیریلیک و پارسی در گوگل نشان می‌دهد مطالبی که این واژه‌را در ترکیب خود دارند به خط پیریلیک هزار و هفتصد عدد هستند و به خط پارسی میلیون و چهارصد هزار عدد,натоиҷи ҷустуҷӯи вожаи китобхонӣ ба ду хатти пириллик ва порсӣ дар гугл нишон медиҳад матолибе ки ин вожаро дар таркиби худ доранд ба хатти пириллик ҳазору ъадад ҳастанд ва ба хатти порсӣ милюну ҳазор ъадад
دانشنامۀ آزاد ویکیپدیا می‌گوید که به خط فارسی حدود هزار مقاله دارد و به خط پیریلیک بیش از صد هزار,донишномаи озоди википедиё мегӯяд ки ба хатти форсӣ ҳудуди ҳазор мақола дорад ва ба хатти пириллик – беш аз ҳазор
یعنی واقعیت‌های دنیای دیجیتال هم پایبندی فارسی‌زبانان آسیای میانه به خط روسی‌را زیر سؤال می‌بَرَد,яъне воқеъиятҳои дунёи диҷитол ҳам пойбандии форсизабонони осиёи миёна ба хатти русиро зери суол мебарад
وقتی که فضای اینترنت مملو از مطالبی به زبان تاجیکان است و آنها فقط خطش‌را نمی‌خوانند طبعاً پرسشی پدید می‌آید که چرا نمی‌خواهند به خط خودی برگردند و از این دانستنی‌ها فیض ببرند,вақте ки фазои интернет мамлувв аз матолибе ба забони тоҷикон аст ва онҳо фақат хатташро намехонанд табъан пурсише падид меояд ки чиро намехоҳанд ба хатти худӣ баргарданд ва аз ин донистаниҳо файз бибаранд
بسیاری از صاحبنظران دلیل این خودداری‌را صرفاً سیاسی ارزیابی می‌کنند,бисёре аз соҳибназарон далели ин худдориро сирфан сиёсӣ арзёбӣ мекунанд
خروج تاجیکستان از حوزۀ سیریلیک‌را بسیاری به مثابۀ خروج تاجیکستان از حوزۀ نفوذ روسیه می‌دانند,хуруҷи тоҷикистон аз ҳавзаи сирилликро бисёре ба масобаи хуруҷи тоҷикистон аз ҳавзаи нуфузи русия медонанд
در روسیه هم این دیدگاه رایج است,дар русия ҳам ин дидгоҳ роиҷ аст
اما در مباحثات داخلی تاجیکستان دربارۀ تغییر خط همچنان این لفاظی شوروی چیرگی دارد که خط عربی بسیار سخت است و یک صدا چند علامت دارد,аммо дар мабоҳиси дохилии тоҷикистон дар бораи тағйири хат ҳамчунон ин лаффозии шӯравии пешин чирагӣ дорад ки хатти ъарабӣ бисёр сахт аст ва як садо чанд ъаломат дорад
شاید بشود آن‌را تلاشی برای توجیه منطقی یک تصمیم سیاسی تلقی کرد چرا که همۀ دبیره‌های ریشه‌دار جهان چنین سختیهایی‌را دارند,шояд бишавад онро талоше барои тавҷеҳи мантиқии як тасмими сиёсӣ талаққӣ кард чиро ки ҳамаи дабираҳои решадори ҷаҳон чунин сахтӣ-ҳоеро доранд
مثلاً در زبان انگیسی یک علامتِ هفت صدا دارد و در واژگان مختلف به هفت شیوۀ گوناگون تلفظ می‌شود,масалан дар забони инглисӣ як ъаломати а ҳафт садо дорад ва дар вожагони мухталиф ба ҳафт шеваи гуногун талаффуз мешавад
یا یک واژۀ فرانسوی که حرف دارد فقط با هشت صدا به زبان می‌آید,ё як вожаи фаронсавии ки ҳарф дорад фақат бо ҳашт садо ба забон меояд
شگفتا که هیچ یک از این استثنائات‌را در نگارش پارسی نداریم,шигифто ки ҳеч як аз ин истисноот-ро дар нигориши порсӣ надорем
پس می‌شود به این نتیجه رسید که سختیهای الفبای پارسی هم به اندازه‌ای نیست که شوروی می‌گفت و برخی در جهان امروز تصور می‌کنند,пас мешавад ба ин натиҷа расид ки сахтӣ-ҳои алифбои порсӣ ҳам ба андозае нест ки шӯравӣ мегуфту бархе дар ҷаҳони имрӯз тасаввур мекунанд
تصور روزنامه‌های بدو شوروی در بخارای تسخیرشده در دهۀ بر این بود که چینی‌ها برای پشت سر گذاشتن دشواری نویسه‌های چینی به‌زودی چنگ به دامان خط لاتین خواهند زد,тасаввури рӯзномаҳои бадви шӯравӣ дар бухорои тасхиршуда дар даҳаи бар ин буд ки чиниҳо барои пушти сар гузоштани душворӣ-и нивисаҳои чинӣ базудӣ чанг ба домони хатти лотин хоҳанд зад
تصور این بود که واژه‌نگاشت‌های پیچیدۀ چینی مانع از رشد مردم می‌شود و محکوم به فناست,тасаввур ин буд ки вожанигоштҳои печидаи чинӣ монеъ аз рушди мардум мешавад ва маҳкум ба фаност
اما چنین نشد,аммо чунин нашуд
آ,о
دال در سال در مجلۀ رهبر دانش تاجیکستان می‌گفت قرار است به‌زودی الفبای ژاپنی و هندی هم تبدیل به لاتین شود که باز هم چنین نشد,дол дар соли дар маҷаллаи раҳбари дониш-и тоҷикистон мегуфт қарор аст базудӣ алифбои жопунӣ ва ҳиндӣ ҳам табдил ба лотин шавад ки боз ҳам чунин нашуд
نه تنها چنین نشد بلکه همۀ این ملل با رسم‌الخط‌های دشوار خود به مراتبِ بلندتر علمی و فنی هم دست یافته‌اند,на танҳо чунин нашуд балки ҳамаи ин милал бо расмулхатҳои душвор-и худ ба маротиби буландтари ъилмию фаннӣ ҳам даст ёфтаанд
رودکی به الفبای روسی,рӯдакӣ ба алифбои русӣ
به باور بسیاری از کارشناسان تجربۀ تلخ تاجیکستان در زمینۀ تغییر خط نشان می‌دهد که کتابت زبان پارسی به هر خط دیگری به مثابۀ جدا کردن روح از تن است,ба бовари бисёре аз коршиносон таҷрубаи талхи тоҷикистон дар заминаи тағйири хат нишон медиҳад ки китобати забони порсӣ ба ҳар хатти дигаре ба масобаи ҷудо кардани рӯҳ аз тан аст
کتابت آن به دبیرۀ لاتین یا سیریلیک نه تنها ارتباط با گذشته‌را می‌گسلد بلکه ممکن است پیوند با هم‌زبانان امروزی‌را هم ببُرد و زبان واحد فارسی‌را به زبانک‌های مختلف تجزیه کند,китобати он ба дабираи лотину сириллик на танҳо иртибот бо гузаштаро мегусалад балки мумкин аст пайванд бо ҳамзабонони имрӯзиро ҳам бибурад ва забони воҳиди форсиро ба забонакҳои мухталиф таҷзия кунад
توسل به دبیره‌های واکه‌نگاری چون لاتین و سیریلیک به‌ناچار تفاوت گویش‌ها‌را هم منعکس می‌کند در حالی که در نگارش پارسی همۀ آنها یکپارچه هستند,тавассул ба дабираҳои воканигоре чун лотину сириллик баночор тафовути гӯишҳоро ҳам мунъакис мекунад дар ҳоле ки дар нигориши порсӣ ҳамаи онҳо якпорча ҳастанд
به یاد آورید نمونۀ املا و تلفظ شنیدن را,ба ёд оваред намунаи имлову талаффузи шунидан-ро
پیشتر اشاره شد که در دنیای دیجیتالِ امروز فارسیِ تاجیکستان که به خط روسی نوشته می‌شود به گَرد نرم‌افزارهای فارسی هم نمی‌رسد,пештар ишора шуд ки дар дунёи диҷитоли имрӯз форсии тоҷикистон ки ба хатти русӣ нивишта мешавад ба гарди нармафзорҳои форсӣ ҳам намерасад
اما در دنیای پیشادیجیتال و چاپی هم این تفاوت بی‌اندازه محسوس بود و هست,аммо дар дунёи пешодиҷитол ва чопӣ ҳам ин тафовут беандоза маҳсус буду ҳаст
تاجیکستان با جمعیت نسبتاً اندکش نمی‌تواند همۀ آثار مهم جهان‌را به خط پیریلیک منتشر کند,тоҷикистон бо ҷамъияти нисбатан андакаш наметавонад ҳамаи осори муҳимми ҷаҳонро ба хатти пириллик мунташир кунад
اما بیشترِ آن آثار به زبان مردم تاجیکستان در دسترس هستند اگر علامت الفبای فارسی‌را فرا بگیرند,аммо бештари он осор ба забони мардуми тоҷикистон дар дастрас ҳастанд агар ъаломати алифбои форсиро фаро бигиранд
شگرف و دردناک است که نوادگان رودکی در سرزمینی که آدم‌الشعرا‌را به دنیا آورده به دلایلی کاملاً سیاسی نمی‌توانند آثار نیای خود‌را به خط خود او بخوانند و تنها به آثاری دسترسی دارند که به خط روسی منتشر شده است,шигарфу дарднок аст ки наводагони рӯдакӣ дар сарзамине ки одамуушуъароро ба дунё оварда ба далоиле комилан сиёсӣ наметавонанд осори ниёи худро ба хатти худи ӯ бихонанд ва танҳо ба осоре дастрасӣ доранд ки ба хатти русӣ мунташир шудааст
چنین است حکایت این راه پیموده,чунин аст ҳикояти ин роҳи паймуда
خود‌را هزار بار دگر رنگ می‌کنند,худро ҳазор бори дигар ранг мекунанд
با ساز سکه نغمه و آهنگ می‌کنند,бо сози сикка нағмаву оҳанг мекунанд
این لعبتکان مست نوای دو سه پشیز,ин луъбатакон масти навои ду-се пашиз
هم با سر و هم با دم خود جنگ می‌کنند,ҳам бо сару ҳам бо думи худ ҷанг мекунанд
از اینکه صاف و ساده به حراج می‌روند,аз ин ки софу сода ба ҳарроҷ мераванд
بدکاره‌های شهر بسی ننگ می‌کنند,бадкораҳои шаҳр басе нанг мекунанд
با پرده‌دری خیره‌سری نابرادری,бо пардадарӣ хирасарӣ нобародарӣ
ناموس و نام هم هدف سنگ می‌کنند,номусу номи ҳам ҳадафи санг мекунанд
خوشنود آنکه سکه به دستگاه ریخته,хушнуд онки сикка ба дастгоҳ рехта
شادی و سور مردم الدنگ می‌کنند,шодию сӯр мардуми алданг мекунанд
باقی همه نظاره‌گر خسته از جدال,боқӣ ҳама назорагари хаста аз ҷидол
وز لعبتان خوار که دلتنگ می‌کنند,в-аз луъбатони хор ки дилтанг мекунанд
تحمل کن وطن امروز هم با تو نمی‌مانیم,таҳаммул кун ватан имрӯз ҳам бо ту намемонем
همه مجذوب آسایش همه مرعوب رحمانیم,ҳама маҷзуби осоиш ҳама маръуби раҳмонем
همه آهسته آهسته گشوده خندۀ پسته,ҳама оҳиста-оҳиста гушуда хандаи писта
روان و روح وارسته نمی‌خواهیم نمی‌دانیم,равону рӯҳи вораста намехоҳем намедонем
اگر فریاد آدم بود دوصد مشتی به سر می‌زد,агар фарёд одам буд дусад муште ба сар мезад
که از زندان رهایم کن که تا فردا نمی‌رانیم,ки аз зиндон раҳоям кун ки то фардо намеронем
تحمل کن وطن چونکه شکم در ردّۀ بالاست,таҳаммул кун ватан чунки шикам дар раддаи болост
بلایی رفته بر تو لیک ما جمعِ شکم‌بانیم,балое рафта бар ту лек мо ҷамъи шикамбонем
شکن در اشکنی افتاد و مشکل در دل مشکل,шикан дар ишкане уфтоду мушкил дар дили мушкил
درون مشکلات اما به فکر راه آسانیم,даруни мушкилот аммо ба фикри роҳи осонем
شبیخونی به قلب باور ما وارد آورده,шабехуне ба қалби бовари мо ворид оварда
خبر از سرزمینم که چو بی‌سفره یکی نانیم,хабар аз сарзаминам ки чу бесуфра яке нонем
به شهنامه قسم روح بزرگ توس آزرده‌ست,ба шаҳнома қасам рӯҳи бузурги тӯс озурдаст
شبیه رستم درمانده رویاروی یک خوانیم,шабеҳи рустами дармонда рӯёрӯи як хонем
تحمل کن وطن چونکه غریو مؤمنان بالاست,таҳаммул кун ватан чунки ғиреви муъминон болост
اگرچه در مسیر گم شدن از نور ایمانیم,агарчи дар масири гум шудан аз нури имонем
چنان چسپیده بر دین و دیانت ریش‌مان تا ناف,чунон часпида бар дину диёнат ришамон то ноф
چنان خسپیده که از مارکس و ریشش هم نمی‌خوانیم,чунон хуспида ки аз морксу ришаш ҳам намехонем
جهان‌را مکتبی بی پیرو تاجیک نیست لابد,ҷаҳонро мактабе бе пайрави тоҷик нест лобуд
ولیکن در مکاتب غالباً گُنگ و پریشانیم,валекин дар макотиб ғолибан гунгу парешонем
نه لائیک جهان‌محور که سودایش تساوی بود,на лоики ҷаҳонмеҳвар ки савдояш тасовӣ буд
