حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
ملت ما غرور خودرا گم کرده‌است,миллати мо ғурури худро гум кардааст
نکته‌ی بسیار جالبی‌را که برزو عبدالرزاق به تصویر کشید گرفتاری مردم تاجیکستان در روسیه است,нуктаи бисёр ҷолиберо ки барзуи абдурразоқ ба тасвир кашид гирифтории мардуми тоҷикистон дар русия аст
با ما چیزی شده بچه‌ها,бо мо чизе шуда бачаҳо
مساله آن نیست که روسیه یا کس دیگر با ما بدرفتاری می‌کند,масъала он нест ки русия ё каси дигар бо мо бадрафторӣ мекунад
با ما چیزی شده,бо мо чизе шуда
با مهاجران کاری ما که یک دیگری‌را می‌خورند,бо муҳоҷирони кории мо ки якдигариро мехӯранд
خودرا پست زده همدیگری‌را می‌خورند,худро паст зада ҳамдигариро мехӯранд
چون,чун
آن‌ها از این جا بار خیانت به یکدیگری‌را بی احترامی‌را با خود می‌برند,онҳо аз ин ҷо бори хиёнат ба якдигариро бе эҳтиромиро бо худ мебаранд
یک اسفرگی‌را می‌کشند کولابی‌ها می‌گویند خَی یهَ اسفرگی بودَیدهَ,як исфарагиро мекушанд кӯлобиҳо мегӯянд хай я исфарагӣ будай-да
یک پنجکنتی‌را می‌کشند می‌گویند خَی پنجکنتی بودَستدهَ,як панҷакентиро мекушанд мегӯянд хай панҷакентӣ будаст-да
کولابیهَ کولابی‌را می‌کشند میگون می‌گیوند کولابیهَ کشتست,кӯлобия кӯлобиро мекушанд мегӯн мегӯянд кӯлобия куштаст
سخن‌های زیادی در این باره می‌گوید که در واقع به هویت و غرور تک‌تک ما بر می‌گردد,суханҳои зиёде дар ин бора мегӯяд ки дар воқеъ ба ҳуввият ва ғурури так-таки мо бар мегардад
در واقع مشکل مردم ما این است که بیرون از خانواده‌ی خود فکر نمی‌کنیم و گاهی منطقه,дар воқеъ мушкили мардуми мо ин аст ки берун аз хонаводаи худ фикр намукунем ва гоҳе минтақа
چرا وقتی سرمان‌را از تنمان جدا می‌کنند کسی اعتراض نمی‌کند,чаро вақте сарамонро аз танамон ҷудо мекунанд касе эътироз намекунад
راستی یادم نیست در کجا خوانده بودم ولی کسی گفته بود که اگر ما با همین راه برویم از یک ملیت جمشیدی به یک ملیت دژومشودی تبدل خواهیم یافت,ростӣ ёдам нест дар куҷо хонда будам вале касе гуфта буд ки агар мо бо ҳамин роҳ биравем аз як миллияти ҷамшедӣ ба як миллияти джумшудӣ табдил хоҳем ёфт
واژه دژومشود برگفته از یک نمایشنامه‌ی تحقیرآمیز علیه تاجیکان در تلویزیون روسیه با نام روشن و دژومشود است,вожаи джумшуд баргирифта аз як намоишномаи таҳқиромез алайҳи тоҷикон дар телевизюни русия бо номи равшан ва джумшуд аст
تا کی در این خواب‌آلودی خواهیم بود,то кай дар ин хоболудӣ хоҳем буд
من هم درست مثل برزو عبدالرزاق مردم‌را به انقلاب یا خود شورش سیاسی دعوت نمی‌نمایم,ман ҳам дуруст мисли барзуи абдурраззоқ мардумро ба инқилоб ё худ шӯриши сиёсӣ даъват наменамоям
همان طوری که پیشتر گفته‌ام – مشکل دولت تاجیکستان از خود ما بر می‌آید چون دولت تاجیکستان جزئی از ملت است دولت بیانگر چه گونگی ملت است,ҳамон тавре ки пештар гуфтаам – мушкили давлати тоҷикистон аз худи мо бар меояд чун давлати тоҷикистон ҷузъе аз миллат аст
دولت در این حال است چون ملت در این حال است,давлат дар ин ҳол аст чун миллат дар ин ҳол аст
ما که خود هویت ملی غرور ملی اتهاد ملی نداریم چه گونه می‌توانیم انتظارآن‌را داشته باشیم که دولت واقعاً مردمی باشد,мо ки худ ҳуввияти миллӣ ғурури миллӣ иттиҳоди миллӣ надорем чӣ гуна метавонем интизори онро дошта бошем ки давлат воқеъан мардумӣ бошад
ما خود مگر می‌دانیم از دولت چه می‌خواهیم,мо худ магар медонем аз давлат чӣ мехоҳем
نه عزیزان,на азизон
ما خود نمی‌دانیم چه می‌خواهیم چون نمی‌دانیم که کیستیم,мо худ намедонем чӣ мехоҳем чун намедонем ки кистем
ما به انقلاب مغزها به انقلاب افکار نیاز داریم,мо ба инқилоби мағзҳо ба инқилоби афкор ниёз дорем
مشکل تاجیکستان در سال‌های میلادی آن بود که دعوت از خواب گران خیز,мушкили тоҷикистон дар солҳои мелодӣ он буд ки даъват аз хоби гарон хез
بود,буд
مردم بخیست ولی بیدار نبود,мардум бихест вале бедор набуд
مردم مثل زامبیهایی که در فیلم‌های هالیوود می‌بینیم بودند و نادیده و ندانسته یکدیگری‌را کشتند,мардум мисли зомбӣ-ҳое ки дар филмҳои ҳоливуд мебинем буданд ва нодидаву надониста якдигариро куштанд
آری دوستان,оре дӯстон
از خواب گران خیستن به دردمان نمی‌خورد,аз хоби гарон хестан ба дардамон намехӯрад
ما می‌باید از خواب گران بیدار شویم,мо мебояд аз хоби гарон бедор шавем
بدانیم کیستیم و از کجا می‌آییم,бидонем кистему аз куҷо меоем
تنها آن زمان می‌توانیم درک کنیم که کجا باید رفت,танҳо он замон метавонем дарк кунем ки куҷо бояд рафт
امیدوارم که این بانگ حقیقت به گوش مردم برسد و مغزهای خوابیده‌ی ما بیدار شوند,умедворам ки ин бонги ҳақиқат ба гӯши мардум бирасад ва мағзҳои хобидаи мо бедор шаванд
حکومت هم باید با این بانگ بیدار شود چون حکومت هم قسمتی از مردم است,ҳукумат ҳам бояд бо ин бонг бедор шавад чун ҳукумат ҳам қисмате аз мардум аст
ساعاتی تا تحویل سال نو مانده,соъоти то таҳвили соли нави монда
می‌خواستم همه‌ی شما هم‌میهنان عزیزرا با این جشن پرشکوه و باستانی مبارکباد بگویم,мехостам ҳамаи шумо ҳаммеҳанони азизро бо ин ҷашни пуршукӯҳ ва пуршукӯҳ ва бостонӣ муборакбод бигӯям
امیدوارم که این سال نو برای تک تک شما سال خوشی شادی فراوانی و سلامتی باشد,умедворам ки ин соли нав барои так таки шумо соли хушӣ шодӣ фаровонӣ ва саломатӣ бошад
این سال‌را همه‌ی ما با امیدهایی در قلبمان پیشواز می‌گیریم و امید بر خدای‌را که همه‌ی این امیدهای نیک ما به واقعیت تبدل بیابند,ин солро ҳамаи мо бо умедҳое дар қалбамон пешвоз мегирем ва умед бар худойро ки ҳамаи ин умедҳои неки мо ба воқеъият табдил ёбанд
می‌خواستم در این لحظات از ریشه‌های جشن نوروز طبق روایت حکیم ابوالقاسم فردوسی بزرگوار یادآور شویم,мехостам дар ин лаҳазот аз решаҳои ҷашни наврӯз тибқи ривояти ҳаким абулқосими фирдавсӣ ёдовар шавем
در شاهنامه آمده که نوروزرا جمشید شاه به میان آورد,дар шоҳнома омада ки наврӯзро ҷамшедшоҳ ба миён овард
این شاه داددهنده و خردمند پس از پنجاه سال حکمرانی نوروزرا به میان آورد,ин шоҳ доддиҳанда ва хирдманд пас аз панҷоҳ соли ҳукмронӣ наврӯзро ба миён овард
چنان که فردوسی بزرگوار فرموده,чунон ки фирдавсии бузургвор фармуда
چنین سال پنجه برنجید نیز,чунин сол панҷаҳ биранҷид низ
ندید از هنر بر خرد بسته چیز,надид аз ҳунар бар хирад баста чиз
همه کردنی‌ها چو آمد به جای,ҳама карданиҳо чу омад ба ҷой
ز جای مهی برتر آورد پای,зи ҷойи меҳе бартар овард пой
به فرّ کیانی یکی تخت ساخت,ба фарри каёнӣ яке тахт сохт
چه مایه بدو گوهر اندر نشاخت,чӣ моя бадӯ гавҳар андар нишохт
که چون خواستی دیو برداشتی,ки чун хостӣ дев бардоштӣ
ز هامون به گردون برافراشتی,зи ҳомун ба гардун барафроштӣ
چو خورشید تابان میان هوا,чу хуршеди тобон миёни ҳаво
نشسته بر او شاه فرمانروا,нишаста бар ӯ шоҳи фармонраво
جهان انجمن شد بر آن تخت اوی,ҷаҳон анҷуман шуд бар он тахти ӯй
شگفتی فرومانده از بخت اوی,шигифтӣ фурӯмонда аз бахти ӯй
به جمشیدبر گوهر افشاندند,ба ҷамшедбар гавҳар афшонданд
مران روزرا روز نو خواندند,мар-он рӯзро рӯзи нав хонданд
سر سال نو هرمز فرودین,сари соли нав ҳармуз фарвадин
برآسود از رنج و ز درد و کین,баросуд аз ранҷу зи дарду кин
بزرگان به شادی بیاراستند,бузургон ба шодӣ биёростанд
می و جام و رامشگران خواستند,майу ҷому ромишгарон хостанд
چنین جشن فرّخ از آن روزگار,чунин ҷашни фаррух аз он рӯзгор
به ما ماند از آن خسروان یادگار,ба мо монд аз он хусравон ёдгор
در این سال و همیشه شاد و خرم و فرخنده باشید؛ و نور ایزدی همیشه با شما باد,дар ин сол ва ҳамеша шоду хуррам ва фархунда бошед ва нури эзадӣ ҳамеша бо шумо бод
امروز اسفند جشن اسفندگان است,имрӯз исфанд ҷашни исфандгон аст
این جشن نیکو زیبا و قشنگ گذشتگانمان‌را به شما بانوان و دوشیزگان و مادران عزیز و گرانبها شاد باش می‌گویم,ин ҷашни некӯ зебо ва қашанги гузаштагонамонро ба шумо бонувону дӯшизагон ва модарони азизу гаронбаҳо шод бош мегӯям
اسفند روز گرامیداشت زمین در ایران باستان بوده,исфанд рӯзи гиромидошти замин дар эрони бостон буда
چون زمین عطاکننده‌ی مهر است و همه‌ی انسان‌هارا در آغوش خود نگه می‌دارد و همچون مادر غم‌خوار و مهربان همیشه مارا در امان خود نگه می‌دارد نیاکانمان بانوان‌را در این روز گرامی می‌داشتند,чун замин атокунандаи меҳр асту ҳамаи инсонҳоро дар оғӯши худ нигаҳ медорад ва ҳамчун модари ғамхору меҳрабон ҳамеша моро дар амони худ нигаҳ медорад ниёконамон бонувонро дар ин рӯз гиромӣ медоштанд
این است که در این روز مردها تمام کارهای روزمره‌ی خانمان‌ و مادرهایشان‌را خود انجام می‌دادند و شوهرها به زن‌هایشان هدایایی پیشکش می‌نمودند,ин аст ки дар ин рӯз мардҳо тамоми корҳои рӯзмарраи хонумону модарҳояшонро худ анҷом медоданд ва шавҳарҳо ба занҳояшон ҳадоёе пешкаш менамуданд
متاسفانه ما امروز از پی همه چیز بیگانه هستیم و در سرزمین ما روز والنتاین نیز رایج شده,мутаасифона мо имрӯз аз пайи ҳама чизи бегона ҳастем ва дар сарзамини мо рӯзи волентин низ роиҷ шуда
این در حالیست که ما نمی‌دانیم خودمان هم از چنین روزها فراوان در فرهنگمان داریم که پرمعناتر هستند و از فرهنگ و پاره‌ای از هویت ما هستند,ин дар ҳолест ки мо намедонем худамон ҳам аз чунин рӯзҳо фаровон дар фарҳангамон дорем ки пурмаънотар ҳастанд ва порае аз ҳуввияти мо ҳастанд
همان طوری که حافظ شیراز فرمده,ҳамон тавре ки ҳофизи шероз фармуда
سال‌ها دل طلب جام جم از ما می‌کرد,солҳо дил талаби ҷоми ҷам аз мо мекард
وآن چه خود داشت ز بیگانه تمنا می‌کرد,в-он чӣ худ дошт зи бегона таманно мекард
در این روز خجسته درود بیکران‌را به بانوان نازنین و سربلند و مادران مهربان و شیرزن ایران‌زمین می‌فرستم و دست شما‌را می‌بوسم,дар ин рӯзи хуҷаста дуруди бекаронро ба бонувони нозанину сарбаланд ва модарони меҳрабону шерзани эронзамин мефиристам ва дасти шуморо мебӯсам
شما ستاره‌ی درخشان این ملت هستید که امید و آرزو برای آینده‌ی نیک ملت‌را در قلب‌هایمان جا داده‌اید,шумо ситораи дурахшони ин миллат ҳастед ки умеду орзу барои ояндаи неки миллатро дар қалбҳоямон ҷо додаед
به گفته‌ی شاعر شیرین‌سخن ایرانی میرزا ترسون زاده,ба гуфтаи шоири ширинсухани эронӣ мирзо турсунзода
زن اگر آتش نمی‌بود خام می‌ماندیم ما,зан агар оташ намебуд хом мемондем мо
نارسیده باده‌ای در جام می‌ماندیم ما,норасида бодае дар ҷом мемондем мо
زن اگر مارا نبخشید عمر با وفا,зан агар моро набахшид умри бо вафо
بی تخلص بی نسب بی نام می‌ماندیم ما,бе тахаллус бе насаб бе ном мемондем мо
ما پاسدار و پاسبان همیشگی شما و این مرز و بوم هستیم,мо посбону посдори ҳамешагии шумо ва ин марзу бум ҳастем
آسوده باشید,осуда бошед
متن زیررا از تارنگار یک درویش می‌آورم و بسیار سپاسگذارم,матни зерро аз торнигори як дарвеш меоварам ва бисёр сипосгузорам
این نامه بار دیگر ثابت کرد که یکی از مشکالات اساسی زبانی و فرهنگی ایرانیان فرارود تاجیکان دبیره‌ی تحریمی سیریلیک است که هم درجه‌ی زبان‌دانی‌امان‌را فرسوده و هم مارا از همقومانمان جدا کرده است,ин нома бори дигар собит кард ки яке аз мушколоти асосии забонию фарҳангии эрониёни фароруд тоҷикон дабираи таҳримии сирилик аст ки ҳам дараҷаи забондониамонро фарсуда ва ҳам моро аз ҳамқавмонамон ҷудо карда аст
بهروز آفاق رییس بخش آسیا و اقیانوسیه‌ی بخش جهانی بی‌بی‌سی در این روزها در پاسخ به نامه‌های بی‌شمار روشنفکران تاجیک که از نحوه‌ی پوشش رویدادهای تاجیکستان توسط شبکه‌ی تازه‌تاسیس تلویزیون بی‌بی‌سی پارسی گلایه کرده‌اند پاسخ همسانی‌را به زبان انگلیسی می‌فرستد که ترجمه‌ی پارسی آن‌را در زیر می‌آوریم,беҳрӯзи офоқ раиси бахши осиё ва уқёнусияи бахши ҷаҳонии бӣ-бӣ-сӣ дар ин рӯзҳо дар посух ба номаҳои бешумори равшанфикрони тоҷик ки аз наҳваи пӯшиши рӯйдодҳои тоҷикистон тавассути шабакаи тозатаъсиси телевизюни бӣ-бӣ-сии порсӣ гилоя кардаанд посухи хамсонеро ба забони инглисӣ мефиристад ки тарҷумаи порсии онро дар зер меоварем
بسیار سپاسگذارم که نگرانی‌های خود در باره‌ی پوشش رویدادهای تاجیکستان توسط بخش پارسی بی‌بی‌سی‌را با ما در میان گذاشته‌اید,бисёр сипосгузорам ки нигарониҳои худ дар бораи пӯшиши рӯйдодҳои тоҷикистон тавассути бахши порсии бӣ-бӣ-сиро бо мо дар миён гузошаед
ما از بازخزد استقبال می‌کنیم و با تکیه بر آن به برانامه‌های خود بهبود می‌بخشیم,мо аз бозхӯрд истиқбол мекунем ва бо такя бар он ба барномаҳои худ беҳбуд мебахшем
ما شماری نامه‌های همگون دریافت کردیم که عین نامه‌ی شماست و با احتمال زیاد هم‌آهنگ شده‌اند,мо шуморе номаҳои ҳамгун дарёфт кардем ки айни номаи шумост ва ба эҳтимоли зиёд ҳамоҳанг шудаанд
من به همه‌ی فرستنده‌های این نامه همین پاسخ زیررا خواهم فرستاد,ман ба ҳамаи фиристандаҳои ин нома ҳамин посухи зерро хоҳам фиристод
ما نگرانی‌های شما در باره‌ی تلویزیون پارسی‌را در هیات مدیره بررسی کردیم و در حال انجام برخی تغییرات هستیم,мо нигарониҳои шумо дар бораи телевизюни порсиро дар хайъати мудира баррасӣ кардем ва дар ҳоли анҷоми бархе тағйирот ҳастем
زمان شهر دوشنبه در جدول اعلام پخش برنامه‌ها افزوده شد,замони шаҳри душанбе дар ҷадвали эъломи пахши барномаҳо афзуда шуд
با این تصور که بیشتر بینندگان در تاجیکستان خط پارسی‌را نمی‌خوانند ما در آغاز از این کار صرف نظر کرده بودیم,бо ин тасаввур ки бештари бинандагон дар тоҷикистон хатти порсиро намехонанд мо дар оғоз аз ин кор сарфи назар карда будем
ولی ما متوجه اهمیت نمادین افزودن زمان دوشنبه به جدول هستیم و این ایرادرا اصلاح کرده‌ایم,вале мо мутаваҷҷеҳи аҳамияти намодини афзудани замони душанбе ба ҷадвал ҳастем ва ин эродро ислоҳ кардаем
ما همچنین قصد داریم شمار بیشتری از شهرهای تاجیکستان‌را شامل جدول آب و هوا کنیم,мо ҳамчунин қасд дорем шумори бештаре аз шаҳрҳои тоҷикистонро шомили ҷадвали обу ҳаво кунем
مهمتر از آن مشکل فنی ارسال فیلم از تاجیکستان که در آغاز وجود داشت برطرف شده‌است,муҳимтар аз он мушкили фаннии ирсоли филм аз тоҷикистон ки дар оғоз вуҷуд дошт бартараф шудааст
امیدوارم تا کنون متوجه جریان ثابت گزارش‌های اصیل ما از خبرنگارمان در دوشنبه شده باشید,умедворам то кунун мутаваҷҷеҳи ҷараёни собити гузоришҳои асили мо аз хабарнигорамон дар душанбе шуда бошед
ما همچنین خبرهای مهم تاجیکستان‌را پخش کرده‌ایم و در باره‌ی آن‌ها با کارشناسان در استودیوهای لندنی‌امان گفت و گوها کرده‌ایم,мо ҳамчунин хабарҳои муҳимми тоҷикистонро пахш кардаем ва дар бораи онхо бо коршиносон дар студиюҳои ланданиамон гуфтугӯҳо кардаем
من به شما اطمینان می‌دهم که ما در باره‌ی بینندگان تاجیکمان و پوشش رویدادهای تاجیکستان بسیار متعهید هستیم,ман ба шумо итминон медиҳам ки мо дар баробари бинандагони тоҷикамон ва пӯшиши рӯйдодҳои тоҷикистон бисёр мутаъаҳҳид ҳастем
امیدوارم شما این بازتاب‌را در برنامه‌های تلویزیون پارسی ببنید,умедворам шумо бозтоби ин мавзӯъро дар барномаҳои хабарӣ ва дигар барномаҳои телевизюни порсӣ бибинед
در مورد تذکر شما در باره‌ی برنامه‌های رادیویی تاجیکی باید دگویم که به دلیل مخالفت مقامات تاجیکستان با پخش برنامه‌های ما از طریق دو فرستنده‌ی موج اف ام ما در دوشنبه و خجند و کاهش شدید شمار شنوندگان ما در تاجیکستان مجبور شدیم سال گذشته برنامه‌ی ویژه‌ی تاجیکی‌را ببندیم,дар мавриди тазаккури шумо дар бораи барномаҳои родюии тоҷикӣ бояд бигӯям ки ба далели мухолифати мақомоти тоҷикистон бо пахши барномаҳои мо аз тариқи ду фиристандаи мавҷи-и мо дар душанбе ва хуҷанд ва коҳиши шадиди шумори шунавандагони мо дар тоҷикистон маҷбур шудем соли гузашта барномаи вижаи тоҷикиро бибандем
با وجود این ما طیف وسیعی از برنامه‌های رادیویی پارسی خودرا حفظ کرده‌ایم که برنامه‌ی موسیقی تاجیکی نیز شامل آن‌هاست و شنوندگان ما می‌توانند روی موجهای کوتاه و میانه آن‌را بشنوند,бо вуҷуди ин мо тайфи васеъе аз барномаҳои родюии порсии худро ҳифз кардаем ки барномаи мусиқии тоҷикӣ низ шомили онҳост ва шунавандагони мо метавонанд рӯи мавҷҳои кӯтоҳу миёна онро бишунаванд
شما از صفحه‌ی تاجیکی تارنمای پارسی بی‌بی‌سی نیز یادآور شده‌اید,шумо аз сафҳаи тоҷикии торнамои порсии бӣ-бӣ-сӣ низ ёдовар шудаед
تصمیم در باره‌ی لغو صفحه‌ی آمیخته‌ی پارسیسیریلیک به آن دلیل گرفته شد که آن صفحه کاربران‌را گیچ می‌کرد و تکلیف روشنی نداشت,тасмим дар бораи лағви сафҳаи омехтаи порсӣсириллик ба он далел гирифта шуд ки он сафҳа корбаронро гич мекард ва таклифи равшане надошт
از این رو تصمیم کرفتیم صفحه‌ی جداگانه‌ی ویژه‌ای‌را به خط سیریلیک داشته باشیم که مختص کاربران تاجیک است و رویدادهای مهم تاجیکی‌را به خط پارسی هم برای کاربران ایرانی و افغانمان در صفحه‌ی نخست تارنما منتشر می‌کنیم,аз ин рӯ тасмим гирифтем сафҳаи ҷудогонаи вижаеро ба хатти сириллик дошта бошем ки мухтасси корбарони тоҷик аст ва рӯйдодҳои муҳимми тоҷикиро ба хатти порсӣ ҳам барои корбарони эронӣ ва афғонамон дар сафҳаи нахусти торнамо мунташир мекунем
ولی نگرانی شما در باره‌ی جایگاه پایین صفخه‌ی سیریلیک‌را در مد نظر داریم و تلاش می‌کنیم راه برجسته‌تر کردن صفحه‌ی سیریلیک‌را بیابیم,вале нигаронии шумо дар бораи ҷойгоҳи поини сафҳаи сирилликро мадди назар дорем ва талош мекунем роҳи барҷастатар кардани сафҳаи сирилликро биёбем
من می‌خواهم بار دیگر از شما تشکر کنم که نگرانی‌های خودرا با ما در میان گذاشتید و از هواخواهی باحرارتان از تلویزیون پارسی سپاسگذارم,ман мехоҳам бори дигар аз шумо ташаккур кунам ки нигарониҳои худро бо мо дар миён гузоштед ва аз ҳавохоҳии боҳароратон аз телевизюни порсӣ сипосгузорам
ما از آغاز کار شبکه‌ی پارس‌زبان تلویزیونمان با شدت خرسند هستیم و باور داریم که ان در پهنه‌ی رسانه‌ای جهان پارسی‌زبانان جایگاه تعیین کننده‌ای خواهد داشت,мо аз оғози кори шабакаи порсизабони телевизюнамон ба шиддат хурсанд ҳастем ва бовар дорем ки он дар паҳнаи расонаии ҷаҳони порсизабон ҷойгоҳи таъйинкунандае хоҳад дошт
این رسانه از منابع بین الملل عظیم بی‌بی‌سی کار خواهد گرفت تا برای مخاتبان پارسی‌گویش در سراسر جهان از جمله در تاجیکستان برنامه بسازد,ин расона аз манобеъи байнулмилали азими бӣ-бӣ-сӣ кор хоҳад гирифт то барои мухотабони порсигӯяш дар саросари ҷаҳон аз ҷумла дар тоҷикистон барнома бисозад
امیدوارم شما فرصت تماشای این برنامه‌هارا داشته‌اید و شاهد بهتر شدن پوشش رویدادهای تاجیکستان از آغاز کار شبکه تا کنون شده‌اید,умедворам шумо фурсати тамошои ин барномаҳоро доштаед ва шоҳиди беҳтар шудани пушиши рӯйдодҳои тоҷикистон аз оғози кори шабака то кунун шудаед
با بهترین آرزوها,бо беҳтарин орзуҳо
نخست می‌خواستم از دوستان عزیز پوزش بخواهم که بیشتر از یک ماه هیچ مطلب تازه‌ای ننوشته‌ام,нахуст мехостам аз дӯстони азиз пӯзиш бихоҳам ки бештар аз як моҳ ҳеч матлаби тозае нанавиштаам
در هفته‌های گذشته بسیاری تارنگارهای فرارود از تلویزیون فارسی بی‌بی‌سی به خاطر نبودن نام و نشان تاجیکستان در آن خیلی انتقاد نمودند,дар ҳафтаҳои гузашта бисёре торнигорҳои фароруд аз телевизюни форсии бӣбӣсӣ ба хотири набудани ному нишони тоҷикистон дар он хеле интиқод намуданд
خیلی از این دوستان سپاسگذارم,хеле аз ин дӯстон сипосгузорам
حضور فرارود باید در هر محفلی که برای پارسی‌گویان راهندازی شده استوار باشد,ҳузури фароруд бояд дар ҳар маҳфиле ки барои порсигӯён роҳандозӣ шуда устувор бошад
بی‌بی‌سی کمی اوضاع‌را امروزها روی تلویزیون تغییر داده و امروز وقت دوشنبه برابر شهرهای کابل و تهران گذاشته شده,бӣбӣсӣ каме авзоъро имрӯзҳо рӯйи телевизюн тағйир дода ва имрӯз вақти душанбе баробари шаҳрҳои кобулу теҳрон гузошта шуда
پخش خبر هم از تاجیکستان در روزهای آخر آغز شده,пахши хабар ҳам аз тоҷикистон дар рӯзҳои охир оғоз шуда
ولی ما نباید با این آسوده باشیم,вале мо набояд бо ин осуда бошем
خبرها از فرارود تا به حال خیلی کمند و بسیار کمرنگ,хабарҳо аз фароруд то ба ҳол хеле каманд ва бисёр камранг
گذشته از این میان برنامه‌های تلویزیون سرخط اخبار از ایران افغانستان و جهان نمایش می‌شود ولی از فرارود هیچ خبری نیست,гузашта аз ин миёни барномаҳои телевизюн сархатти ахбор аз эрон афғонистон ва ҷаҳон намоиш мешавад вале аз фароруд ҳеч хабаре нест
انگیزه چیست,ангеза чист
همه‌ی این بر می‌گردد به تارنمای بی‌بی‌سی فارسی,ҳамаи бар мегардад ба торнамои бӣбӣсӣ форсӣ
تاجیکستانرا به حاشیه‌ی این تارنما تنگ نمودند,тоҷикистон-ро ба ҳошияи ин торнамо танг намуданд
اخبار تاجیکستان‌را تنها با دبیره‌ی تحمیلی سیریلیک گذاشته‌اند و دبیره‌ی فارسی‌را از بین برده‌اند,ахбори тоҷикистонро танҳо ба дабираи таҳмилӣ сирилик гузоштаанд ва дабираи форсиро аз байн бурдаанд
اگر در بخش تاجیکستانِ تارنمای پیشین امکانیت داشتند از دو دبیره استفاده نمایند پس چرا امروز که یک تارنمای پیشرفته‌ای دارند نمی‌توانند این کاررا بکنند؛ حتماً که این امروز باز هم آسان‌تر است,агар дар бахши тоҷикистон-и торнамои пешин имконият доштанд аз ду дабира истифода намоянд пас чаро имрӯз ки як торнамои пешрафтае доранд наметавонанд ин корро бикунанд ҳатман ки ин имрӯз боз ҳам осонтар аст
افسوس که افسوس,афсӯс ки афсӯс
چون امروز بخش تاجیکستان در حاشیه است و تنها به خط تحمیلیست سرخط اخبار تاجیکستان پخش نمی‌گردد,чун имрӯз бахши тоҷикистон дар ҳошия аст ва танҳо ба хатти таҳмилист сархатти ахбори тоҷикистон рӯйи телевизюн пахш намегардад
چون به نظر می‌رسد که سرخط اخبار به طور خودکار مستقیماً از تارنما روی امواج تلویزیونی می‌آید,чун ба назар мерасад ки сархатти ахбор ба таври худкор мустақиман аз торнамо рӯйи амвоҷи телевизюн меояд
انگیزه‌ی این اقدام بی‌بی‌سی تا به حال روشن نیست که چرا اخبار تاجیکستان تنها به دبیره‌ی تحمیلیست,ангизаи ин иқдоми бӣбӣсӣ то ба ҳол рӯшан нест ки чаро ахбори тоҷикистон танҳо ба дабираи таҳмилист
به هر حال خود ما فرارودی‌ها نیز در این گناه داریم,ба ҳар ҳол худи мо фарорудиҳо низ дар ин гуноҳ дорем
وقتی برخی از نخبگانمان سر و صدا می‌کنند که زبان ما تاجیکیست و دبیره‌ی ما سیریلیک است باید منتظر چنین اقدامی از طرف نیروهای بیگانه بود,вақте бархе аз нухбагонамон сару садо мекунанд ки забони мо тоҷикист ва дабираи мо сирилик аст бояд мунтазири чунин иқдоме аз тарафи нерӯҳои бегона буд
نباید فراموش کرد که بی‌بی‌سی – یک نهاد خارجی است که مال دولت بریتانیاست,набояд фаромӯш кард ки бӣбӣсӣ – як ниҳоди хориҷӣ аст ки моли давлати беритониёст
آن‌ها پی کارهایی نیستند که حتماً بر سود ما باشد,онҳо пайи корҳое нестанд ки ҳатман бар суди мо бошад
بلکه دوست دارند به پیکری که پاره – پاره شده باز هم یک ضربه‌ی سختی بزنند,балки дӯст доранд ба пайкаре ки пора – пора шуда боз ҳам як зарбаи сахтӣ бизананд
ما باید به اصل مساله بر گردیم,мо бояд ба асли масъала бар гардем
آن هم هست بر گردانیدن دبیره‌ی پارسی به بخش تاجیکستان بی‌بی‌سی فارسی که البته منجر به دوباره داخل نمودن بخش تاجیکستان به صفحه‌ی اصلی تارنمای بی‌بی‌سی پارسی خواهد شد,он ҳам ҳаст бар гардонидани дабираи порсӣ ба бахши тоҷикистон-и бӣбӣсӣ форсӣ ки албатта мунҷар ба дубора дохил намудани бахши тоҷиқстон ба сафҳаи аслии торнамои бӣбӣсӣ порсӣ хоҳад шуд
از همه‌ی وطنخواهان خواهشمندم که با بی‌بی‌سی فارسی تماس بگیرند و تقاضا نمایند که بی درنگ دبیره‌ی پارسی‌را به بخش تاجیکستان بر گردانند,аз ҳамаи ватанхоҳон хоҳишмандам ки бо бӣбӣсӣ форсӣ тамос бигиранд ва тақозо намоянд ки бе диранг дабираи порсиро ба бахши тоҷикстон бар гардонанд
دیروز پس از دوره امتحانات دوباره به اینترنت نزدیک شدم و با خبر شومی در باره جوان سربریده تاجیک‌را خواندم,дирӯз пас аз давраи имтиҳонот дубора ба интернет наздик шудам ва бо хабари шуме дар бораи ҷавони сарбуридаи тоҷикро хондам
این خبر مرا واقعاً شگیفتنگیز و پریشان کرد,ин хабар маро воқеъан шигифтангезу парешон кард
از رستم گرامی برای رسیدگی و تلاش‌هایشان ممنونم,аз рустами гиромӣ барои расидагӣ ва талошҳояшон мамнунам
دست شما درد نکند,дасти шумо дард накунад
خدمت دوستان گرامی عرض می‌نمایم که فاشیست‌های روس سر یک تاجیکی که در مسکو کار می‌کرده از تن جدا نموده‌اند,хидмати дӯстони гиромӣ арз намоям ки фошиситони рус сари як тоҷике ки дар маскав кор мекарда аз тан ҷудо намудаанд
