پایان ماموریت ناتو در افغانستان نگرانیهایی‌را برای کشورهای آسیای میانه‌ در پی داشته است,поёни маъмурияти ноту дар афғонистон нигарониҳоро барои кишварҳои осиёи миёна дар пай доштааст
اسامی این سه نفر حسین اشر‌اف عبدالرشید حامدف و سهراب توره‌یف است,асомии ин се нафар ҳусейн ашуров абдурашид ҳомидов ва суҳроб тӯраев аст
گفته می‌شود که دلیل بازداشت آنها نقض مقررات اقامت در ترکیه بوده است در پی بازداشت آقای قوت‌اف و همراهانش مقامات تاجیک خواستار استرداد او و همراهانش به تاجیکستان شده بودند ولی گروه‌های مدافع حقوق بشر از دولت ترکیه خواستند که او و همراهانش‌را به تاجیکستان مسترد نکند,дар пайи боздошти оқои қувватов ва ҳамроҳонаш мақомоти тоҷик хостори истирдоди ӯ ва ҳамроҳонаш ба тоҷикистон шуда буданд вале гурӯҳҳои мудофеъи ҳуқуқи башар аз давлати туркия хостанд ки ӯ ва ҳамроҳонашрро ба тоҷикистон мустарад накунад
آقای قوت‌اف که از افراد نزدیک به خانواده رئیس جمهور محسوب می‌شد در پی آنچه اختلاف نظر با پیوندان رئیس جمهور رحمان خوانده بود در تابستان سال تاجیکستان‌را ترک کرد و ماه اوت همان سال ائتلاف موسوم به گروه‌را تاسیس داد,оқои қувватов ки аз афроди наздик ба хонаводаи раиси ҷумҳур маҳсуб мешуд дар пайи ончи ихтилофи назар бо пайвандони президент раҳмон хонда буд дар тобистони соли тоҷикистонро тарк кард ва моҳи августи ҳамон сол эътилофи мавсум ба гурӯҳи таъсис дод
عمرعلی قوت‌اف که پیشینه چندان طولانی سیاسی نداشت تا سال به تجارت مشغول بود و خود‌را از مالکان شرکت موسوم به فراز معرفی می‌کرد,умаралӣ қувватов ки пешинаи чандон пурранги сиёсӣ надошт то соли ба тиҷорат машғул буд ва худро аз моликони ширкати мавсум ба фароз медонист
گفته می‌شود این شرکت تحت کنترل یکی از پیوندان رئیس‌جمهوری تاجیکستان طی سال‌های زیادی به انتقال مواد سوختی از جمله برای نیرو‌های آمریکایی و ناتو در افغانستان مشغول بود,гуфта мешавад ин ширкати таҳти кунтрули яке аз пайвандони раисҷумҳурии тоҷикистон тайи солҳои зиёде ба тиҷорати маводди сухтӣ аз ҷумла барои нерӯҳои омрикоӣ ва ноту дар афғонистон машғул буд
پس از خروج آقای قوت‌اف از تاجیکستان و اعلام مخالفتش با دولت مقامات تاجیک او‌را به دست داشتن در فساد مالی متهم کردند,пас аз хурӯҷи оқои қувватов аз тоҷикистон ва эъломи мухолифаташ бо давлати президент раҳмон мақомоти тоҷик ӯро ба даст доштан дар фасоди молӣ муттаҳам карданд
آقای قوت‌اف در ماه دسامبر سال در جریان سفری به امارات متحده عربی در شهر دبی بازداشت شد,оқои қувватов дар моҳи декабри соли дар ҷараёни як сафараш ба имороти муттаҳидаи арабӣ дар шаҳри дубай боздошт шуд
دولت تاجیکستان آن زمان هم درخواست استرداد او‌را مطرح کرد اما مقامات امارات به این درخواست اعتنا نکردند و پس از ماه بازداشت او‌را آزاد کردند,ҳарчанд давлати тоҷикистон он замон ҳам дархости истирдоди ӯро кард аммо додгоҳи дубай ба ин дархост эътиное накард ва пас аз нӯҳ моҳи боздошт ӯ озод шуд
طی این سال‌ها عمرعلی قوت‌اف و جانبدارانش در خارج از کشور پیوسته از دولت تاجیکستان انتقاد می‌کردند,тайи ин солҳо умаралӣ қувватов ва ҷонибдоронаш дар хориҷ аз кишвар пайваста аз давлати тоҷикистон интиқод мекарданд
در سال گذشته وی و جانبدارانش با انتشار بیانیه‌هایی از طریق شبکه‌های اجتماعی خواستار استعفای پرزیدنت رحمان شده بودند,дар соли гузашта вай ва ҷонибдоронаш бо интишори баёнияҳое аз тариқи шабакаҳои иҷтимоъӣ хостори истеъфои довталабонаи президент раҳмон шуда буданд
ائتلافی از گروه و چند گروه د‌یگر مخالف دولت رحمان مستقر در خارج از تاجیکستان در ماه اکتبر گذشته ساکنان این کشور‌را به تظاهرات اعتراضی فرا خواندند,эътилофе аз гурӯҳи ва чанд гурӯҳи дигари мухолифи мустақар дар хориҷ аз тоҷикистон дар моҳи октябри гузашта сокинонро ба тазоҳуроти эътирозӣ фаро хонданд
در پی این فراخوان دولت تاجیکستان تدابیر امنیتی‌را در سراسر کشور بویژه در شهر دوشنبه پایتخت تشدید کرد,дар пайи ин фарохон давлати тоҷикистон тадобири амниятиро дар саросари кишвар бавижа дар шаҳри душанбе пойтахт ташдид кард
در حاشیه این تدابیر دادگاه عالی تاجیکستان در مدت کوتاهی با صدور حکمی گروه‌را یک گروه افراط‌گرا خواند و فعالیت آن‌را در قلمرو این کشور ممنوع اعلام کرد,дар ҳошияи ин тадобир додгоҳи олии тоҷикистон гурӯҳи як гурӯҳи ифротгаро хонда ва фаъъолияти онро дар қаламрави ин кишвар мамнӯъ эълом кард
تا حال چند نفر از شهروندان به ظن ارتباط با این گروه در تاجیکستان بازداشت شده‌اند,то ҳол чанд нафар аз шаҳрвандон ба занни иртибот бо ин гурӯҳ дар тоҷикистон боздошт шудаанд
در اواخر ماه ژانویه سال جاری مسئولان آژانس مبارزه با فساد تاجیکستان گفتند که عمرعلی قوت‌اف رهبر گروه به گروگان‌گیری هم متهم می‌شود,дар авохири моҳи январи соли ҷорӣ масъулони ожонси мубориза бо фасоди тоҷикистон гуфтанд ки умаралӣ қувватов раҳбари гурӯҳи ба гаравгонгирӣ ҳам муттаҳам шудааст
آقای قوت‌اف تمام اتهامات وارده علیه خود‌را رد کرده و از انتقال مرموز مقصود ابراهیم‌اف یکی از یارانش از روسیه به تاجیکستان اظهار تاسف کرد,оқои қувватов тамоми иттиҳомоти ворида алайҳи худро рад карда ва аз истирдоди мақсуд иброҳимов раҳбари созмони мавсум ба ҷавонони тоҷик барои эҳёи тоҷикистон изҳори таассуф кард
بر اساس اطلاع دادستانی کل تاجیکستان آقای ابراهیم‌اف اخیرا از روسیه به وطن خود مسترد شده‌است,бар асоси иттилоъи додистонии кулли тоҷикистон оқои иброҳимов ахиран аз русия ба ватан истирдод шудааст
دولت تاجیکستان او‌را به عضویت در گروه متهم کرده‌است,давлати тоҷикистон ӯро ба узвият дар гурӯҳи муттаҳам кардааст
آقای قوت‌اف می‌گوید که ائتلاف تحت رهبری او هیچ ربطی به افراطگرایی ندارد,аммо оқои қувватов гуфт ки эътилофи таҳти раҳбарии ӯ ҳеҷ рабте ба ифротгароӣ надорад
افزون بر این آقای ابراهیم‌اف تنها رهبر یک سازمان جوانان بوده و عضو گروه نبوده‌است,афзун бар ин оқои иброҳимов танҳо раҳбари як созмони ҷавонон буда ва узви гурӯҳи набудааст
گروه‌های مدافع حقوق بشر استرداد آقای ابراهیم‌اف از روسیه به تاجیکستان‌را اقدامی غیرقانونی خوانده و از وضع کنونی او در بازداشت اظهار نگرانی کرده‌اند,гурӯҳҳои мудофеъи ҳуқуқи башар истирдоди оқои иброҳимов аз русия ба тоҷикистонро иқдоме ғайриқонунӣ хонда ва аз вазъи кунунии ӯ дар боздошт изҳори нигаронӣ кардаанд
اتحادیه بین‌المللی حقوقدانها از حکم دادگاه شهر دوشنبه نسبت به شهرت قدرت اف حقوقدان و معاون رئیس حزب مخالف سوسیال دموکرات تاجیکستان ابراز نگرانی کرده است,иттиҳодияи байналмиллалии ҳуқуқдонҳо аз ҳукми додгоҳи шаҳри душанбе нисбат ба шуҳрат қудратов ҳуқуқдон ва муъовини раиси ҳизби мухолифи сусиол демукроти тоҷикистон ибрози нигаронӣ кардааст
این نهاد بین‌المللی با انتشار بیانیه ای نوشته یا اتحادیه بین‌المللی حقوقدانها از محکوم شدن شهرت قدرت اف حقوقدان برجسته مدافع حقوق بشر در تاجیکستان نگران است,ин ниҳоди байналмиллалӣ бо интишори баёнияе навишта ё иттиҳодияи байналмиллалии ҳуқуқдонҳо аз маҳкум шудани шуҳрат қудратов ҳуқуқдони барҷастаи мудофеъи ҳуқуқи башар дар тоҷикистон нигарон аст
او روز ژانویه در تقلب و ریشوه خواری مجرم دانسته شده و برای نه سال روانه زندان شد,ӯ рӯзи январ дар тақаллуб ва ришвахорӣ муҷрим дониста шуда ва барои нуҳ сол равонаи зиндон шуд
در بیانیه اتحادیه حقوقدانها تاکید می‌شود که آقای قدرت اف یکی از سه وکیل مدافع زید سعیداف وزیر پیشین صنایع تاجیکستان بود که در ماه دسامبر سال به سال زندان محکوم شده است,дар баёнияи иттиҳодияи ҳуқуқдонҳо таъкид мешавад ки оқои қудратов яке аз се вакили мудофеъи зайд саидов вазири пешини саноеъи тоҷикистон буд ки дар моҳи декабри соли ба сол зиндон маҳкум шудааст
بیانیه می‌فزاید,баёния меафзояд
آقای قدرت اف از مشکلات وجودداشته در روند بررسی این قضیه و در باره تهدیدهایی که نسبت به او همچون وکیل مدافع این پرونده وارد می‌شد به صورت علنی انتقاد می‌کرد,оқои қудратов аз мушкилоти вуҷуддошта дар раванди баррасии ин қазия ва дар бораи таҳдидҳое ки нисбат ба ӯ ҳамчун вакили мудофеъи ин парванда ворид мешуд ба сурати аланӣ интиқод мекард
هلنا کندی یکی از رئیسان در این بیانیه نوشته است مورد نگرانی آن است که بازداشت تحقیق پرونده و محکومیت قدرت اف به اظهارات عمومی او در رابطه به پرونده پرسر و صدای زید سعیداف مربوط است,ҳелено кенедӣ яке аз раисони дар ин баёния навиштааст мавриди нигаронӣ он аст ки боздошт таҳқиқи парванда ва маҳкумияти қудратов ба изҳороти умумии ӯ дар робита ба парвандаи пурсарусадои зайд саидов марбут аст
چنین امر مغایر با اصولهای اساسی سازمان ملل است که می‌گوید,чунин амр муғоир бо усулҳои асосии сомзмони миллал аст ки мегӯяд
دولتها باید برای وکیلان مدافع شرایط لازم برای انجام فعالیت حرفه ای شان بدون تهدید مانعه آزار و یا دخالت بی‌مورد فراهم کنند,давлатҳо бояд барои вакилони мудофеъ шароити лозим барои анҷоми фаъъолияти касбиашон бидуни таҳдид монеъа озор ва ё дахолати бемаврид фароҳам кунанд
خانم کندی افزوده است طبق اصولهای اساسی سازمان ملل حقوقدانها نباید به خاطر انجام کار کسبیشان مورد تحریمهای اقتصادی و مالی و یا تهدید قرار بگیرند,хонуми кеннедӣ афзудааст тибқи усулҳои асосии созмони миллал ҳуқуқдонҳо набояд ба хотири анҷоми кори касбиашон мавриди таҳримҳои иқтисодиву молӣ ва ё таҳдид қарор бигиранд
او تاکید کرد,ӯ таъкид кард
زمانت استقلال برای کسبی حقوقدانها شرایط بنیادی برای تامین والایت قانون است و به این خاطر این اصول در سطح بالاترین بین‌المللی گرامی داشته می‌شود,замонати истиқлол барои касбии ҳуқуқдонҳо шароити бунёдӣ барои таъмини волияти қонун аст ва ба ин хотир ин усул дар сатҳи болотарини байналмиллалӣ гиромӣ дошта мешавад
این در حالیست که هفته‌ای قبل دیدبان حقوق بشر زندانی شدن شهرت قدرت اف حقوق‌شناس تاجیک‌را سرکوب آزادی بیان و استقلال تخصص قانونی در تاجیکستان خواند,ин дар ҳолест ки ҳафтае қабл дидбони ҳуқуқи башар зиндонӣ шудани шуҳрат қудратов ҳуқуқшиноси тоҷикро саркуби озодии баён ва истиқлоли тахассуси қонунӣ дар тоҷикистон хонд
استیو اسوردلاف محقق اروپا و آسیای میانه‌ دیدبان حقوق بشر در اظهارات این سازمان گفته است,стив свердлов муҳаққиқи урупо ва осиёи миёнаи дидбони ҳуқуқи башар дар изҳороти ин созмон гуфтааст
مقامات تاجیک تلاش کرده یکی از فعالترین و مستقلترین حقوقدانها در تاجیکستان‌را خاموش کنند,мақомоти тоҷик талош карда яке аз фаъъолтарин ва мустақилтарин ҳуқуқдонҳо дар тоҷикистонро хомӯш кунанд
تعقیب قدرت اف به بارور ما انگیزه‌های سیاسی داشته و به استقلال تخصص حقوقدانی در این کشور ضربه وارد می‌کند,таъқиби қудратов ба борвари мо ангезаҳои сиёсӣ дошта ва ба истиқлоли тахассуси ҳуқуқдонӣ дар ин кишвар зарба ворид мекунад
زمانی که آقای قدرت اف در تابستان سال گذشته بازداشت شده بود او یکی از سه وکیل مدافع زید سعیداف تاجر زندانی تاجیک که سازمانهای مدافع حقوق بشر قضیه او‌را نیز دارای انگیزه‌های سیاسی خوانده‌اند بود,замоне ки оқои қудратов дар тобистонои соли гузашта боздошт шуда буд ӯ яке аз се вакили мудофеъи зайд саидов тоҷири зиндонии тоҷик ки созмонҳои мудофеъи ҳуқуқи башар қазияи ӯро низ дорои ангезаҳои сиёсӣ хондаанд буд
چند روز قبل از بازداشتش آقای قدرت اف به سازمانهای غیردولتی رسانه‌های خبری و نمایندگیهای دیپلماتیک در تاجیکستان اظهاراتی ارسال کرد که در آن از نقض مقررات تحقیق پرونده زید سعیداف اطلاع می‌داد,чанд рӯз қабл аз боздошташ оқои қудратов ба созмонҳои ғайридавлатӣ расонаҳои хабарӣ ва намояндагиҳои диплумотик дар тоҷикистон изҳороте ирсол кард ки дар он аз нақзи муқаррароти таҳқиқи парвандаи зайд саидов иттилоъ медод
او در این اظهارات همچنین در باره حمله‌های پیوسته به او و اعضای دیگر تیم مدافعان زید سعیداف از جمله تهدید برای بازداشت گزارش داده بود,ӯ дар ин изҳорот ҳамчунин дар бораи ҳамлаҳои пайваста ба ӯ ва аъзои дигари тими мудофеъони зайд саидов аз ҷумла таҳдид барои боздошт гузориш дода буд
دیدبان حقوق بشر زندانی شدن شهرت قدرت اف حقوق‌شناس تاجیک‌را سرکوب آزادی بیان و استقلال تخصص قانونی در تاجیکستان خوانده است,дидбони ҳуқуқи башар зиндонӣ шудани шуҳрат қудратов ҳуқуқшиноси тоҷикро саркуби озодии баён ва истиқлоли тахассуси қонунӣ дар тоҷикистон хондааст
دادگاه شهر دوشنبه روز سه‌شنبه‌ این حقوق‌شناس و وکیل مدافع سرشناس تاجیک‌را به نه سال زندان نظامش سخت محکوم کرد,додгоҳ шаҳри душанбе рӯзи сешанбе ин ҳуқуқшинос ва вакили мудофеъи саршиноси тоҷикро ба нӯҳ соли зиндони низомаш сахт маҳкум кард
شهرت قدرت اف تا پایان بررسی پرونده‌اش خود‌را بی‌گناه خوانده و وکیل مدافع پیوسته اتهامات وارده علیه او‌را بی‌پایه و دارای انگیزه‌های سیاسی عنوان می‌کرد,шӯҳрат қудратов то поёни баррасии парвандааш худро бегуноҳ хонда ва вакили мудофеъи пайваста иттиҳомоти ворида алайҳи ӯро бепоя ва дорои ангезаҳои сиёсӣ унвон мекард
استیف اسوردلاف محقق اروپا و آسیای میانه‌ دیدبان حقوق بشر در اظهارات این سازمان گفته است,стив свердлов муҳаққиқи урупо ва осиёи миёнаи дидбони ҳуқуқи башар дар изҳороти ин созмон гуфтааст
مقامات تاجیک تلاش کرده یکی از فعالترین و مستقلترین حقوقدانها در تاجیکستان‌را خاموش کنند,мақомоти тоҷик талош карда яке аз фаъъолтарин ва мустақилтарин ҳуқуқдонҳо дар тоҷикистонро хомӯш кунанд
تعقیب قدرت اف به باور ما انگیزه‌های سیاسی داشته و به استقلال تخصص حقوقدانی در این کشور ضربه وارد می‌کند,таъқиби қудратов ба борвари мо ангезаҳои сиёсӣ дошта ва ба истиқлоли тахассуси ҳуқуқдонӣ дар ин кишвар зарба ворид мекунад
در این اظهارات آمده است که آقای قدرت اف در ماه ژوئن سال گذشته قبل از بازداشتش به دیدبان حقوق بشر اطلاع داده بود که او و خانواده‌اش تهدید شده‌اند و او از بازداشت قریب الوقوع بیم دارد,дар ин изҳорот омадааст ки оқои қудратов дар моҳи июни соли гузашта қабл аз боздошташ ба дидбони ҳуқуқи башар иттилоъ дода буд ки ӯ ва хонаводааш таҳдид шудаанд ва ӯ аз боздошти қарибулвуқуъ бим дорад
دادگاه آقای قدرت اف‌را که همزمان عضو فعال حزب سوسیال دموکرات تاجیکستان بوده و در قضایای زیادی به عنوان وکیل مدافع چهره هایی فعالیت می‌کرد که به گونه‌ای منتقد و یا مخالف دولت کشور محسوب می‌شدند,додгоҳ оқои қудратовро ки ҳамзамон узви фаъъоли ҳизби сусиол демукроти тоҷикистон буда ва дар қазоёъи зиёде ба унвони вакили мудофеъи чеҳраҳое фаъъолият мекард ки ба гунае мунтақид ва ё мухолифи давлати кишвар маҳсуб мешуданд
او همچنین از معدود حقوقدانهایی بود که در دادگاه از قربانیان شکنجه از سوی پلیس و افراد متهم در افراطگرايی مذهبی دفاع می‌کرد,ӯ ҳамчунин аз маъдуд ҳуқуқдонҳое буд ки дар додгоҳ аз қурбониёни шиканҷа аз сӯйи пулис ва афроди муттаҳам дар ифротгароии мазҳабӣдифоъ мекард
در سال سازمان اداره حقوق بشر تاجیکستان به شهرت قدرت اف جایزه مدافع حقوق بشر سال‌را اعطا کرده بود,дар соли созмони идораи ҳуқуқи башари тоҷикистон ба шӯҳрат қудратов ҷоизаи мудофеъи ҳуқуқи башари сол-ро эъто карда буд
روز سه‌شنبه‌ دادگاه شهر دوشنبه آقای قدرت اف‌را در قلابی و رشوه خواری متهم کرد,рӯзи сешанбе додгоҳи шаҳри душанбе оқои қудратовро дар қаллобӣ ва ришвахорӣ муттаҳам кард
در حالی که خود آقای قدرت اف در روند فعالیت حقوقی‌اش پیوسته از وجود گسترده فساد در سیستم قضایی تاجیکستان بدون هراس انتقاد می‌کرد و علیه این پدیده مبارزه می‌برد,дар ҳоле ки худи оқои қудратов дар раванди фаъъолияти ҳуқуқиаш пайваста аз вуҷуди густардаи фасод дар системи қазоии тоҷикистон бидуни ҳарос интиқод мекард ва алайҳи ин падида мубориза мебурд
زمانی که آقای قدرت اف در تابستان سال گذشته بازداشت شده بود او یکی از سه وکیل مدافع زید سعیداف تاجر زندانی تاجیک که سازمانهای مدافع حقوق بشر قضیه او‌را نیز دارای انگیزه‌های سیاسی خوانده‌اند بود,замоне ки оқои қудратов дар тобистонои соли гузашта боздошт шуда буд ӯ яке аз се вакили мудофеъи зайд саидов тоҷири зиндонии тоҷик ки созмонҳои мудофеъи ҳуқуқи башар қазияи ӯро низ дорои ангезаҳои сиёсӣ хондаанд буд
چند روز قبل از بازداشتش آقای قدرت اف به سازمانهای غیردولتی رسانه‌های خبری و نمایندگیهای دیپلماتیک در تاجیکستان اظهاراتی ارسال کرد که در آن از نقض مقررات تحقیق پرونده زید سعیداف اطلاع می‌داد,чанд рӯз қабл аз боздошташ оқои қудратов ба созмонҳои ғайридавлатӣ расонаҳои хабарӣ ва намояндагиҳои диплумотик дар тоҷикистон изҳороте ирсол кард ки дар он аз нақзи муқаррароти таҳқиқи парвандаи зайд саидов иттилоъ медод
او در این اظهارات همچنین در باره حمله‌های پیوسته به او و اعضای دیگر تیم مدافعان زید سعیداف از جمله تهدید برای بازداشت گزارش داده بود,ӯ дар ин изҳорот ҳамчунин дар бораи ҳамлаҳои пайваста ба ӯ ва аъзои дигари тими мудофеъони зайд саидов аз ҷумла таҳдид барои боздошт гузориш дода буд
در گزارش دیدبان حقوق بشر همچنین آمده است که نمایندگان کمیسیون بین‌المللی حقوقدانها پس از دیدار خود از تاجیکستان در ماه نوامبر سال گذشته گفته‌اند که آنها اطلاع دقیق دارند که بازداشت قدرت اف به فعالیت حرفه ای او در جریان دفاع از موکل خود ارتباط دارد که این امر مغایر به استاندارتهای بین‌المللی در باره استقلال وکیلان مدافع است,дар гузориши дидбони ҳуқуқи башар ҳамчунин омадааст ки намояндагони кумиссюни байналмиллалии ҳуқуқдонҳо пас аз дидори худ аз тоҷикистон дар моҳи ноябри соли гузашта гуфтаанд ки онҳо иттилоъи дақиқ доранд ки боздошти қудратов ба фаъъолияти касбии ӯ дар ҷараёни дифоъ аз муваккили худ иртибот дорад ки ин амр муғойир ба истондортҳои байналмиллалӣ дар бораи истиқлоли вакилони мудофеъ аст
آقای اسوردلاف نماینده دیدبان حقوق بشر نوشته است,оқои свердлов намояндаи дидбони ҳуқуқи башар навиштааст
مقامات تاجیک باید شهرت قدرت اف‌را آزاد کنند زیرا بازداشت او انگیزه‌های سیاسی دارد,мақомоти тоҷик бояд шӯҳрат қудратовро озод кунанд зеро боздошти ӯ ангезаҳои сиёсӣ дорад
با زندانی کردن یک وکیل مدافع سرشناس مقامات کشور به حقوقدانهای تاجیکستان‌را هشدار می‌دهد که از قضایایی که حساسیت سیاسی دارند دوری بجویند,бо зиндонӣ кардани як вакили мудофеъи саршинос мақомоти кишвар ба ҳуқуқдонҳои тоҷикистонро ҳушдор медиҳад ки аз қазияҳое ки ҳассосияти сиёсӣ доранд дурӣ биҷӯянд
امامعلی رحمان رئیس جمهوری تاجیکستان با شرکت در مراسمی به ساختمان شهری جدید در ولایت سغد در شمال این کشور پایه گذاشته و پیشنهاد کرده که این شهر سیحون خوانده شود,эмомалӣ раҳмон раиси ҷумҳурии тоҷикистон бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти суғд дар шимоли ин кишвар поя гузошта ва пешниҳод карда ки ин шаҳр сайҳун хонда шавад
سیحون نام عربی و کهن تر سیردریا رودی است که از کوهستان تیانشان سرچشمه می‌گیرد و به دریاچه خوارزم یا آرال می‌ریزد,сайҳун номи арабӣ ва куҳантари сирдарё рӯдест ки аз кӯҳистони тиёншон сарчашма мегирад ва ба дарёчаи хоразм ё орол мерезад
این رود از وسط شهر خجند مرکز استان سغد تاجیکستان می‌گذرد,ин рӯд аз васати шаҳри хуҷанд маркази устони суғди тоҷикистон мегузарад
به گفته منابع رسمی شهر مدرن سیحون در منطقه موسوم به میرزارَوات و دشت سامغار در شهرستان باباجان غفوراف در نه کیلومتری شمال غرب شهر خجند بنیاد خواهد شد,ба гуфтаи манобеъи расмӣ шаҳри мудерни сайҳун дар минтақаи мавсум ба мирзоравот ва дашти сомғор дар шаҳристони бобоҷон ғафуруф дар нуҳкилуметрии шимол-ғарби шаҳри хуҷанд бунёд хоҳад шуд
آقای رحمان چند روز است در چارچوب برنامه‌های نوروزی در شمال تاجیکستان به سر می‌برد و طی این مدت تاسیسات زیادی‌را مانند باغ کمال خجندی مجتمع قلعه خجند یک آمفی تئاتر و مؤسسات دیگری‌را افتتاح کرده است سایت ریاست جمهوری تاجیکستان در این باره می‌نویسد,сойти риёсати ҷумҳурии тоҷикистон дар ин бора менивисад бояд таъкид намуд ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад
باید تاکید نمود که آغاز بخشیدن به ساختمان شهر نو در سالهای استقلال دولتی تاجیکستان بار نخست صورت می‌گیرد و این بازگوی برآمدن کشور به سطح صفتاً نو رشد اقتصادی می‌باشد,ин манбаъ меафзояд ки ин тадбири калонмиқёс бо суфориши оқои раҳмон ва дар чорчӯби сиёсати бунёдкорию созандагии давлати тоҷикистон анҷом мешавад
این منبع می‌فزاید که این تدبیر کلان مقیاس با سفارش آقای رحمان و در چارچوب سیاست بنیادکاری و سازندگی دولت تاجیکستان انجام می‌شود,тибқи нақша қарор аст дар ин шаҳр беш аз ҳазор хонавода ё беш аз ҳазор нафар аз ҷамъияти шаҳри хуҷанд ва навоҳии атрофи он сукунат гузинанд
طبق نقشه قرار است در این شهر بیش از هزار خانواده یا بیش از هزار نفر از جمعیت شهر خجند و نواحی اطراف آن سکونت گزینند,сойти риёсати ҷумҳурии тоҷикистон дар бораи зарурати бунёди шаҳре ҷадид дар шимоли ин кишвар менивисад
سایت ریاست جمهوری تاجیکستان در باره ضرورت بنیاد شهری جدید در شمال این کشور می‌نویسد سالهای آخر اهالی شهر و ناحیه‌های خجند باباجان غفوراف اَشت قیراققّم چکالُف و مستچاه خیلی افزوده شماره‌اشان به زیاده از هزار رسیده است و ضرورت بنیاد محله‌های نو اهالی‌نشین مسکونی از جمله با بناهای بسیارآشیانه برج معاصر به میان آمده است,солҳои охир аҳолии шаҳру ноҳияҳои хуҷанд бобоҷон ғафуров ашт қайроққум чкалов ва мастчоҳ хеле афзуда шумораашон ба зиёда аз ҳазор расидааст ва зарурати бунёди маҳаллаҳои нави аҳолинишн аз ҷумла бо биноҳои бисёрошёнаи муъосир ба миён омадааст
آقای رحمان خشت اول نخستین بناهای مسکونی‌را که از تا طبقه خواهند بود در محل بنیاد شهر جدید گذاشته است,оқои раҳмон хишти аввали нахустин биноҳои маскуниеро ки аз то табақа хоҳанд буд дар маҳалли бунёди шаҳри ҷадид гузоштааст
این شهر از قصبه یا محله عبارت خواهد بود و در آن مدرسه کودکستان فروشگاه و مغازه میدانچه و تالار ورزشی یک پایانه ترمینال مسافربری بازار و دیگر تاسیسات اجتماعی ساخته می‌شوند,ин шаҳр аз қасаба ё маҳалла иборат хоҳад буд ва дар он мадраса кӯдакистон фурӯшгоҳу мағоза майдонча ва толори варзишӣ як поёна терминол-и мусофирбарӣ бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд
به گفته منابع رسمی این موضع دارای هزار هکتار زمین بکر است که در چارچوب طرح بنیاد شهر جدید آبیاری و در سه هزار هکتار از آن محلات مسکونی ساخته می‌شوند,ба гуфтаи манобеъи расмӣ ин мавзеъ дорои ҳазор ҳектор замини бикр аст ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд
در مرحله نخست یک هزار هکتار از این زمینها تحت پوشش قرار خواهند گرفت,дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт
برای آبیاری این زمینها دو پایگاه آبرسانی ساخته و ساختمان یک پایگاه دیگر در نظر گرفته شده است,барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст
آقای رحمان این دو پایگاه‌را افتتاح کرده و بار نخست آب‌را به زمینهای بکر جاری کرده است,оқои раҳмон ин ду пойгоҳро ифтитоҳ карда ва бори нахуст обро ба заминҳои бикр ҷорӣ кардааст
قرار است در هکتار از زمینهای اطراف شهر سیحون باغهای زردآلو سیه‌آلو و شفتالو و بادام بنیاد شوند,қарор аст дар ҳектор аз заминҳои атрофи шаҳри сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд
مقامهای تاجیک می‌گویند که بنیاد این باغها که به خاطر صرفه‌جویی آب به شیوه قطره‌ای شاداب می‌شوند برای صادرات میوه مهم است,мақомҳои тоҷик мегӯянд бунёди ин боғҳо ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд барои содироти мева муҳим аст
به گفته آنها بنیاد زیربناهای این شهر جدید پنجاه هزار شغل برای بیکاران فراهم خواهد ساخت که این امر به کاهش مهاجرت کاری به روسیه کمک می‌کند,ба гуфтаи онҳо бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт ки ин амр ба коҳиши муҳоҷирати корӣ ба русия кумак мекунад
مقامات اجرای این طرح‌را برای تامین امنیت غذایی و سرپناه برای هزارها خانواده در شمال تاجیکستان نیز مؤثر ارزیابی می‌کنند,мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли тоҷикистон низ муассир арзёбӣ мекунанд
