Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Имрӯза видюкелипҳои Муъин бо зернависи курдӣ дар интернет бо иштёқ даст ба даст мегардад	امروزه ویدئوکلیپ‌های معین با زیرنویس کردی در اینترنت با اشتیاق دست به دست می‌گردد
Замоне ки бумборонҳои Омрико ва интиқомкашии Саддом тайи ду ҷанги Халиҷи Форс боиси паноҳанда шудани милюнҳо курди ироқӣ дар ба Эрон шуд бисёре аз курдҳо пас аз шаст-ҳафтод сол дубора бо забони форсӣ тамос пайдо карданд	زمانی که بمباران‌های آمریکا و انتقام‌کشی صدام طی دو جنگ خلیج فارس باعث پناهنده‌شدن میلیون‌ها کرد عراقی به ایران شد بسیاری از کردها پس از شصت‌هفتاد سال دوباره با زبان فارسی تماس پیدا کردند
Бисёре бо иқоматҳои чандин моҳа дар Эрон забони форсиро фаро гирифтанд ва имрӯза бахубӣ ба он такаллум мекунанд	بسیاری با اقامت‌های چندین ماهه در ایران زبان فارسی‌را فراگرفتند و امروزه بخوبی به آن تکلم می‌کنند
То авохири даврони Саддом забони арабӣ ҳамчунон сайтараи худро ба унвони забони навишторӣ ва забони манбаъ дар шимоли Ироқ ҳифз карда буд вале дар даҳаи ахир авзоъ дубора дигаргун шудааст	تا اواخر دوران صدام زبان عربی همچنان سیطره خود‌را به عنوان زبان نوشتاری و زبان منبع در شمال عراق حفظ کرده‌بود ولی در دهه اخیر اوضاع دوباره دگرگون شده‌است
Гузорише аз рӯзномаи Эн	گزارشی از روزنامه ان
Ар	ار
Сӣ-и Ҳуланд дар бораи Курдистони Ироқ менависад	س هلند درباره کردستان عراق می‌نویسد
Бештари курдҳои Ироқ забони арабиро дигар фаромӯш кардаанд ва ҳечвақт ба бақияи Ироқ сафар намекунанд	بیشتر کردهای عراق زبان عربی‌را دیگر فراموش کرده‌اند و هیچوقت به بقیه عراق سفر نمی‌کنند
Онҳо худро аз назари фарҳангӣ бо ироқиҳои дигар муртабит ҳис намекунанд	آن‌ها خود‌را از نظر فرهنگی با عراقی‌های دیگر مرتبط حس نمی‌کنند
Дарсади болое аз насли ҷадиди курдҳои ироқ дигар ошноии зиёде бо забони арабӣ надоранд	درصد بالایی از نسل جدید کردهای عراق دیگر آشنایی زیادی با زبان عربی ندارد
Дуктур Амири Ҳасанпур устоди донишгоҳ дар донишгоҳи Турунтуи Конодо дар гуфтугӯе бо бахши курдии Садои Омрико дар бораи авзоъи феълии забони курдӣ бавижа дар Ироқ чунин гуфт	دکتر امیر حسن‌پور استاد دانشگاه در دانشگاه تورنتوی کانادا در گفتگویی با بخش کردی صدای آمریکا درباره اوضاع فعلی زبان کردی بویژه در عراق چنین گفت
Пеш аз соли забони арабӣ таъсиру нуфузи асосиро дар матбуъоти курдии Ироқ дошт багунае ки бештари манобеъи курдии сурониро матбуъот ва интишороти арабӣ ташкил медоданд вале аз соли ба ин сӯ шароит фарқ кардааст	پیش از سال زبان عربی تاثیر و نفوذ اساسی‌را در مطبوعات کردی عراق داشت بگونه‌ای که بیشتر منابع کردی سورانی‌را مطبوعات و انتشارات عربی تشکیل می‌دادند ولی از سال به این سو شرایط فرق کرده‌است
Аз он сол иртибот миёни Эрону Курдистони Ироқ хеле бештар шуда ва марзҳои имрӯза бисёр бозтар аз собиқ аст	از آن سال ارتباط میان ایران و کردستان عراق خیلی بیشتر شده و مرزها امروزه بسیار بازتر از سابق است
Ин боиси эҷоди таҳаввулоте дар матбуъоти Курдистони Ироқ шудааст	این باعث ایجاد تحولاتی در مطبوعات کردستان عراق شده است
Забони форсӣ нақши аслиро ба унвони забони фарҳангии минтақаи шимоли Ироқ ба ӯҳда гирифтааст ва шоҳид ҳастем ки бештари матбуъот ва нашрияҳои курдӣ дар Курдистони Ироқ барои матолиби худ аз манобеъи форсӣ истифода мекунанд бавижа дар заминаи масоъили рӯшанфикрӣ фарҳангӣ ва торихӣ	زبان فارسی نقش اصلی‌را به عنوان زبان فرهنگی منطقه شمال عراق به عهده گرفته‌است و شاهد هستیم که بیشتر مطبوعات و نشریه‌های کردی در کردستان عراق برای مطالب خود از منابع فارسی استفاده می‌کنند بویژه در زمینه مسائل روشنفکری فرهنگی و تاریخی
Мисли ин ки соли нави соли умедҳову бедориҳо барои Тоҷикистон хоҳад буд	مثل این که سال نو سال امیدها و بیداری‌ها برای تاجیکستان خواهد بود
Бо омадани Наврӯз ва омадани баҳору растохези табиъат шояд растохез дар мағзҳои мо ҳам рӯй диҳад	با آمدن نوروز و آمدن بهار و رستاخیز طبیعت شاید رستاخیز در مغزهای ما هم روی دهد
Боз ҳам торихи солаи Эрон такрор мешавад ва як фарде ба майдон мебарояд то дар замони бадбахтӣ ва пастиҳои рӯзгорамон ба мо ҳушдор диҳад ки Эй мардум	باز هم تاریخ ساله‌ی ایران تکرار می‌شود و یک فردی به میدان می‌براید تا در زمان بدبختی و پستی‌های روزگارمان به ما هوشدار دهد که ای مردم
Агар бедор нашавед фардо нобуд хоҳед шуд	اگر بیدار نشوید فردا نابود خواهید شد
Ҷойи шигифтзадагӣ ҳам нест ки ин бонг аз як фарди фарҳангӣ бар меояд	جای شگفتزدگی هم نیست که این بانگ از یک فرد فرهنگی بر می‌آید
Шояд мутаваҷҷеҳ шудед ки манзурам Барзу Абдурраззоқ аст	شاید متوجه شدید که منظورم برزو عبدالرزاق است
Чанде аз торнигорҳои Тоҷикистон дар мавриди қазияи намоишномаи тозаи Барзуи Абдурраззоқ матолибе нашр намуданд	چندی از تارنگارهای تاجیکستان درمورد قضیه‌ی نمایشنامه‌ی تازه‌ی برزو عبدالرزاق مطالبی نشر نمودند
Дар ин миён ба вижа аз торнигори Як Дарвеш сипосгузорам ки як матлаби бисёр хуберо дар ин замина нашр намуда	در این میان به ویژه از تارنگار یک درویش سپاسگذارم که یک مطلب بسیار خوبی‌را در این زمینه نشر نموده
Телевизюни Форсии БӣБӣСӣ низ ин масъаларо хуб пӯшиш намуд	تلویزیون فارسی بی‌بی‌سی نیز این مساله‌را خوب پوشش نمود
Ҳамон тавре ки бархе аз азизон ҳатман хабар доранд намоишномаи теотрии Барзуи Абдурразоқ бо номи Девонагӣ	همان طوری که برخی از عزیزان حتماً خبر دارند نماشنامه‌ی تئاتری برزو عبدالرزاق با نام دیوانگی
Соли ки дар остонаи Наврӯз исфанди порсол морси соли ҷории мелодӣ ба намоиш гузошта шуд аз тарафи Вазорати фарҳанги Тоҷикистон мамнӯъ шуд	سال که در آستانه‌ی نوروز اسفند پارسال مارس سال جاری میلادی به نمایش گذاشته شد از طرف وزارت فرهنگ تاجیکستان ممنوع شد
Иллати он ҳам даъват ба ошӯб ва ё инқилоб дар ин намоишнома хонда шуд	علت آن هم دعوت به آشوب و یا انقلاب در این نمایشنامه خوانده شد
Намоишномаи мазкур дар бораи ҳаводиси инқилоби Фаронса дар қарни қарни мелодӣ аст ки дар чашми давлатмандони Тоҷикистон шабеҳи ҳаводиси солҳои мелодӣ-и Тоҷикистон намуд	نمایشنامه‌ی مذکور در باره‌ی حوادث انقلاب فرانسه در قرن قرن است که در چشم دولتمندان تاجیکستان شبیه حوادث سال‌های میلادی تاجیکستان نمود
Номи намоишнома ҳам Девонагӣ	نام نمایشنامه هم دیوانگی
Соли аст ва соли мелодӣ хуршедӣ дар Тоҷикистон солҳои мудҳиши ҷанги дохилӣ буд	سال است و سال میلادی خورشیدی در تاجیکستان سال‌های مدهش جنگ داخلی بود
Соли мелодӣ хуршедӣ дар Фаронса низ Салтанати даҳшат оғоз ёфта буд	سال میلادی خورشیدی در فرانسه نیز سلطنت دهشت آغاز یافته بود
Ахиран имрӯз пас аз музокироти Барзуи Абдурраззоқ бо намояндагони Вазорати фарҳанг ин намоишнома дубора бо бархе тағйирот ва гузашта аз ҳама бо тағйири номи он аз Девонагӣ	اخیراً امروز پس از مذاکرات برزو عبدالرزاق با نمایندگان وزارت فرهنگ این نمایشنامه دوباره با برخی تغییرات و گذشته از همه با تغییر نام آن از دیوانگی
Соли ба Девонагӣ	سال به دیوانگی
Соли рӯйи саҳна омад	سال روی صحنه آمد
Оқои Абдурраззоқ воқеъан ба ҳама нишон дод ки як шахсест меҳандӯст ва шахсест ки дар асл нигарони ояндаи миллат ва марзу бум аст	آقای عبدالرزاق واقعاً به همه نشان داد که یک شخسیت میهن‌دوست و شخسیست که در اصل نگران آینده‌ی ملت و مرز و بوم است
Қисматҳое аз суханони ӯ дар торнамои БӣБӣСӣ ва ҳамчунин рӯйи торнигори Як Дарвеш нашр шуд ки бароям хеле ҷолиб буд	قسمت‌هایی از سخنان او در تارنمای بی‌بی‌سی و همچنین روی تارنگار یک درویش نشر شد که برایم خیلی جالب بود
Суханоне ки гуфта шуд ҳақиқати талхи имрӯзи Тоҷикистон аст	سخنانی که گفته شد خقیقت تلخ امروز تاجیکستان است
Оқои Абдурраззоқ ҳамчунин ишора намуд ки мушкили асосии Тоҷикистон бӯҳрони ҳуввият аст ва ба гуфти ӯ	آقای عبدالرزاق همچنین اشره نمود که مشکل اساسی تاجیکستان بحران حویت است و به گفت او
миллати мо ғурури худро гум кардааст	ملت ما غرور خودرا گم کرده‌است
Нуктаи бисёр ҷолиберо ки Барзуи Абдурразоқ ба тасвир кашид гирифтории мардуми Тоҷикистон дар Русия аст	نکته‌ی بسیار جالبی‌را که برزو عبدالرزاق به تصویر کشید گرفتاری مردم تاجیکستان در روسیه است
Бо мо чизе шуда бачаҳо	با ما چیزی شده بچه‌ها
Масъала он нест ки Русия ё каси дигар бо мо бадрафторӣ мекунад	مساله آن نیست که روسیه یا کس دیگر با ما بدرفتاری می‌کند
Бо мо чизе шуда	با ما چیزی شده
Бо муҳоҷирони кории мо ки якдигариро мехӯранд	با مهاجران کاری ما که یک دیگری‌را می‌خورند
Худро паст зада ҳамдигариро мехӯранд	خودرا پست زده همدیگری‌را می‌خورند
Чун	چون
Онҳо аз ин ҷо бори хиёнат ба якдигариро бе эҳтиромиро бо худ мебаранд	آن‌ها از این جا بار خیانت به یکدیگری‌را بی احترامی‌را با خود می‌برند
Як исфарагиро мекушанд кӯлобиҳо мегӯянд Хай я исфарагӣ будай-да	یک اسفرگی‌را می‌کشند کولابی‌ها می‌گویند خَی یهَ اسفرگی بودَیدهَ
Як панҷакентиро мекушанд мегӯянд Хай панҷакентӣ будаст-да	یک پنجکنتی‌را می‌کشند می‌گویند خَی پنجکنتی بودَستدهَ
Кӯлобия кӯлобиро мекушанд мегӯн мегӯянд кӯлобия куштаст	کولابیهَ کولابی‌را می‌کشند میگون می‌گیوند کولابیهَ کشتست
Суханҳои зиёде дар ин бора мегӯяд ки дар воқеъ ба ҳуввият ва ғурури так-таки мо бар мегардад	سخن‌های زیادی در این باره می‌گوید که در واقع به هویت و غرور تک‌تک ما بر می‌گردد
Дар воқеъ мушкили мардуми мо ин аст ки берун аз хонаводаи худ фикр намукунем ва гоҳе минтақа	در واقع مشکل مردم ما این است که بیرون از خانواده‌ی خود فکر نمی‌کنیم و گاهی منطقه
Чаро вақте сарамонро аз танамон ҷудо мекунанд касе эътироз намекунад	چرا وقتی سرمان‌را از تنمان جدا می‌کنند کسی اعتراض نمی‌کند
Ростӣ ёдам нест дар куҷо хонда будам вале касе гуфта буд ки агар мо бо ҳамин роҳ биравем аз як миллияти ҷамшедӣ ба як миллияти джумшудӣ табдил хоҳем ёфт	راستی یادم نیست در کجا خوانده بودم ولی کسی گفته بود که اگر ما با همین راه برویم از یک ملیت جمشیدی به یک ملیت دژومشودی تبدل خواهیم یافت
Вожаи джумшуд баргирифта аз як намоишномаи таҳқиромез алайҳи тоҷикон дар телевизюни Русия бо номи Равшан ва Джумшуд аст	واژه دژومشود برگفته از یک نمایشنامه‌ی تحقیرآمیز علیه تاجیکان در تلویزیون روسیه با نام روشن و دژومشود است
То кай дар ин хоболудӣ хоҳем буд	تا کی در این خواب‌آلودی خواهیم بود
Ман ҳам дуруст мисли Барзуи Абдурраззоқ мардумро ба инқилоб ё худ шӯриши сиёсӣ даъват наменамоям	من هم درست مثل برزو عبدالرزاق مردم‌را به انقلاب یا خود شورش سیاسی دعوت نمی‌نمایم
Ҳамон тавре ки пештар гуфтаам – мушкили давлати Тоҷикистон аз худи мо бар меояд чун давлати Тоҷикистон ҷузъе аз миллат аст	همان طوری که پیشتر گفته‌ام – مشکل دولت تاجیکستان از خود ما بر می‌آید چون دولت تاجیکستان جزئی از ملت است دولت بیانگر چه گونگی ملت است
Давлат дар ин ҳол аст чун миллат дар ин ҳол аст	دولت در این حال است چون ملت در این حال است
Мо ки худ ҳуввияти миллӣ ғурури миллӣ иттиҳоди миллӣ надорем чӣ гуна метавонем интизори онро дошта бошем ки давлат воқеъан мардумӣ бошад	ما که خود هویت ملی غرور ملی اتهاد ملی نداریم چه گونه می‌توانیم انتظارآن‌را داشته باشیم که دولت واقعاً مردمی باشد
Мо худ магар медонем аз давлат чӣ мехоҳем	ما خود مگر می‌دانیم از دولت چه می‌خواهیم
На азизон	نه عزیزان
Мо худ намедонем чӣ мехоҳем чун намедонем ки кистем	ما خود نمی‌دانیم چه می‌خواهیم چون نمی‌دانیم که کیستیم
Мо ба инқилоби мағзҳо ба инқилоби афкор ниёз дорем	ما به انقلاب مغزها به انقلاب افکار نیاز داریم
Мушкили Тоҷикистон дар солҳои мелодӣ он буд ки даъват аз хоби гарон хез	مشکل تاجیکستان در سال‌های میلادی آن بود که دعوت از خواب گران خیز
буд	بود
Мардум бихест вале бедор набуд	مردم بخیست ولی بیدار نبود
Мардум мисли зомбӣ-ҳое ки дар филмҳои Ҳоливуд мебинем буданд ва нодидаву надониста якдигариро куштанд	مردم مثل زامبیهایی که در فیلم‌های هالیوود می‌بینیم بودند و نادیده و ندانسته یکدیگری‌را کشتند
Оре дӯстон	آری دوستان
Аз хоби гарон хестан ба дардамон намехӯрад	از خواب گران خیستن به دردمان نمی‌خورد
Мо мебояд аз хоби гарон бедор шавем	ما می‌باید از خواب گران بیدار شویم
Бидонем кистему аз куҷо меоем	بدانیم کیستیم و از کجا می‌آییم
Танҳо он замон метавонем дарк кунем ки куҷо бояд рафт	تنها آن زمان می‌توانیم درک کنیم که کجا باید رفت
Умедворам ки ин бонги ҳақиқат ба гӯши мардум бирасад ва мағзҳои хобидаи мо бедор шаванд	امیدوارم که این بانگ حقیقت به گوش مردم برسد و مغزهای خوابیده‌ی ما بیدار شوند
Ҳукумат ҳам бояд бо ин бонг бедор шавад чун ҳукумат ҳам қисмате аз мардум аст	حکومت هم باید با این بانگ بیدار شود چون حکومت هم قسمتی از مردم است
Соъоти то таҳвили соли нави монда	ساعاتی تا تحویل سال نو مانده
Мехостам ҳамаи шумо ҳаммеҳанони азизро бо ин ҷашни пуршукӯҳ ва пуршукӯҳ ва бостонӣ муборакбод бигӯям	می‌خواستم همه‌ی شما هم‌میهنان عزیزرا با این جشن پرشکوه و باستانی مبارکباد بگویم
Умедворам ки ин соли нав барои так таки шумо соли хушӣ шодӣ фаровонӣ ва саломатӣ бошад	امیدوارم که این سال نو برای تک تک شما سال خوشی شادی فراوانی و سلامتی باشد
Ин солро ҳамаи мо бо умедҳое дар қалбамон пешвоз мегирем ва умед бар худойро ки ҳамаи ин умедҳои неки мо ба воқеъият табдил ёбанд	این سال‌را همه‌ی ما با امیدهایی در قلبمان پیشواز می‌گیریم و امید بر خدای‌را که همه‌ی این امیدهای نیک ما به واقعیت تبدل بیابند
Мехостам дар ин лаҳазот аз решаҳои ҷашни Наврӯз тибқи ривояти Ҳаким Абулқосими Фирдавсӣ ёдовар шавем	می‌خواستم در این لحظات از ریشه‌های جشن نوروز طبق روایت حکیم ابوالقاسم فردوسی بزرگوار یادآور شویم
Дар Шоҳнома омада ки Наврӯзро Ҷамшедшоҳ ба миён овард	در شاهنامه آمده که نوروزرا جمشید شاه به میان آورد
Ин шоҳ доддиҳанда ва хирдманд пас аз панҷоҳ соли ҳукмронӣ Наврӯзро ба миён овард	این شاه داددهنده و خردمند پس از پنجاه سال حکمرانی نوروزرا به میان آورد
Чунон ки Фирдавсии бузургвор фармуда	چنان که فردوسی بزرگوار فرموده
Чунин сол панҷаҳ биранҷид низ	چنین سال پنجه برنجید نیز
Надид аз ҳунар бар хирад баста чиз	ندید از هنر بر خرد بسته چیز
Ҳама карданиҳо чу омад ба ҷой	همه کردنی‌ها چو آمد به جای
Зи ҷойи меҳе бартар овард пой	ز جای مهی برتر آورد پای
Ба фарри Каёнӣ яке тахт сохт	به فرّ کیانی یکی تخت ساخت
Чӣ моя бадӯ гавҳар андар нишохт	چه مایه بدو گوهر اندر نشاخت
Ки чун хостӣ дев бардоштӣ	که چون خواستی دیو برداشتی
Зи ҳомун ба гардун барафроштӣ	ز هامون به گردون برافراشتی
Чу хуршеди тобон миёни ҳаво	چو خورشید تابان میان هوا
Нишаста бар ӯ шоҳи фармонраво	نشسته بر او شاه فرمانروا
Ҷаҳон анҷуман шуд бар он тахти ӯй	جهان انجمن شد بر آن تخت اوی
Шигифтӣ фурӯмонда аз бахти ӯй	شگفتی فرومانده از بخت اوی
Ба Ҷамшедбар гавҳар афшонданд	به جمشیدبر گوهر افشاندند
Мар-он рӯзро рӯзи нав хонданд	مران روزرا روز نو خواندند
Сари соли нав ҳармуз фарвадин	سر سال نو هرمز فرودین
Баросуд аз ранҷу зи дарду кин	برآسود از رنج و ز درد و کین
Бузургон ба шодӣ биёростанд	بزرگان به شادی بیاراستند
Майу ҷому ромишгарон хостанд	می و جام و رامشگران خواستند
Чунин ҷашни фаррух аз он рӯзгор	چنین جشن فرّخ از آن روزگار
Ба мо монд аз он хусравон ёдгор	به ما ماند از آن خسروان یادگار
Дар ин сол ва ҳамеша шоду хуррам ва фархунда бошед ва нури эзадӣ ҳамеша бо шумо бод	در این سال و همیشه شاد و خرم و فرخنده باشید؛ و نور ایزدی همیشه با شما باد
Имрӯз исфанд ҷашни Исфандгон аст	امروز اسفند جشن اسفندگان است
Ин ҷашни некӯ зебо ва қашанги гузаштагонамонро ба шумо бонувону дӯшизагон ва модарони азизу гаронбаҳо шод бош мегӯям	این جشن نیکو زیبا و قشنگ گذشتگانمان‌را به شما بانوان و دوشیزگان و مادران عزیز و گرانبها شاد باش می‌گویم
исфанд рӯзи гиромидошти замин дар Эрони Бостон буда	اسفند روز گرامیداشت زمین در ایران باستان بوده
Чун замин атокунандаи меҳр асту ҳамаи инсонҳоро дар оғӯши худ нигаҳ медорад ва ҳамчун модари ғамхору меҳрабон ҳамеша моро дар амони худ нигаҳ медорад ниёконамон бонувонро дар ин рӯз гиромӣ медоштанд	چون زمین عطاکننده‌ی مهر است و همه‌ی انسان‌هارا در آغوش خود نگه می‌دارد و همچون مادر غم‌خوار و مهربان همیشه مارا در امان خود نگه می‌دارد نیاکانمان بانوان‌را در این روز گرامی می‌داشتند
Ин аст ки дар ин рӯз мардҳо тамоми корҳои рӯзмарраи хонумону модарҳояшонро худ анҷом медоданд ва шавҳарҳо ба занҳояшон ҳадоёе пешкаш менамуданд	این است که در این روز مردها تمام کارهای روزمره‌ی خانمان‌ و مادرهایشان‌را خود انجام می‌دادند و شوهرها به زن‌هایشان هدایایی پیشکش می‌نمودند
Мутаасифона мо имрӯз аз пайи ҳама чизи бегона ҳастем ва дар сарзамини мо Рӯзи Волентин низ роиҷ шуда	متاسفانه ما امروز از پی همه چیز بیگانه هستیم و در سرزمین ما روز والنتاین نیز رایج شده
Ин дар ҳолест ки мо намедонем худамон ҳам аз чунин рӯзҳо фаровон дар фарҳангамон дорем ки пурмаънотар ҳастанд ва порае аз ҳуввияти мо ҳастанд	این در حالیست که ما نمی‌دانیم خودمان هم از چنین روزها فراوان در فرهنگمان داریم که پرمعناتر هستند و از فرهنگ و پاره‌ای از هویت ما هستند
Ҳамон тавре ки Ҳофизи Шероз фармуда	همان طوری که حافظ شیراز فرمده
Солҳо дил талаби Ҷоми Ҷам аз мо мекард	سال‌ها دل طلب جام جم از ما می‌کرد
В-он чӣ худ дошт зи бегона таманно мекард	وآن چه خود داشت ز بیگانه تمنا می‌کرد
Дар ин рӯзи хуҷаста дуруди бекаронро ба бонувони нозанину сарбаланд ва модарони меҳрабону шерзани Эронзамин мефиристам ва дасти шуморо мебӯсам	در این روز خجسته درود بیکران‌را به بانوان نازنین و سربلند و مادران مهربان و شیرزن ایران‌زمین می‌فرستم و دست شما‌را می‌بوسم
Шумо ситораи дурахшони ин миллат ҳастед ки умеду орзу барои ояндаи неки миллатро дар қалбҳоямон ҷо додаед	شما ستاره‌ی درخشان این ملت هستید که امید و آرزو برای آینده‌ی نیک ملت‌را در قلب‌هایمان جا داده‌اید
Ба гуфтаи шоири ширинсухани эронӣ Мирзо Турсунзода	به گفته‌ی شاعر شیرین‌سخن ایرانی میرزا ترسون زاده
Зан агар оташ намебуд хом мемондем мо	زن اگر آتش نمی‌بود خام می‌ماندیم ما
Норасида бодае дар ҷом мемондем мо	نارسیده باده‌ای در جام می‌ماندیم ما
Зан агар моро набахшид умри бо вафо	زن اگر مارا نبخشید عمر با وفا
Бе тахаллус бе насаб бе ном мемондем мо	بی تخلص بی نسب بی نام می‌ماندیم ما
Мо посбону посдори ҳамешагии шумо ва ин марзу бум ҳастем	ما پاسدار و پاسبان همیشگی شما و این مرز و بوم هستیم
Осуда бошед	آسوده باشید
Матни зерро аз торнигори Як Дарвеш меоварам ва бисёр сипосгузорам	متن زیررا از تارنگار یک درویش می‌آورم و بسیار سپاسگذارم
Ин нома бори дигар собит кард ки яке аз мушколоти асосии забонию фарҳангии эрониёни Фароруд тоҷикон дабираи таҳримии сирилик аст ки ҳам дараҷаи забондониамонро фарсуда ва ҳам моро аз ҳамқавмонамон ҷудо карда аст	این نامه بار دیگر ثابت کرد که یکی از مشکالات اساسی زبانی و فرهنگی ایرانیان فرارود تاجیکان دبیره‌ی تحریمی سیریلیک است که هم درجه‌ی زبان‌دانی‌امان‌را فرسوده و هم مارا از همقومانمان جدا کرده است
Беҳрӯзи Офоқ раиси бахши Осиё ва Уқёнусияи бахши ҷаҳонии Бӣ-Бӣ-Сӣ дар ин рӯзҳо дар посух ба номаҳои бешумори равшанфикрони тоҷик ки аз наҳваи пӯшиши рӯйдодҳои Тоҷикистон тавассути шабакаи тозатаъсиси телевизюни Бӣ-Бӣ-Сии порсӣ гилоя кардаанд посухи хамсонеро ба забони инглисӣ мефиристад ки тарҷумаи порсии онро дар зер меоварем	بهروز آفاق رییس بخش آسیا و اقیانوسیه‌ی بخش جهانی بی‌بی‌سی در این روزها در پاسخ به نامه‌های بی‌شمار روشنفکران تاجیک که از نحوه‌ی پوشش رویدادهای تاجیکستان توسط شبکه‌ی تازه‌تاسیس تلویزیون بی‌بی‌سی پارسی گلایه کرده‌اند پاسخ همسانی‌را به زبان انگلیسی می‌فرستد که ترجمه‌ی پارسی آن‌را در زیر می‌آوریم
Бисёр сипосгузорам ки нигарониҳои худ дар бораи пӯшиши рӯйдодҳои Тоҷикистон тавассути бахши порсии Бӣ-Бӣ-Сиро бо мо дар миён гузошаед	بسیار سپاسگذارم که نگرانی‌های خود در باره‌ی پوشش رویدادهای تاجیکستان توسط بخش پارسی بی‌بی‌سی‌را با ما در میان گذاشته‌اید
Мо аз бозхӯрд истиқбол мекунем ва бо такя бар он ба барномаҳои худ беҳбуд мебахшем	ما از بازخزد استقبال می‌کنیم و با تکیه بر آن به برانامه‌های خود بهبود می‌بخشیم
Мо шуморе номаҳои ҳамгун дарёфт кардем ки айни номаи шумост ва ба эҳтимоли зиёд ҳамоҳанг шудаанд	ما شماری نامه‌های همگون دریافت کردیم که عین نامه‌ی شماست و با احتمال زیاد هم‌آهنگ شده‌اند
Ман ба ҳамаи фиристандаҳои ин нома ҳамин посухи зерро хоҳам фиристод	من به همه‌ی فرستنده‌های این نامه همین پاسخ زیررا خواهم فرستاد
Мо нигарониҳои шумо дар бораи телевизюни порсиро дар хайъати мудира баррасӣ кардем ва дар ҳоли анҷоми бархе тағйирот ҳастем	ما نگرانی‌های شما در باره‌ی تلویزیون پارسی‌را در هیات مدیره بررسی کردیم و در حال انجام برخی تغییرات هستیم
Замони шаҳри Душанбе дар ҷадвали эъломи пахши барномаҳо афзуда шуд	زمان شهر دوشنبه در جدول اعلام پخش برنامه‌ها افزوده شد
Бо ин тасаввур ки бештари бинандагон дар Тоҷикистон хатти порсиро намехонанд мо дар оғоз аз ин кор сарфи назар карда будем	با این تصور که بیشتر بینندگان در تاجیکستان خط پارسی‌را نمی‌خوانند ما در آغاز از این کار صرف نظر کرده بودیم
Вале мо мутаваҷҷеҳи аҳамияти намодини афзудани замони Душанбе ба ҷадвал ҳастем ва ин эродро ислоҳ кардаем	ولی ما متوجه اهمیت نمادین افزودن زمان دوشنبه به جدول هستیم و این ایرادرا اصلاح کرده‌ایم
Мо ҳамчунин қасд дорем шумори бештаре аз шаҳрҳои Тоҷикистонро шомили ҷадвали обу ҳаво кунем	ما همچنین قصد داریم شمار بیشتری از شهرهای تاجیکستان‌را شامل جدول آب و هوا کنیم
Муҳимтар аз он мушкили фаннии ирсоли филм аз Тоҷикистон ки дар оғоз вуҷуд дошт бартараф шудааст	مهمتر از آن مشکل فنی ارسال فیلم از تاجیکستان که در آغاز وجود داشت برطرف شده‌است
Умедворам то кунун мутаваҷҷеҳи ҷараёни собити гузоришҳои асили мо аз Хабарнигорамон дар Душанбе шуда бошед	امیدوارم تا کنون متوجه جریان ثابت گزارش‌های اصیل ما از خبرنگارمان در دوشنبه شده باشید
Мо ҳамчунин хабарҳои муҳимми Тоҷикистонро пахш кардаем ва дар бораи онхо бо коршиносон дар студиюҳои ланданиамон гуфтугӯҳо кардаем	ما همچنین خبرهای مهم تاجیکستان‌را پخش کرده‌ایم و در باره‌ی آن‌ها با کارشناسان در استودیوهای لندنی‌امان گفت و گوها کرده‌ایم
Ман ба шумо итминон медиҳам ки мо дар баробари бинандагони тоҷикамон ва пӯшиши рӯйдодҳои Тоҷикистон бисёр мутаъаҳҳид ҳастем	من به شما اطمینان می‌دهم که ما در باره‌ی بینندگان تاجیکمان و پوشش رویدادهای تاجیکستان بسیار متعهید هستیم
Умедворам шумо бозтоби ин мавзӯъро дар барномаҳои хабарӣ ва дигар барномаҳои телевизюни порсӣ бибинед	امیدوارم شما این بازتاب‌را در برنامه‌های تلویزیون پارسی ببنید
Дар мавриди тазаккури шумо дар бораи барномаҳои родюии тоҷикӣ бояд бигӯям ки ба далели мухолифати мақомоти Тоҷикистон бо пахши барномаҳои мо аз тариқи ду фиристандаи мавҷи-и мо дар Душанбе ва Хуҷанд ва коҳиши шадиди шумори шунавандагони мо дар Тоҷикистон маҷбур шудем соли гузашта барномаи вижаи тоҷикиро бибандем	در مورد تذکر شما در باره‌ی برنامه‌های رادیویی تاجیکی باید دگویم که به دلیل مخالفت مقامات تاجیکستان با پخش برنامه‌های ما از طریق دو فرستنده‌ی موج اف ام ما در دوشنبه و خجند و کاهش شدید شمار شنوندگان ما در تاجیکستان مجبور شدیم سال گذشته برنامه‌ی ویژه‌ی تاجیکی‌را ببندیم
Бо вуҷуди ин мо тайфи васеъе аз барномаҳои родюии порсии худро ҳифз кардаем ки барномаи мусиқии тоҷикӣ низ шомили онҳост ва шунавандагони мо метавонанд рӯи мавҷҳои кӯтоҳу миёна онро бишунаванд	با وجود این ما طیف وسیعی از برنامه‌های رادیویی پارسی خودرا حفظ کرده‌ایم که برنامه‌ی موسیقی تاجیکی نیز شامل آن‌هاست و شنوندگان ما می‌توانند روی موجهای کوتاه و میانه آن‌را بشنوند
