гимнастика	ژیمناستیک
Артвин	آرتوین
Аҷипаям	اجی‌پیام
Риза	ریزه
Қиршаҳр	قرشهر
Кишинёв	کیشیناو
Қорс	قارص
Бартин	بارتین
Кемар	کمر
Битлис	بتلیس
Бурдур	بوردور
Синоп	سینوپ
Манавгат	ماناوغات
Бингёл	بینگول
Афионқараҳисор	افیون قره‌حصار
Ёлуво	یالوا
Зонгулдак	زونگولداغ
Тунҷели	تونج‌ایلی
Дузҷе	دوزجه
Кӯтоҳия	کوتاهیه
Катманду	کاتماندو
Чорум	چوروم
Йузғот	یوزگات
Адирна	ادرنه
Билеҷик	بیله‌جک
Тукот	توقات
Олониё	آلانیا
Урла	اورلا
Гумушхона	گوموش‌خانه
Байбурт	بایبورت
Болу	بولو
Навшаҳр	نوشهر
Гебзе	گبزه
Иғдир	ایغدیر
Ниғде	نیغده
Арзанҷон	ارزنجان
Испарта	اسپارتا
Ҳебрун	الخلیل
Ушок	عشاق
Ардаҳон	اردهان
Қирқларэлӣ	قرقلرایلی
ЮНИСЕФ	یونیسف
Толибон	طالبان
Исо	عیسی
Ихвону-л-муслимин	اخوان‌المسلمین
Ҳамос	حماس
донишгоҳии Лондон	دانشگاهی لندن
Дӯкнишини Бробонт	دوک‌نشین برابانت
Дӯкнишини Вӯртемберг	دوک‌نشین وورتمبرگ
Флоренсия	فلورانس
амнияти Русия	امنیت روسیه
тоҷир	خوداشتغال
Мақбараи Уршалим	مقبره اورشلیم
НКВД	در
Брукингс	بروکینگز
Эътилофи Шимолӣ	ائتلاف شمال
саворанизом	سواره‌نظام
Абхозистон	آبخاز
Сербӣ	صرب
Ҷумҳурии Қарабоғи	جمهوری آرتساخ
Тотористон	تاتارستان
Иморати Исломии Афғонистон	امارت اسلامی افغانستان
Демократии Гурҷистон	دموکراتیک گرجستان
Бангкок	بانکوک
Феррари	فراری
Қафқозӣ	قفقاز
Мешон	میشان
Абаршаҳр	ابرشهر
Ошӯристон	آشورستان
Порс	پارس
Арманистони Сосонӣ	ارمنستان ایران
Кушоншаҳр	کوشانشهر
Гиркания	جرجان
Бунёди Темплтон	بنیاد تمپلتون
Викимедиаи	ویکی‌مدیا
Викимедиаи	ویکی‌مدیا
Озмоишгоҳҳои Белл	آزمایشگاه‌های بل
Шӯрои Амнияти Созмони Милали Муттаҳид	شورای امنیت سازمان ملل متحد
Созмони Милали Муттаҳид	سازمان ملل متحد
ЮНЕСКО	یونسکو
Донишгоҳи Калифорнияи Ҷанубӣ	دانشگاه کالیفرنیای جنوبی
Донишгоҳи Соутҳамптон	دانشگاه ساوت‌همپتون
Донишгоҳи Стэнфорд	دانشگاه استنفورد
Донишгоҳи Ню-Йорк	دانشگاه نیویورک
Донишгоҳи Сирокюз	دانشگاه سیراکیوز
Донишгоҳи Ҷорҷтаун	دانشگاه جورج‌تاون
Донишгоҳи Корнелл	دانشگاه کرنل
Донишгоҳи Чикаго	دانشگاه شیکاگو
Донишгоҳи Черновисӣ	دانشگاه چرنیوتسی
Палермо	پالرمو
Фиорентина	فیورنتینا
Милан	فوتبال آ.ث. میلان
Ювентус	یوونتوس
Реймс	فوتبال استاد رنس
Бавария	فوتبال بایرن
Манчестер Юнайтед	فوتبال منچستر یونایتد
Рум	آ. اس. رم
Аталанта	آتالانتا
Барселона	بارسلونا
Олимпик Лион	فوتبال المپیک لیون
Табор	تابور
Хомутов	خموتو
Тршебич	ترژبیچ
Ческе-Будейовитсе	چسکه بودیوویتسه
Яблонетс	یابلنتس
Трутнов	تروتنو
Нови-Йичин	نوی ییچین
Млада-Болеслав	ملادا بلسلاو
Пршибрам	پرژیبرام
Шумперк	شومپرک
Йиглава	ییهلاوا
Карвина	کاروینا
Катловӣ	کلاتوی
Плзен	پلزن
Карлови Вари	کارلووی واری
Брно	برنو
Мелник	ملنیک
Млада Вожиче	ملادا ووژیتسه
Пардубитсе	پاردوبیتسه
Острава	استراوا
Теплитсе	تپلیتسه
Либеретс	لیبرتس
Бенешов	بنشوو
Франтишкови-Лазне	فرانتیشکووی لازنی
Соколов	سکلو
Градетс-Кралове	هرادتس کرالووه
Годонин	هدنین
Крнов	کرنو
Уҳерски-Брод	اوهرسکی برود
Мост	موست
Фулнек	فولنک
Страконитсе	ستراکنیتسه
Опава	اوپاوا
Усти-над-Лабем	اوستی ناد لابم
Всетин	وستین
Пршибислав	پریبیسلاو
Оломоутс	اولوموتس
Дечин	دییچین
Раковник	راکوونیک
НБА	بسکتبال
Лигаи бартари бейсболи Амрико	لیگ برتر بیسبال آمریکا
оид ба футбол	لا
Лигаи олии Тоҷикистон	لیگ عالی تاجیکستان
Википедиа:Моҳи Осиёии Википедиа	ویکی‌پدیا:ماه آسیایی ویکی‌پدیا
Эмилиё-Румонё	امیلیا-رومانیا
Калабрия	کالابریا
Лумбордӣ	لمباردی
Тусконӣ	توسکانی
Латсио	لاتزیو
Апулия	آپولیا
Абрутси	ابروتزو
Базиликата	باسیلیکاتا
Лигуриё	لیگوریا
Байда	بیضا
Куфраҳ	کفره
Яфран	یفرن
Бенғази	بنغازی
Сурт	سرت
Таробулус-ал-Ғарб	طرابلس
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
Сабҳа	سبها
НТВ	ان‌تی‌وی
Тулӯъ	طلوع
Ман ва ту	من و تو
Ман ва ту	من و تو
Байналмилалии	بین‌المللی
Байналмилалии	بین‌المللی
Байналмилалии	بین‌المللی
Телевизиони Тоҷикистон	تلویزیون تاجیکستان
Телевизиони Тоҷикистон	تلویزیون تاجیکستان
Телевизиони Тоҷикистон	تلویزیون تاجیکستان
Телевизиони Тоҷикистон	تلویزیون تاجیکستان
Яндекс	یاندکس
Яндекс	یاندکس
Донишгоҳи иёлатии Ҷексон	دانشگاه ایالتی جکسون
донишгоҳҳои Амрико	دانشگاه‌های آمریکایی
Фарҳангистони забон ва адаби форсӣ	فرهنگستان زبان و ادب فارسی
Донишгоҳи Гунди Шопур	دانشگاه گندی‌شاپور
Донишгоҳи Гунди Шопур	دانشگاه گندی‌شاپور
Донишгоҳи Гунди Шопур	دانشگاه گندی‌شاپور
Донишгоҳи Гунди Шопур	دانشگاه گندی‌شاپور
Бунёди Викимедиа	بنیاد ویکی‌مدیا
Бунёди Викимедиа	بنیاد ویکی‌مدیا
Ассошиэйтед Пресс	آسوشیتد پرس
Ассошиэйтед Пресс	آسوشیتد پرس
Гёте	گوته
Смитсон	اسمیتسونین
Смитсон	اسمیتسونین
Смитсон	اسمیتسونین
Аморати Бухоро	امارت بخارا
Тунис Фаронса	تونس فرانسه
Богемия ва Моравия	بوهم و موراویا
Калисои Русия	کلیسای روسی
Калисои ортодоксии Лаҳистон	کلیسای ارتدکس لهستان
Калисои Руминия	کلیسای رومانی
Калисои ортодоксии Булғористон	کلیسای ارتدکس بلغارستان
Афшориён	افشاریان
Шайбониён	شیبانیان
Қутбшоҳиён	قطب‌شاهیان
Пешдодиён	پیشدادیان
Ҳошим	هاشمی
дудмони Темурӣ	دودمان تیمور
хонадони Усмонӣ	خاندان عثمانی
Атобакони Форс	اتابکان فارس
Атобакони Озарбойҷон	اتابکان آذربایجان
Дудмони Ашконӣ	دودمان اشکانی
Аштархониён	جانیان
Зангиён	زنگیان
Сомониён	سامانیان
Зиёриён	زیاریان
Африғиён	آفریغیان
Ғуриён	غوریان
Мариниён	مرینیان
Меҳрониён	مهرانیان
Салҷуқиён	سلجوق
Каёниён	کیانیان
таърихи Чин	دودمان‌های تاریخ چین
Ғазнавиён	غزنویان
Ҳахоманишиён	هخامنشیان
Бувайҳиён	بویه
Ҳафсиён	حفصیان
Қоҷориён	قاجاریان
Соҷиён	ساجیان
Муробитун	مرابطان
Алӣ	علی
Тӯлӯниён	طولونیان
Бонапартиён	بناپارت
Тоҳириён	طاهریان
Саффориён	صفاریان
Хоразмшоҳиён	خوارزمشاهیان
Боракзай	بارکزایی
Уқайлиён	عقیلیان
Дудмони Паҳлавӣ	دودمان پهلوی
Курт	کرتیان
Бовандиён	باوندیان
Антонинҳо	آنتونی نروایی
Дукнишини бузурги Финландия	دوک‌نشین بزرگ فنلاند
Фарҳангистони улуми Фаронса	فرهنگستان علوم فرانسه
Донишгоҳи Пизо	دانشگاه پیزا
Донишгоҳи Флуренс	دانشگاه فلورانس
озмоишгоҳи Ковендиш	آزمایشگاه کاوندیش
Байтулҳикма	بیت‌الحکمه
Википедиа:Лоиҳа:Ҷуғрофия	ویکی‌پدیا:ویکی‌پروژه جغرافیا
Википедиа:Феҳристи мақолаҳои муҳим	ویکی‌پدیا:مقاله‌های حیاتی
Википедиа:Лоиҳа:Ҳавонавардӣ	ویکی‌پدیا:ویکی‌پروژه هوانوردی
Лоиҳа:Забоншиносӣ	زبان‌شناسی
Википедиа:Тамизкорӣ	ویکی‌پدیا:تمیزکاری
Википедиа:Лоиҳа:Эрон	ویکی‌پدیا:پروژه ایران
Силезӣ	سیلزیایی
Википедиа:Лоиҳа:Русия	ویکی‌پدیا:ویکی‌پروژه روسیه
Википедиа:Лоиҳа:Тоҷикистон	ویکی‌پدیا:ویکی‌پروژه تاجیکستان
Лоиҳа:Футбол	فوتبال
Википедиа:Лоиҳа:Итолиё	ویکی‌پدیا:ویکی‌پروژه ایتالیا
Википедиа:Лоиҳа:Итолиё	ویکی‌پدیا:ویکی‌پروژه ایتالیا
Википедиа:Лоиҳа:Итолиё	ویکی‌پدیا:ویکی‌پروژه ایتالیا
Википедиа:Лоиҳа:Итолиё	ویکی‌پدیا:ویکی‌پروژه ایتالیا
Википедиа:Лоиҳа:Итолиё	ویکی‌پدیا:ویکی‌پروژه ایتالیا
Дижи Вавел	دژ واول
давлатии таърихи Русия	دولتی تاریخ روسیه
Тайм	تایم
Окнеле-Мари	اوکنله مر
Сирет	سیره
Кэлимэтешти-Кэчулата	کلیمانشت-کچولت
Бабадаг	ببدر
Хиршова	هرشوا
Негрешти-Оаш	نگرشتی-اوآش
Дрэгэнешти-Олт	درگنشت-اول
Бэлан	به‌له
Миовени	میوه
Мизил	میزیل
Комэнешти	کومانشت
Чеху-Силванией	سیلوانیه
Копша-Микэ	کوپشا میکا
Бэиле-Олэнешти	بیله اولانشت
Пятра-Олт	پیاترا اول
Окна-Сибиулуй	اوکنا سیبیلو
Урикани	اوریکن
Беклян	بکلئه
Абруд	ابرو
Штей	شته
Исакча	ایساکچه
Хирлэу	هرلئو
Бэиле-Говора	بیله گوورا
Бая-де-Арамэ	بیه ده ارم
Влэхитса	ولاهیتس
Бухуши	بوهوش
Текиргёл	تکیرگیول
Нэводари	نوودر
Молдова-Ноуэ	مولدوا نوئه
Ынсуратсей	اینسوهتسی
Куҷир	کوجی
Синниколау-Маре	سننیکولئو مره
Стрехая	سترهیا
Одобешти	اودوبش
Думбрэвени	دومبروه
Кавник	کوونیک
Тэлмачиу	تلمچی
Вишеу-де-Сус	وشئو ده سوس
Хатсег	هتسه
Окна-Муреш	اوکنه مورش
Йернут	یرنو
Анина	انینا
Борсек	بورسه
Сеини	سئی
Тсиклени	سیکلن
Отселу-Рошу	اوتسلو روشو
Зэрнешти	زرنشت
Сегарча	سگارچه
Себиш	سبیش
Бокша	بوکشه
Нехою	نهوی
Гэешти	گائشت
Тиргу-Лэпуш	ترگو لپو
Златна	زلاتنا
Пучиоаса	پوچوآسا
Филиаши	فیلیش
Балш	بلش
Тиргу-Нямтс	ترگو نئم
Бряза	برئزه
Чиснэдие	چیسنادیه
Сулина	سولینا
Слэник	سلانی
Симерия	سیمریا
Мэчин	مچین
Бумбешти-Жиу	بومش-ژیو
Фэурей	فاوره
Кишинеу-Криш	کیشینئو-کری
Совата	سوت
Болдешти-Скэени	بولدشت-سکئه
Хуедин	هوئدی
Фиени	فیه
Инеу	اینئو
Костешти	کوستش
Фундуля	فوندوله
Ефорие	افوریه
Борша	بورشه
Аниноаса	انینوآزا
Липова	لیپوه،
Погоанеле	پوگانل
Ковасна	کووزه
Кэлан	کلن
Вэлений-де-Мунте	ولنی ده مونته
Авриг	اوری
Винжу-Маре	ونجو مره
Михэйлешти	میهایلشت
Тиргу-Кэрбунешти	ترگو کربونشت
Синая	سینایا
Пинкота	پنکوتا
Ынтросура-Бузэулуй	اینتورسورا بوزئولو
Слэник-Молдова	سلانیک مولدووا
Будешти	بودش
Титу	تیتو
Валя-луй-Михай	وله لویی میهی
Петрила	پتریلا
Тиргу-Бужор	ترگو بوژور
Новачи	نوا
Овидиу	اویدو
Нучет	نوچه
Кристуру-Секуеск	کریستورو سکوئیسک
Ровинари	رووینر
Ҷеоаҷу	جئوآجیو
Вашкэу	وشکو
Рупя	روپه
Дета	دتا
Ришнов	رشنو
Янка	ینکه
Жимболия	جیمبولیا
Сэвени	سوه
Жибоу	ژیبو
Бая-Сприе	بیه سپیره
Кимпени	کمپه
Куртичи	کورتیچ
Хорезу	هورزو
Чернавода	چرنودا
Корабия	کوربیا
Тисмана	تیسمانا
Агнита	اگنیت
Нэдлак	ندله
Плопени	پلوپن
Тиргу-Окна	ترگو اوکنا
Виделе	ویدله
Скорничешти	سکورنیچشت
Тополовени	توپولوون
Лехлиу-Гарэ	لهلی گره
Урлатси	اورلتس
Берешти	برشت
Дарабани	دربن
Синҷеорз-Бэй	سنجئورز-بیه
Виктория	ویکتوریا
Дэрмэнешти	دارمانشت
Лудуш	لودو
Бэйкой	بیکوی
Оравитса	اورویتسا
Азуга	ازوگا
Биказ	بیکاز
Предял	پردا
Тиргу-Фрумос	ترگو فروموش
Негрешти	نگرشت
Солка	سولکا
Комарник	کومرنی
Бэиле-Херкулане	بیله هرکولانه
Гура-Хуморулуй	گورا هومورول
Алешд	الشد
Бараолт	برئول
Болинтин-Вале	بولینتین-وله
Тэшнад	تشه
Паничиу	پنچی
Отопени	اوتوپه
Шимлеу-Силванией	شیملئو سیلوانیه
Бемористони Ибни Сино	بیمارستان ابن سینا
Марказ дармон бемористон вли	مرکز درمانی بیمارستان ولی
Марказ пизишк мридин порк	مرکز پزشکی مریدین پارک
Болгрдгоҳ марказ бемористон донишгоҳ остнфурд	بالگردگاه مرکز بیمارستان دانشگاه استنفورد
донишгоҳи Невадаи Ҷанубӣ	دانشگاه مرکز نوادای جنوبی
Ҳанза	هانزا
қурайшӣ	قریش
Кунфедересиюни Олмон	کنفدراسیون آلمان
Ҳизб-ут-Таҳрир	حزب التحریر
Шабакаи Ҳаққонӣ	شبکه حقانی
Донишгоҳии Итон	دانشگاه آیتون
Ҳомилтун	همیلتون
артиш	نیروی
артиш	نیروی
артиш	نیروی
артиш	نیروی
Прадо	پرادو
Тоҷикистон	تاجیکستان
Лахденпохя	لاخدنپوخیا
Фурудгоҳи громув	فرودگاه گراموو
Каменногорск	کامنوگورسک
Сортавала	سورتاوالا
Приозерск	پریوزرسک
Кёто	کیوتو
Ҳирошима	هیروشیما
Кавасаки	کاواساکی،
Саитама	سایتاما
Кумамото	کوماموتو
Чиба	چیبا
Ниигата	نیگاتا
Китакюшу	کیتاکیوشو،
Нагоя	ناگویا،
Сендаи	سندای
Саппоро	ساپورو
Сакаи	ساکایی
Осака	اوساکا
Фукуока	فوکوئوکا
Окаяма	اوکایاما
Кобе	کوبه
Ёкоҳама	یوکوهاما
НАСА	ناسا
Еврокосмос	سازمان
Еврокосмос	سازمان
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Идораи	سیا
Мосфилм	موس‌فیلم
Мосфилм	موس‌فیلم
Мосфилм	موس‌فیلم
Мелнитса	ملنیتسا
Мелнитса	ملنیتسا
Маланже	مالانژه،
Донишгоҳи Ҳолле-Виттенберг	دانشگاه هاله
Донишгоҳи Зюрих	دانشگاه زوریخ
Донишгоҳи Лозанна	دانشگاه لوزان
Донишгоҳи Йено	دانشگاه ینا
Донишгоҳи Невшотил	دانشگاه نوشاتل
Донишгоҳи Марбург	دانشگاه ماربورگ
Донишгоҳи Фрайбург	دانشگاه فرایبورگ
Донишгоҳи Берн	دانشگاه برن
Донишгоҳи Гётеи Франкфурт	دانشگاه گوته فرانکفورت
Донишгоҳи Эрланген-Нурнберг	دانشگاه ارلانگن-نورنبرگ
Донишгоҳи Гёттинген	دانشگاه گوتینگن
Донишгоҳи Базел	دانشگاه basel
Артиши озодибахши Рус	ارتش آزادی‌بخش روسیه
Артиши озодибахши Рус	ارتش آزادی‌بخش روسیه
ордени Ғалаба	نشان پیروزی
Сурх	سرخ
Ситораи Сурх	ستاره سرخ
Вазорати мудофиаи Тоҷикистон	وزارت مدافعه تاجیکستان
Тулӯъи тилоӣ	طلوع طلایی
Фаронса	فرانسه
Албания	آلبانی
Укройн	اوکراین
Хорватия	کرواسی
Украина	سوسیالیستی اوکراین
Булғористон	بلغارستان
Гурҷистон	گرجستان
Олмон	آلمان
Рифенсберг	رایفنسبرگ
Дорен	دورن
Ҳиттизау	هیتیسو
Лорюнс	لورونس
Дамюлс	دامولس
Далас	دالاس
Иннербратс	اینربراتس
Раггал	راگال
Гашурн	گاشورن
Варт	وارت
Ҳёхст	هوخست،
Ланген-бай-Брегентс	لانگن بای برگنس
Крумбах	کرومباخ
Бартоломеберг	بارتولومابرگ
Айхенберг	آیشنبرگ،
Албершвенде	البرس‌چواند
Блудеш	بلودش
Санкт-Антон-им-Монтафон	آنتون ایم مونتافون
Фонтанелла	فونتانلا،
Гайсау	گایسو
Санкт-Геролд	زانکت گرولد
Бух	بوش،
Шталлер	استالر
Тюрингерберг	تورینگربرگ
Анделсбух	اندلزبوچ
Ау	او
Клёстерле	کلوسترل،
Санкт-Галленкирх	زانکت گالانکیرچ
Миттелберг	میتلبرگ
Меллау	ملو
Зибратсгфелл	زیبراتسگ فال
Лингенау	لینگنو
Ройте	روته
Нютсидерс	نوتسیدرس
Бюрзерберг	بورسربرگ
Билдштайн	بیلدشتاین
Зоннтаг	زونتاگ،
Лохау	لخو
Лангенегг	لانگنگ
Гисҳӯбл	گایس‌هوبل
Блонс	بلونس
Зилбертал	سیلبرتال
Фанданс	وندنس
Шнепфау	شنفو
Шоппернау	شوپرنو
Зултсберг	زلتسبرگ،
Швартсенберг	شوارتسنبرگ،
Бранд	برند
Мёггерс	موگرس
Битсау	بیتساو
Фусах	فوساخ
Бюрс	بورس
Лудеш	لودش
Лех	لش
Тюринген	تورینگن،
Тюринген	تورینگن،
Иронгом	ایران‌گام
Иронгом	ایران‌گام
Мелодия	ملودیا
Мелодия	ملودیا
Фурудгоҳи рулонд гиру	فرودگاه رولاند گرو
Фурудгоҳи мунплиҳ мдитронҳ	فرودگاه مونپلیه مدیترانه
Фурудгоҳи мунплиҳ мдитронҳ	فرودگاه مونپلیه مدیترانه
Қаҳрамони Русия	قهرمان روسیه
Қаҳрамони Шӯравӣ	قهرمان شوروی
Кумитаи Тоҷикистон	کمیته تاجیکستان
Револют	ریوالوت
Револют	ریوالوت
Викуня	ویکونیا
Алгарробо	الگارابو،
Консерваторияи давлатии Москва	کنسرواتوار دولتی مسکو
Белоярский	بلویارسکی
Керч	کرچ
Арнсберг	آرنسبرگ
Арнсберг	آرنسبرگ
Арнсберг	آرنسبرگ
Арнсберг	آرنسبرگ
Арнсберг	آرنسبرگ
Арнсберг	آرنسبرگ
Окучи	اوکوچی،
Маебару	مائه‌بارو
Мизусава	میزوساوا،
Есаши	اساشی،
Ёкаичиба	یوکای‌چیبا،
Ҳисаи	هیسای
Ҳатогая	هاتوگایا،
хизматҳо	از جمهوری ایتالیا
«Барои хизматҳои баҳрӣ»	افتخار
Гватемала	گواتمالاسیتی
Ҳоланди Ҳобсбург	هلند هابسبورگ
Радклифф	رادکلیف
Йел	یل
Колумбия	کلمبیا
Ҳарвард	هاروارد
Донишгоҳи Дерби	دانشگاه داربی
Дарҷилинг	دارجلینگ
Конгресси Амрико	کنگره آمریکا
Шӯрои Олии Шӯравӣ	شورای عالی شوروی
Олии Тоҷикистон	عالی تاجیکستان
Аморати Афғонистон	امارت افغانستان
Шаммар	شمر
Қатар	قطر
Иморати Қуртуба	امارت قرطبه
Донишгоҳи Ёрк	دانشگاه یورک
Донишгоҳи Ёрк	دانشگاه یورک
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Былина	بیلینا
Донишгоҳи Шероз	دانشگاه شیراز
Донишгоҳи Ирон	دانشگاه ایران
Хабаргузории Форс	خبرگزاری فارس
Рейтер	رویترز
Ховар	خاور
Ховар	خاور
Ленин	لنین
Гули Довудӣ	گل داودی
ордени Сурхи Меҳнат	نشان سرخ کار
Лаҳистон	افتخار تولد لهستان
Пирогов	پیروگوف
«Нишони Фахрӣ»	نشان افتخار
Инқилоби Октябр	انقلاب اکتبر
Ордени Шараф	افتخار فدراسیون روسیه
Александр Невский	الکساندر نوسکی
Кондори Анд	کندور آند
Уқоби сафед	عقاب سپید
Се Ситора	سه ستاره
салтанатии	سلطنتی
Пашми тиллоӣ	پشم زرین
КАМАЗ	کاماز
КАМАЗ	کاماز
Заводи	گاز
Татра	تاترا
Оли Муҳтоҷ	آل محتاج
Оли Муҳтоҷ	آل محتاج
Имперотурии Олмон	امپراتوری آلمان
Дания	دانمارک
Подшоҳии Фаронса	پادشاهی فرانسه
Подшоҳии Итолиё	پادشاهی ایتالیا
Подшоҳии Кабир ва Ирланд	پادشاهی کبیر و ایرلند
Мартиники	مارتینیک
Гваделупа	گوادلوپ
демократи масеҳии Олмон	دموکرات مسیحی آلمان
Белиз	بلیز
Вадутс	فادوتس
Гаага	لاهه
Утрехт	اوترخت
Дордрехт	دوردرخت
Лейден	لیدن
Делфт	دلفت
Саксонӣ	ساکسونی
Весталкаҳо	وستال
Суҳравардия	سهروردیه
Суҳравардия	سهروردیه
Вийярреал	ویارئال
Валенсия	والنسیا
Севийя	سویا
Байер	بایر
Байер	بایر
Фурудгоҳи оириш пршут клоб	فرودگاه آیریش پرشوت کلاب
Пойгоҳи ҳавоӣ ровнтс	پایگاه هوایی راونتس
Юнони Ғарбӣ	یونان غربی
Мақдунияи Марказӣ	مقدونیه مرکزی
Сипоҳи посдорони Исломии	سپاه پاسداران اسلامی
Ремс-Мур	رمس-مور
Рейн-Эрфт	راين-ارفت-كرايس
Тулайтула	تولدو،
Палма де Малйорка	پالما د مایورکا
Фуэндетудус	فوئندتدس
Молого	مالاگا
Ғарнота	گرانادا
Алкала-де-Энарес	الکالا د هنارس
Валядолид	والادولید
Мелила	ملیلیه
Қуртуба	کوردوبا
Лас Палмас	لاس پالماس
Севиля	سبیا
Алмазан	آلماسان
Мерида	مریدا
Мадрид	مادرید
Билбао	بیلبائو
Монзон	مونزان
Мурсия	مورسیا
Гуодикс	گوآدیکس
Галапагар	گالاپاگار
Алкобендас	الکوبنداز
Пергамон	پرگامون
Ҷумҳурии Эстония	جمهوری استونی
Молдова	مولدووا
Шоҳзоданишини Хуттал	شاهزاده‌نشین ختل
Институти забон ва адабиёти Рӯдакӣ	انستیتوت زبان و ادبیات رودکی
Академияи Русия	آکادمی روسیه
Донишгоҳи Канзас	دانشگاه کانزاس
Донишгоҳи Канзас	دانشگاه کانزاس
Донишгоҳи исломии имом Ибни Саъуд	دانشگاه اسلامی امام بن سعود
Ирфон	عرفان
Китобхонаи Фаронса	کتابخانه فرانسه
Донишгоҳи Мериленд	دانشگاه مریلند
Бюрои ИМА	اداره آمار
Каса Лома	کاسا لوما
Вазорати корҳои Тоҷикистон	وزارت کارهای تاجیکستان
Филаделфия	فیلادلفیا
Монессен	مانسن،
Эрӣ	اری،
Рединг	ریدینگ،
Гестапо	گشتاپو
Гестапо	گشتاپو
Шӯрои халқӣ	شورای خلق
Шӯрои халқӣ	شورای خلق
Викитека	ویکی‌نبشته
Викитека	ویکی‌نبشته
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Рамштайн	رامشتاین
Амҳерст	امهرست،
Милтун	میلتون،
Ашан	اوشان
Ашан	اوشان
Ашан	اوشان
Ашан	اوشان
Ашан	اوشان
Зен	ذن
Мунден	موندن
Сбербанк	اسبربانک
Сбербанк	اسبربانک
сармоягузорӣ	سرمایه‌گذاری
Гиссен	گیسن
Франконияи Болоӣ	فرانکن علیا
Франкони Миёна	فرانکن وسطی
Фолтси Боло	فالتس علیا
Китобхонаи Тоҷикистон	کتابخانه تاجکستان
Китобхонаи миллии тибби ИМА	کتابخانه ملی ایالات متحده
Китобхонаи Русия	کتابخانه روسیه
Китобхонаи Белорус	کتابخانه بلاروس
Порис	پاریس
Донишгоҳи Иёлати Флорида	دانشگاه ایالتی فلوریدا
Донишгоҳи Калифорния Ирвайн	دانشگاه کالیفرنیا، ارواین
Донишгоҳи Айова	دانشگاه آیووا
Донишгоҳи Урегуни Шарқӣ	دانشگاه اورگن شرقی
Донишгоҳи Небраска-Линколн	دانشگاه نبراسکا در لینکلن
Донишгоҳи Делавэр	دانشگاه دلاویر
Донишгоҳи Ғарбӣ	دانشگاه غربی
Донишгоҳи Калифорния Санта-Круз	دانشگاه کالیفرنیا، سانتا کروز
Донишгоҳи Вирҷиния	دانشگاه ویرجینیا
Донишгоҳи Висконсин дар Мадисон	دانشگاه ویسکانسین-مدیسن
Донишгоҳи иёлати Айова	دانشگاه ایالتی آیووا
Донишгоҳи Калифорния Дейвис	دانشگاه کالیفرنیا، دیویس
Донишгоҳи Мичиган	دانشگاه میشیگان
Донишгоҳи иёлати Ню-Йорк дар Буффало	دانشگاه ایالتی نیویورک در بوفالو
Донишгоҳи давлатии Техас	دانشگاه ایالتی تگزاس
Донишгоҳи Аризона	دانشگاه آریزونا
Донишгоҳи Калифорния Лос-Анҷелес	دانشگاه کالیفرنیا، لس‌آنجلس
Донишгоҳи Ҳартфорд	دانشگاه هارتفورد
фанноварии Иллинуй	فناوری ایلینوی
Донишгоҳи Баламанд	دانشگاه بلمند
Калифорния	کالیفرنیا
Донишгоҳи Томас Ҷефферсон	دانشگاه توماس جفرسون
Донишгоҳи Ҳопкинс	دانشگاه هاپکینز
Донишгоҳи Бостон	دانشگاه بوستون
Калисои Юнон	کلیسای یونان
Полинезияи Фаронса	پلی‌نزی فرانسه
Боден-Боден	بادن-بادن
Ҳизби Русия	حزب روسیه
Ҳизби Чин	حزب چین
Ҷумҳурии Молдова	جمهوری مولداوی
Ҷумҳурии Шӯравии Сотсиалистии Пасиқафқоз	جمهوری سوسیالیستی قفقاز
Гурҷистон	سوسیالیستی گرجستان
Ҷумҳурии Туркманистон	جمهوری ترکمنستان
ҶШФСР	فدراتیو روسیه شوروی
Ҷумҳурии Шӯравии	جمهوری شوروی
Узбакистон	سوسیالیستی ازبکستان
Шӯравии Хитой	شوروی چین
Қирғизистони Шӯравӣ	سوسیالیستی قرقیزستان شوروی
Белорус	سوسیالیستی بلاروس
Ҷумҳурии Шӯравии	جمهوری شوروی
Арманистон	سوسیالیستی ارمنستان
Тоҷикистон	سوسیالیستی تاجیکستان
Ҳизби либерал	حزب لیبرال
Донишгоҳи Восит	دانشگاه واسط
Франс	فرانس
миллии мудирият	ملی علوم اداری
Маркази пизишкии Седарс-Синай	مرکز پزشکی سیدرز-ساینای
Донишгоҳи Брадфорд	دانشگاه برادفورد
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
Масҷид-ул-Ҳаром	مسجد الحرام
