Сити-оф-Кентерберӣ	سیتی کنتربری
Ковнос	کاوناس
Озаску	اوزاسکو
Дили	دیلی
Чернивтси	چرنیوتسی
Одинтсово	اودینتسوفو
Матсудо	ماتسودو،
Изумисано	ایزومی‌سانو
Бурду	بوردو
Манагуа	ماناگوآ
Додома	دودوما
Ливорно	لیورنو
Флорианополис	فلوریانوپلیس
Хасавюрт	خاسافیورت
Қазон	قازان
Безансон	بزانسون
Амйен	امیان
Наҷафобод	نجف‌آباد
Бандар-Аббос	بندرعباس
Генуя	جنوا
Перм	پرم
Королёв	کورولیوف
Порт-о-Пренс	پورتو پرنس
Носирия	ناصریه
Копейск	کوپیسک
Думёт	دمیاط
Маскав	مسکو
Батайск	باتایسک
Ишиномаки	ایشینوماکی،
Бҳилой	بالای
Невинномисск	نوینومیسک
Тлакепаке	تلاکوپاکو
Намангон	نمنگان
Гуҷранвала	گوجرانواله
Туркистон	ترکستان،
Фуҷиномия	فوجی‌نومیا
Оноҷо	اونوجو،
Ангрен	آنگرن،
Масқат	مسقط
Пенза	پنزا
Манама	منامه
Ҳабикино	هابی‌کینو
Икеда	ایکه‌دا
Гуантанамо	گوانتانامو
Нассау	ناسائو
Куритиба	کوریتیبا
Уляновск	اولیانوفسک
Шаҳризо	شهرضا
Тамбов	تامبوف
Абердин	ابردین
Зама	زاما،
Глосгу	گلاسگو
Истанбул	استانبول
Аллоҳобод	الله‌آباد
Найроби	نایروبی
Терезина	ترسینا
Курск	کورسک
Веллингтон	ولینگتون
Бенғази	بنغازی
Питешти	پیتشت
Рио-де-Жанейро	ریو د ژانیرو
Милан	میلان
Витория	ویتوریا،
Кампу-Гранде	کامپوگرانده
Бхубанешвар	بوبانسور
Гургон	گرگان
Северск	سورسک
Карбало	کربلا
Ал-Мансура	منصوره
Барановичи	براناویچی
Ивано-Франковск	ایوانو-فرانکیفسک
Плоешти	پلویشت
Сзинин	جینینگ
Раққа	رقه
Дурӯд	دورود
Палмас	پالماس
Қазвин	قزوین
Турбатиҳайдария	تربت حیدریه
Клайпеда	کلایپدا
Андиҷон	اندیجان
Шаҳрисабз	شهرسبز
Саката	ساکاتا،
Ирума	ایروما،
Ломе	لومه
Сано	سانو،
Малойир	ملایر
Кога	کوگا،
Саяма	سایاما،
Навои, Узбакистон	نوایی، ازبکستان
Каноя	کانویا،
Хартум	خارطوم
Красноярск	کراسنویارسک
Киров	کیروف
Ливерпул	لیورپول
Куки	کوکی،
Кёлн	کلن
Кобул	کابل
Ҳорбин	هاربین
Трабзон	طرابزون
Обнинск	اوبنینسک
Подолск	پودولسک
Тула	تولا
Риҳ	ریه
Винтертур	ونترتور
Сибиу	سیبیو
Тривондрум	تریواندروم
Донг Хой	دونگ هوی
Бари	باری
Ганҷа	گنجه
Қаҳрамонмаръаш	قهرمان‌مرعش
Доминго	دومینگو
Нейпйидо	نایپیداو
Ғозиайнтоб	غازی عینتاب
Ивакуни	ایواکونی،
Ахмим	اخمیم
Тоиф	طائف
Кано	کانو،
Сизран	سیزران
Панама	پاناماسیتی
Тунис	تونس
Нант	نانت
Ҳунулулу	هونولولو
Гданск	گدانسک
Лима	لیما
Таробулус-ал-Ғарб	طرابلس
Гвадалаҳара	گوادالاخارا،
Арад	آراد
Сергиев Посад	سرگییف پوساد
Комаки	کوماکی،
Дарҷилинг	دارجلینگ
Даръо	درعا
Бенгуэла	بنگوئلا،
Калуга	کالوگا
Нуакшот	نوآکشوت
Бухоро	بخارا
Бузэу	بوزائو
Тартус	طرطوس
Саққиз	سقز
Хуррамобод	خرم‌آباد
Андемишк	اندیمشک
Аз-Зақозиқ	زقازیق
Нагаҳама	ناگاهاما،
Бӯшиҳр	بوشهر
Ҳомс	حمص
Ҷалолобод	جلال‌آباد
Куяба	کویابا
Денизли	دنیزلی
Дарбанд	دربند
Сабҳа	سبها
Итами	ایتامی،
Кувана	کووانا،
Моригучӣ	موریگوچی،
Сето	ستو،
Матсубара	ماتسوبارا،
Тсуруока	تسورواوکا،
Мияконоҷо	میاکونوجو،
Толдиқӯрғон	تالدیقورغان،
Флоренсия	فلورانس
Банги	بانگوئی
Кадапа	کاداپا
Орадя	اورادئا
Имфал	ایمفال
Сан-Паулу	سائوپائولو
Ҳараре	هراره
Занзибар	زنگبار
Тавой	داوی
Кошмар	کاشمر
Акнисте	آکنیسته
Балдоне	بالدون
Алоя	آلویا،
Аутсе	اوکه
Апе	آپه،
Яунелгава	یاونیلگاوا
Айнажӣ	آیناژی
Олайне	اولاین
Сесвайне	سسواین
Лудза	لودزا
Кулдига	کولدیگا
Айзпуте	آیزپوته
Айзкраукле	آیزکراوکل
Халқи Чин	خلق چین
Абхозистон	آبخاز
Ҷумҳурии Қарабоғи	جمهوری آرتساخ
Тотористон	تاتارستان
Иморати Исломии Афғонистон	امارت اسلامی افغانستان
Демократии Гурҷистон	دموکراتیک گرجستان
Туркия	ترکیه
Пинён	پینیان
Меҳрон	مهران،
Бахши Лоҳур	بخش لاهور
Бонҷул	بانجول
Панҷоб	پنجاب
Қафқозӣ	قفقاز
Мешон	میشان
Абаршаҳр	ابرشهر
Ошӯристон	آشورستان
Порс	پارس
Арманистони Сосонӣ	ارمنستان ایران
Кушоншаҳр	کوشانشهر
Гиркания	جرجان
Ахсикат	اخسیکت
Марв	مرو
Геркуланум	هرکولانیوم
Антокия	انطاکیه
Хонболиқ	خان بالق
Селевкия	سلوکیه
Баълабак	بعلبک
Ангкор	آنگکور
Искандарияи Қафқоз	اسکندریه قفقاز
Қодисия	قادسیه
Рейшаҳр	ری‌شهر
Шӯш	شوش
Ниқея	نیکائه
Посоргод	پاسارگاد
Абивард	ابیورد
Фороб	فاراب
Гундишопур	جندی شاپور
Шодиёх	شادیاخ
Акад	اکد
Истахр	اصطخر
Нисо	نسا
Бэиле-Херкулане	بیله هرکولانه
Байканд	بایکند
Чампасак	چامپاساک
Секонг	سکونگ
Вилояти Болиxан	استان
Аттапу	آتاپیو
Лоуангпабанг	لوآنگ پرابانگ
Саигнабоули	ساینیابولی
Хаммоуан	خاموان
Виентиан	وینتیان
Понгсали	فونگسالی
Салаван	سالاوان
Сиангxоанг	استان شیانگخوانگ
Вилояти Ҳоуапан	هوافان
Оудомсаи	اودومشای
Бокео	بوکیو
Саваннаxет	ساوان‌ناکت
Лоунг Намта	لوآنگ نامتا
Мадина	مدینه
Макка	مکه
Қасим	قصیم
устони Шарқӣ	استان شرقی
Вилояти Самангон	ولایت سمنگان
Вилояти Кундӯз	ولایت کندوز
Вилояти Фориёб	ولایت فاریاب
Вилояти Ҳирот	ولایت هرات
Вилояти Лағмон	ولایت لغمان
Вилояти Нуристон	ولایت نورستان
Дойкундӣ	دایکندی
Вилояти Урӯзгон	ولایت اروزگان
Вилояти Зобул	ولایت زابل
Вилояти Фароҳ	ولایت فراه
Вилояти Бомиён	ولایت بامیان
вилояти Пактико	ولایت پکتیکا
вилояти Хуст	ولایت خوست
Вилояти Ҳелманд	ولایت هلمند
Вилояти Лӯгар	ولایت لوگر
вилояти Панҷшер	ولایت پنجشیر
Вилояти Парвон	ولایت پروان
Вилояти Бодғис	ولایت بادغیس
Вилояти Сарипул	ولایت سرپل
Вилояти Кунар	ولایت کنر
вилояти Бадахшон	ولایت بدخشان
вилояти Бағлон	ولایت بغلان
Вилояти Ғур	ولایت غور
Вилояти Нимрӯз	ولایت نیمروز
вилояти Нангарҳор	ولایت ننگرهار
Вилояти Кописо	ولایت کاپیسا
Вилояти Ҷӯзҷон	ولایت جوزجان
Вилояти Тахор	ولایت تخار
вилояти Балх	ولایت بلخ
Вилояти Вардак	ولایت وردک
Вилояти Кобул	ولایت کابل
вилояти Ғазнӣ	ولایت غزنی
Илфов	ایلفوو
Пойгоҳи ҳавоӣ фритзлор	پایگاه هوایی فریتزلار
Пойгоҳи ҳавоӣ олтнштот	پایگاه هوایی آلتنشتات
Пойгоҳи ҳавоии Фассберг	پایگاه هوایی فاسبرگ
Пойгоҳи ҳавоӣ ройн	پایگاه هوایی راین
Пойгоҳи ҳавоӣ букбрг	پایگاه هوایی بوکبرگ
Пойгоҳи ҳавоӣ слҳ	پایگاه هوایی سله
Пойгоҳи ҳавоии Рот	پایگاه هوایی روث
Билак ревир	بلک ریور
Табор	تابور
Хомутов	خموتو
Тршебич	ترژبیچ
Яблонетс	یابلنتس
Трутнов	تروتنو
Нови-Йичин	نوی ییچین
Млада-Болеслав	ملادا بلسلاو
Пршибрам	پرژیبرام
Шумперк	شومپرک
Карвина	کاروینا
Катловӣ	کلاتوی
Мелник	ملنیک
Млада Вожиче	ملادا ووژیتسه
Теплитсе	تپلیتسه
Бенешов	بنشوو
Франтишкови-Лазне	فرانتیشکووی لازنی
Соколов	سکلو
Годонин	هدنین
Крнов	کرنو
Уҳерски-Брод	اوهرسکی برود
Мост	موست
Фулнек	فولنک
Страконитсе	ستراکنیتسه
Опава	اوپاوا
Всетин	وستین
Пршибислав	پریبیسلاو
Дечин	دییچین
Раковник	راکوونیک
Гран-Чако	گرن چاکو
Арафот	عرفات
Бетпак-Дала	بدبخت‌دالا
Эмилиё-Румонё	امیلیا-رومانیا
Калабрия	کالابریا
Лумбордӣ	لمباردی
Тусконӣ	توسکانی
Латсио	لاتزیو
Апулия	آپولیا
Абрутси	ابروتزو
Базиликата	باسیلیکاتا
Лигуриё	لیگوریا
Мартиники	مارتینیک
Гваделупа	گوادلوپ
Сурияи усмонӣ	سوریه عثمانی
Куфраҳ	کفره
Яфран	یفرن
Сурт	سرت
Чжеҷиан	چجیانگ
Гуйчжоу	گوئیژو
Қингҳай	چینگهای
Шаанси	شاآنشی
Ҳебей	هبئی
Гансу	گانسو
Шанси	شانشی
Анҳуй	آن‌هوئی
Ҷиангсӣ	جیانگشی
Лиаонин	لیائونینگ
Ҷилин	جی‌لین
Хэйлунҷиан	هیلونگ‌جیانگ
Фуҷиан	فوجیان
Гуандун	گوانگ‌دونگ
Йуннан	یون‌نان
Ҷиянгсу	جیانگسو
Шандун	شاندونگ
Ҳунан	هونان
Ҳубей	هوبئی
Ҳэнан	هنان
Сичуан	سیچوآن
Балкан	بالکان
Андалус	اندلس
Порт	پارت
Ҳалкидикӣ	خالکیدیکه
Юнони Қадим	یونان باستان
Осиёи Хурд	آسیای صغیر
Итолиёи Румӣ	ایتالیا رومی
Тирол	تیرول
Оулис	آئولیس
Истравшан	اسروشنه
Гузгон	گوزگان
Вюртемберг	وورتمبرگ
Бохтар	باختر
Шервон	شیروان
Гандора	گنداره
Байҳақ	بیهق
Наҷд	نجد
Ҷибол	جبال
Голисиё	گالیسیا
Босния	بوسنی
Утик	اوتیک
Хуросон	خراسان
Қубодиён	قبادیان
Мисри Бостон	مصر باستان
Бадахшон	بدخشان
Утриши	نیدراسترایش
Бангола	بنگال
Чағониён	چغانیان
Шоҳзоданишини Хуттал	شاهزاده‌نشین ختل
Галлия	گل
Мовароуннаҳр	فرارود
Аттика	آتیک
Аррон	اران
Видземе	ویدزمه
Туркистони Шарқӣ	ترکستان شرقی
устони Сорогусо	استان ساراگوسا
Бискай	بیسکای
Трутҳ	تروته
Челябинск	چلیابینسک
Гояния	گویانیا
Кавасаки	کاواساکی،
Ростови лаби Дон	روستوف-نا-دونو
Монтевидео	مونته‌ویدئو
Ресифи	ریسیف
Филаделфия	فیلادلفیا
Кито	کیتو
Яунде	یائونده
Анкара	آنکارا
Шероз	شیراز
Бусон	بوسان
Караҷ	کرج
Боку	باکو
Кувета	کویته
Қум	قم
Форталеза	فورتالزا
Читтогунг	چیتاگونگ
Машҳад	مشهد
Масейо	ماسیو
Измир	ازمیر
Белу-Оризонти	بلو هوریزونته
Ёкоҳама	یوکوهاما
Доҳа	دوحه
Лвив	لووف
Могадишо	موگادیشو
Риёз	ریاض
Табрез	تبریز
Амударё	آمودریا
Аморати Бухоро	امارت بخارا
Тунис Фаронса	تونس فرانسه
Богемия ва Моравия	بوهم و موراویا
Сурх	سرخ
Сибири Шарқӣ	سیبری شرقی
Кар	کارا
Ҷануби Хитой	جنوبی چین
Азов	آزوف
Зард	زرد
Уқёнуси Ҳинд	اقیانوس هند
Араб	عرب
Беринг	برینگ
Форс	فارس
Кариб	کارائیب
Баҳри Эгей	دریای اژه
Уқёнуси Ором	اقیانوس آرام
Баффин	بافین
Арафур	آرافورا
Баренсево	بارنتز
Норвегия	نروژ
Гренланд	گرینلند
Баҳри Миёназамин	دریای مدیترانه
Адриатикӣ	آدریاتیک
манш	مانش
Дукнишини бузурги Финландия	دوک‌نشین بزرگ فنلاند
Алеут	الوشن
Сиёҳ	سیاه
Окнеле-Мари	اوکنله مر
Сирет	سیره
Бабадаг	ببدر
Хиршова	هرشوا
Негрешти-Оаш	نگرشتی-اوآش
Дрэгэнешти-Олт	درگنشت-اول
Бэлан	به‌له
Миовени	میوه
Мизил	میزیل
Комэнешти	کومانشت
Чеху-Силванией	سیلوانیه
Копша-Микэ	کوپشا میکا
Бэиле-Олэнешти	بیله اولانشت
Пятра-Олт	پیاترا اول
Окна-Сибиулуй	اوکنا سیبیلو
Урикани	اوریکن
Беклян	بکلئه
Абруд	ابرو
Штей	شته
Исакча	ایساکچه
Хирлэу	هرلئو
Бэиле-Говора	بیله گوورا
Бая-де-Арамэ	بیه ده ارم
Влэхитса	ولاهیتس
Бухуши	بوهوش
Текиргёл	تکیرگیول
Нэводари	نوودر
Молдова-Ноуэ	مولدوا نوئه
Ынсуратсей	اینسوهتسی
Куҷир	کوجی
Синниколау-Маре	سننیکولئو مره
Стрехая	سترهیا
Одобешти	اودوبش
Думбрэвени	دومبروه
Кавник	کوونیک
Тэлмачиу	تلمچی
Вишеу-де-Сус	وشئو ده سوس
Хатсег	هتسه
Окна-Муреш	اوکنه مورش
Йернут	یرنو
Анина	انینا
Борсек	بورسه
Сеини	سئی
Тсиклени	سیکلن
Отселу-Рошу	اوتسلو روشو
Зэрнешти	زرنشت
Сегарча	سگارچه
Себиш	سبیش
Бокша	بوکشه
Нехою	نهوی
Гэешти	گائشت
Тиргу-Лэпуш	ترگو لپو
Златна	زلاتنا
Пучиоаса	پوچوآسا
Филиаши	فیلیش
Балш	بلش
Тиргу-Нямтс	ترگو نئم
Бряза	برئزه
Чиснэдие	چیسنادیه
Сулина	سولینا
Слэник	سلانی
Симерия	سیمریا
Мэчин	مچین
Бумбешти-Жиу	بومش-ژیو
Фэурей	فاوره
Кишинеу-Криш	کیشینئو-کری
Совата	سوت
Болдешти-Скэени	بولدشت-سکئه
Хуедин	هوئدی
Фиени	فیه
Инеу	اینئو
Костешти	کوستش
Фундуля	فوندوله
Ефорие	افوریه
Борша	بورشه
Аниноаса	انینوآزا
Липова	لیپوه،
Погоанеле	پوگانل
Ковасна	کووزه
Кэлан	کلن
Вэлений-де-Мунте	ولنی ده مونته
Авриг	اوری
Винжу-Маре	ونجو مره
Михэйлешти	میهایلشت
Тиргу-Кэрбунешти	ترگو کربونشت
Синая	سینایا
Пинкота	پنکوتا
Ынтросура-Бузэулуй	اینتورسورا بوزئولو
Слэник-Молдова	سلانیک مولدووا
Будешти	بودش
Титу	تیتو
Валя-луй-Михай	وله لویی میهی
Петрила	پتریلا
Тиргу-Бужор	ترگو بوژور
Новачи	نوا
Овидиу	اویدو
Нучет	نوچه
Кристуру-Секуеск	کریستورو سکوئیسک
Ровинари	رووینر
Ҷеоаҷу	جئوآجیو
Вашкэу	وشکو
Рупя	روپه
Дета	دتا
Ришнов	رشنو
Янка	ینکه
Жимболия	جیمبولیا
Сэвени	سوه
Жибоу	ژیبو
Бая-Сприе	بیه سپیره
Кимпени	کمپه
Куртичи	کورتیچ
Хорезу	هورزو
Чернавода	چرنودا
Корабия	کوربیا
Тисмана	تیسمانا
Агнита	اگنیت
Плопени	پلوپن
Тиргу-Окна	ترگو اوکنا
Виделе	ویدله
Скорничешти	سکورنیچشت
Тополовени	توپولوون
Лехлиу-Гарэ	لهلی گره
Урлатси	اورلتس
Берешти	برشت
Дарабани	دربن
Синҷеорз-Бэй	سنجئورز-بیه
Виктория	ویکتوریا
Дэрмэнешти	دارمانشت
Лудуш	لودو
Бэйкой	بیکوی
Оравитса	اورویتسا
Азуга	ازوگا
Биказ	بیکاز
Предял	پردا
Тиргу-Фрумос	ترگو فروموش
Негрешти	نگرشت
Солка	سولکا
Комарник	کومرنی
Гура-Хуморулуй	گورا هومورول
Алешд	الشد
Бараолт	برئول
Болинтин-Вале	بولینتین-وله
Тэшнад	تشه
Паничиу	پنچی
Отопени	اوتوپه
Шимлеу-Силванией	شیملئو سیلوانیه
Вилояти Ғарм	ولایت غرم
Ҳомилтун	همیلتون
Шоҳимардон	شاه مردان
Сӯх	ساخ
Адигейҳо	آدیغیه
Хайбер	خیبر،
Вазиристони Ҷанубӣ	وزیرستان جنوبی
Баҷаур	باجور،
Куррам	کورم،
Моҳманд	مهمند،
Оракзай	اورکزی،
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Вазиристони Шимолӣ	وزیرستان شمالی
Хоккайдо	هوکایدو
Чин	چین
Ракхайн	راخین
Академияи Нерӯҳои ИМА	آکادمی نیروی هوایی متحده
Ормунк	آرمونک،
Сатленд	سوتلندسیلور،
Стэнфорд	استنفورد،
Гисҳӯбл	گایس‌هوبل
Лахденпохя	لاخدنپوخیا
Фурудгоҳи громув	فرودگاه گراموو
Каменногорск	کامنوگورسک
Сортавала	سورتاوالا
Приозерск	پریوزرسک
Регистон	ریگستان
Теҳрон	تهران
Маланже	مالانژه،
Ҳарғита	هارگیتا
Салаж	سلاژ
Вранчеа	ورانچا
Биҳор	بیهور
Муреш	مورش
Аргеш	ارجش
Сучеава	سوچاوا
Бузау	بوزائو
Арад	آراد
Брашов	براشوو
Караш-Северин	کاراش-سورین
Валчеа	ولوچا
Бакау	باکائو
Телеорман	تلئورمان
Олт	اولت
Галатс	گالاتسی
Горж	گورژ
Браӣла	برئیلا
Ковасна	کوواسنا
Дамбовитса	دمبوویتسا
Алба	آلبا
Долж	دولژ
Неамтс	نامس
Вилояти Васлуи	وزلو
Меҳединтс	مهدینتسی
Ботошан	بوتوشانی
Праҳова	پراهووا
Ҳунадуара	هوندوارا
Клуж	کلوژ
Марамуреш	مارامورش
Константса	کونستانسا
Яломитса	ایالومیتسا
Калараш	کالارشی
Сибию	سیبیو
Яш	ایاشی
Бистритса-Насауд	بیستریتسا-نسئود
Сату Маре	ساتو ماره
Ҷюрҷю	جورجی
Тулчеа	تولچا
Фурудгоҳи бин‌алмилалӣ рею дужониру голиоеҳв	فرودگاه بین‌المللی ریو دوژانیرو گالیائو
Фурудгоҳи гурба‌ший	فرودگاه گریه‌شیم
Порто-Ново	پورتو نووو
Баракат	برکت
Грязи	گریازی
Қалъаи Огра	قلعه آگره
Қалъаи Лоҳур	قلعه لاهور
Габон	گابن
Фаронса	فرانسه
давлатии табии «Зоркӯл»	زارکول
Бешаи палангон	بیشه پلنگان
Даштиҷум	دشت جوم
Бодхез	حفاظت‌شده دولتی بادخیز
Албания	آلبانی
Укройн	اوکراین
Хорватия	کرواسی
Украина	سوسیالیستی اوکراین
Булғористон	بلغارستان
Олмон	آلمان
Карло	کارلو
Лоуз	لوث
Корк	کورک
Вестмийт	وست میث
Офали	افلی
Лийш	لیش
Мейо	مایو
Уотерфорд	واترفورد
Донегол	دانیگول
Викло	ویکلو
Уексфорд	وکسفورد
Моноған	مانهن
Голуэй	گالوی
Слиго	اسلایگو
Лийтрим	لیتریم
Типперейри	تیپراری
Роскоммон	رسکومون
Килдея	کیلدر
Меат	میث
Каван	کاوان
Дублин	دوبلین
Килкени	کیلکنی
Лимерик	لیمریک
Кери	کری
Клер	کلر
Лонгфорд	لانگفورد
Рифенсберг	رایفنسبرگ
Дорен	دورن
Ҳиттизау	هیتیسو
Лорюнс	لورونس
Дамюлс	دامولس
Далас	دالاس
Иннербратс	اینربراتس
Раггал	راگال
Гашурн	گاشورن
Варт	وارت
Ҳёхст	هوخست،
Ланген-бай-Брегентс	لانگن بای برگنس
Крумбах	کرومباخ
Бартоломеберг	بارتولومابرگ
Айхенберг	آیشنبرگ،
Албершвенде	البرس‌چواند
Блудеш	بلودش
Санкт-Антон-им-Монтафон	آنتون ایم مونتافون
Фонтанелла	فونتانلا،
Гайсау	گایسو
Санкт-Геролд	زانکت گرولد
Бух	بوش،
Шталлер	استالر
Тюрингерберг	تورینگربرگ
Анделсбух	اندلزبوچ
Ау	او
Клёстерле	کلوسترل،
Санкт-Галленкирх	زانکت گالانکیرچ
Миттелберг	میتلبرگ
Меллау	ملو
Зибратсгфелл	زیبراتسگ فال
Лингенау	لینگنو
Ройте	روته
Нютсидерс	نوتسیدرس
Бюрзерберг	بورسربرگ
Билдштайн	بیلدشتاین
Зоннтаг	زونتاگ،
Лохау	لخو
Лангенегг	لانگنگ
Блонс	بلونس
Зилбертал	سیلبرتال
Фанданс	وندنس
Шнепфау	شنفو
Шоппернау	شوپرنو
Зултсберг	زلتسبرگ،
Швартсенберг	شوارتسنبرگ،
Бранд	برند
Мёггерс	موگرس
Битсау	بیتساو
Фусах	فوساخ
Бюрс	بورس
Лудеш	لودش
Лех	لش
Тюринген	تورینگن،
Конти Дурҳам	کانتی دورهام
Камбрия	کامبریا
Эссекс	اسکس
Оксфордшир	آکسفوردشایر
Беркшир	برکشایر
Линколншир	لینکولن‌شایر
Йоркшири Шимолӣ	یورک‌شایر شمالی
Суффолк	سافک
Суррей	ساری
Ланкашир	لانکاشایر
Тайн ва Уир	تاین و ور
Ҳартфордшир	هرتفوردشایر
Глоукестершир	گلاسترشایر
Чешир	چشر
Шропшир	شروپ‌شایر
Нортгемптоншир	نورث‌همپتون‌شایر
Норфолк	نورفک
Ғарбӣ	غربی
Мерсисайд	مرزیساید
Дербишир	دربی‌شر
Сусекси Шарқӣ	ساسکس شرقی
Уилтшир	ویلتشایر
Лондони Бузург	لندن بزرگ
Йоркшири Ғарбӣ	یورکشایر غربی
Уорикшир	وارویک‌شایر
Лестершир	لسترشایر
Кембридҷшир	کمبریج‌شایر
Сомерсет	سامرست
Манчестери Бузург	منچستر بزرگ
Бакингемшир	باکینگهام‌شایر
Девон	دوون
Суссекси Ҷанубӣ	ساسکس غربی
Ноттингемшир	ناتینگهام‌شایر
Йоркшири Ҷанубӣ	یورک‌شایر جنوبی
Кент	کنت
Шарқӣ	شرقی
Стаффордшир	استافوردشایر
Ҳампшир	همپشایر
Дорсет	دورست
Бедфордшир	بدفوردشایر
Киликия	کیلیکیه
Миср	مصر
Чита	چیتا
Доғистон	داغستان
Худмухтори Қарабоғ	خودمختار قره‌باغ
Миколайев	میکولائیف
Викуня	ویکونیا
Алгарробо	الگارابو،
Вилояти Прае	فرای
Арнсберг	آرنسبرگ
Брумлӣ	بروملی
Садберӣ	سادبوری،
Кингстон Темза	کینگستون تیمز
Вестминстер	وست‌مینستر
Борнет	بارنت
Освестри	اوسوستری
Фурудгоҳи Схипҳол	فرودگاه اسخیپهول
Окучи	اوکوچی،
Маебару	مائه‌بارو
Мизусава	میزوساوا،
Есаши	اساشی،
Ёкаичиба	یوکای‌چیبا،
Ҳисаи	هیسای
Ҳатогая	هاتوگایا،
Фурудгоҳи саҳро мӯр	فرودگاه صحرایی مور
Пойгоҳи ҳавоӣ чтм нюл	پایگاه هوایی چتم نیول
Мийдон ҳаво нюл овтлоиинг лндинг оимпириол бич	میدان هوایی نیول اوتلایینگ لندینگ ایمپیریال بیچ
Пойгоҳи ҳавоӣ подшоҳ кувийт	پایگاه هوایی پادشاهی کویت
Пойгоҳи Нерӯи Ҳавоии Сеймор Ҷонсон	پایگاه نیرو سیمور جهنسن
Фурудгоҳи саҳро артиш остут	فرودگاه صحرایی ارتش استوت
Пойгоҳи шикор мак‌гуоир-дикс-лик‌ҳрст	پایگاه شکاری مک‌گوآیر-دیکس-لیک‌هرست
Фурудгоҳи рнтчлр филд	فرودگاه رنتچلر فیلد
Пойгоҳи нерӯе ҳаво брукли	پایگاه نیروی هوایی بروکلی
Фурудгоҳи сиро орм	فرودگاه سیرا آرمی
Марказ муҳофизат ҳаво рикн‌бикр	مرکز محافظت هوایی ریکن‌بیکر
Шоҳаншоҳии Эрон	شاهنشاهی ایران
Имперотурии Олмон	امپراتوری آلمان
ҷад	جدی
Алокӯл	آلاکول
Арал	آرال
Карпинск	کارپینسک
Зоҳия	ضاحیه
Ок-Парк	اوک پارک،
Мартон	مارتون،
Баршод-Абауй-Земплен	بورسود-اباوج-زیمپلن
Золо	زالا
Аморати Афғонистон	امارت افغانستان
Шаммар	شمر
Қатар	قطر
Иморати Қуртуба	امارت قرطبه
Брюссел	بروکسل
рӯшонӣ	روشنی
ибозия	اباضیه
Фрӣ-Стейт	ایالت
Лимпопо	لیمپوپو
устони Тронсфол	استان ترانسفال
Гаутенг	گائوتنگ
Квазулу-Натал	کوازولو-ناتال
Ғарбӣ	غربی
Глазов	گلازوف
Покачи	پوکاچی
Яртсево	یارتسفو
Ишим	ایشیم
Шумерля	شومرلیا
Кумертау	کومرتاو
Сичёвка	سیچیوفکا
Гдов	گدوف
Бирск	بیرسک
Чернушка	چرنوشکا،
Пролетарск	پرولتارسک
Темников	تمنیکوف
Мичуринск	میچورینسک
Красновишерск	کراسنویشرسک
Избербаш	ایزبرباش
Янаул	یانائول
Лангепас	لانگپاس
Малоархангелск	مالوالخانگلسک
Новотроитск	نوووترویسک
Олёкминск	اولیوکمینسک
Себеж	سبژ
Гуково	گوکوفو
Ейск	ییسم
Сорочинск	سوروچینسک
Северо-Курилск	سورو-کوریلسک
Тогучин	توگوچین
Красноуфимск	کراسنوفیمسک
Нязепетровск	نیازپتروفسک
Кандалакша	کاندالاکشا
Торжок	تورژوک
Баксан	باکسان
Верхнеуралск	ورخنئورالسک
Черногорск	چرنوگورسک
Курилск	کوریلسک
Новоуляновск	نووولیانوفسک
Кяхта	کیاختا
Орёл	اریول
Заинск	زاینسک
Спасск-Рязанский	اسپاسک-ریازانسکیی
Чегем	چگم
Пошехоне	پوشخونیه
Пит-Ях	پیت-یاخ
Анадир	آنادیر
Вязма	ویازما
Десногорск	دسنوگورسک
Купино	کوپینو
Можга	موژگا
Ртишево	رتیشچفو
Звенигово	زونیگوفو
Нерчинск	نرچینسک
Кирсанов	کیرسانوف
Стрежевой	استرژووی
Мегион	مگیون
Белёв	بلیوف
Камбарка	کامبارکا
Низомй вркуто	وورکوتا
Снежинск	اسنژینسک
Холмск	خولمسک
Южноуралск	یوژنورالسک
Зерноград	زرنوگراد
Шихани	شیخانی
Закаменск	زاکامنسک
Инта	اینتا
Невелск	نولسک
Долинск	دولینسک
Дигора	دیگورا
Переславл-Залесский	پرسلاول-زالسکیی
Кизел	کیزل
Порхов	پورخوف
Яранск	یارانسک
Волчанск	وولچانسک
Сарапул	ساراپول
Елабуга	یلابوگا
Агидел	آگیدل
Островной	اوسترونوفنوی،
Поронайск	پورونایسک
Пугачев	پوگاچیوف
Тсивилск	تسیویلسک
Южно-Сухокумск	یوژنو-سوخوکومسک
Климовск	کلیموفسک
Колпашево	کولپاشفو
Питалово	پیاتالوفو
Лгов	لگوف
Новоржев	نووورژف
Сол-Илетск	سول-ایلتسک
Бугулма	بوگولما
Гусиноозерск	گوسینوزرسک
Катав-Ивановск	کاتاف-ایوانوفسک
Сасово	ساسوفو
Верхотуре	ورخوتوریه
Емва	یموا
Кувандик	کواندیک
Егоревск	یگوریفسک
Сисерт	سیسرت
Духовшина	دوخوفشچینا
