аамм	اعم
арзанхора	ارزن خوار
арзанхӯрак	ارزن خورک
арзбар	ارض بر
арзбарӣ	ارض بري
арзёб	ارزياب
арзёбӣ	ارزيابي
арзидан	ارزيدن
арзиз	ارزيز
арзиш	ارزش
арзишгузорӣ	ارزش گذاري
арзишёбӣ	ارزش يابي
арзишманд	ارزشمند
арзишнок	ارزشناک
арзӣ	عرضي
арзкунанда	عرض کننده
арзманд	ارزمند
арзнома	عرض نامه
арзоқ	ارزاق
арзол	ارذال
арзон	ارزان
арзонбаҳо	ارزانبها
арзонӣ	ارزاني
арзонфурӯш	ارزانفروش
арзонфурӯшӣ	ارزانفروشي
ариза	عريضه
аризабар	عريضه بر
аризабардор	عريضه بردار
аризабарӣ	عريضه بري
аризабоз	عريضه باز
аризабозӣ	عريضه بازي
аризадиҳанда	عريضه دهنده
аризанавис	عريضه نويس
аризанависӣ	عريضه نويسي
аризахон	عريضه خوان
аризачӣ	عريضچي
аризачӯб	عريضه چوب
арика	اريکه
арин	عرين
арифметика	اريفمتيکه
арифметикӣ	اريفمتيکي
арифмометр	اريفمامتر
ариш	عريش
ария	اريه
арйергард	ارييرگرد
арк	ارک
аркон	ارکان
арктика	ارکتيکه
арктикӣ	ارکتيکي
арқам	ارقم
арқом	ارقام
армад	ارمد
армал	ارمل
армала	ارمله
арманда	ارمنده
арманӣ	ارمني
арманитабор	ارمني تبار
арматура	ارمتوره
арматурбанд	ارمتوربند
арматурсозӣ	ارمتورسازي
арматурчӣ	ارمتورچي
армон	ارمان
армуғон	ارمغان
армуғонӣ	ارمغاني
арнаб	ارنب
ароба	ارابه
аробагард	ارابه گرد
аробагузар	ارابه گذز
аробадаро	ارابه درا
аробакаш	ارابکش
аробакашӣ	ارابکشي
аробарон	ارابران
аробаронӣ	ارابراني
аробасавор	ارابه سوار
аробасаворӣ	ارابه سواري
аробасоз	ارابه ساز
аробасозӣ	ارابه سازي
аробахона	ارابه خانه
аробача	ارابچه
ароз	اراز
арозил	اراذل
арпабодиён	ارپه باديان
арпашолӣ	ارپه شالي
арра	اره
арравор	اره وار
аррагӣ	اره گي
аррадос	اره داس
арразабон	اره زبان
арракаш	اره کش
арракашӣ	اره کشي
аррамайда	اره ميده
аррамонанд	اره مانند
аррамоҳӣ	اره ماهي
аррамӯй	ار ه موي
аррапушт	ارّه پشت
аррапуштдор	اره پشت دار
аррода	عرّاده
арс	ارس
арса	عرصه
арсагоҳ	عرصه گاه
арсалон	ارسلان
арсинҳо	ارسينها
артезианӣ	ارتيزئني
артел	ارتيل
артериосклероз	ارتيرآسکليراز
артикл	ارتيکل
артиллерия	ارتيليريه
артист	ارتيست
артиш	ارتش
арӯз	عروض
арӯзӣ	عروضي
арӯзшинос	عروض شناس
арӯс	عروس
арӯсак	عروسک
арӯсакандоз	عروسک انداز
арӯсакбоз	عروسک باز
арӯсакбозӣ	عروسک بازي
арӯсбарон	عروسک بران
арӯсӣ	عروسي
арӯсталабон	عروس طلبان
арӯсшаванда	عروس شونده
арфа	ارفه
архаизм	ارخئزم
архар	ارخر
архей	ارخيي
археолог	ارخيآلاگ
археология	ارخي آلاگيه
архив	ارخيو
архитектор	ارخيتيکتار
архитектура	ارخيتيکتوره
арҳам	ارحم
арҳамарроҳимин	ارحم الراحمين
арҳом	ارحام
арча	ارچه
арчазор	ارچه زار
арчанд	ارچند
арчи	ارچه
арҷ	ارج
арҷал	ارجل
арҷманд	ارجمند
арҷмандӣ	ارجمندي
арш	عرش
арша	عرشه
аршад	ارشد
аршиён	عرشيان
аршӣ	عرشي
аршнишин	عرش نشين
аршпаймо	عرش پيما
асаб	عصب
асаба	عصبه
асабдард	عصب درد
асабиёна	عصبيانه
асабимизоҷ	عصبي مزاج
асабинамо	عصبي نما
асабият	عصبيت
асабӣ	عصبي
асабкашӣ	عصب کشي
асабкушӣ	عصب کشي
асабоният	عصبانيت
асабонӣ	عصباني
асабшиносӣ	عصب شناسي
асав	اسو
асад	اسد
асал	عسل
асалак	عسلک
асалпарвар	عسل پرور
асалпарварӣ	عسل پروري
асалтаъм	عسل طعم
асамм	اسم
асанн	اسن
асар	اثر
асарбахш	اثربخش
асарбахшӣ	اثربخشي
асаргузор	اثرگذار
асаргузорӣ	اثرگذاري
асардузд	اثردزد
асардуздӣ	اثردوزدي
асаркунанда	اثرکننده
асарнок	اثرناک
асарпазир	اثرپذير
асарпазирӣ	اثرپزيري
асас	عسس
асаф	اسف
асбест	اسبيست
асбоб	اسباب
асбоббарорӣ	اسباب براري
асбобдор	اسباب دار
асбобсоз	اسباب ساز
асбобсозӣ	اسباب سازي
асбобхона	اسباب خانه
асбосемент	اسباسمينت
асгудор	اسگدار
асғар	اصغر
асептика	اسيپتيکه
асетат	اسيتت
асетилен	اسيتيلن
асида	عصيده
асидоз	اسيداز
асил	اصيل
асилзода	اصيل زاده
асилзодагӣ	اصيل زاده گي
асимметрия	اسيمتريه
асинхронӣ	اسينخراني
асир	اسير
асирак	اسيرک
асирафтода	اسيرافتاده
асирвор	اسيروار
асирӣ	اسيري
аскар	عسکر
аскарбача	عسکربچه
аскарбошӣ	عسکرباشي
аскаргирӣ	عسکرگيري
аскарида	اسکريده
аскарӣ	عسکري
аскаркашӣ	عسکرکشي
аскархона	عسکرخانه
аския	اسکيه
аскиябоз	اسکيه باز
аскиягӯӣ	عسکيه گوئي
аскиягӯй	عسکي ه گوي
аскиячӣ	عسکيچي
асқол	اثقال
асл	اصل
аслам	اسلم
аслан	اصلاً
аслаъ	اصلع
аслиҳа	اسلحه
аслиҳадор	اسلحه دار
аслиҳадорӣ	اسلحه داري
аслиҳанок	اسلحه نار
аслиҳанокшавӣ	اسلحه ناکشوي
аслиҳапартоӣ	اسلحه پرتايي
аслиҳасоз	اسلحه ساز
аслиҳасозӣ	اسلحه سازي
аслиҳахона	اسلحه خانه
аслият	اصليت
аслӣ	اصلي
асло	اصلا
аслоф	اسلاف
асмар	اسمر
асмо	اسما
асно	اثنا
аснод	اسناد
асном	اصنام
асноф	اصناف
асо	عصا
асобағал	عصابغل
асобадаст	عصابدست
асозанон	عصازنان
асокаш	عصاکش
асокир	عساکر
асолат	اصالت
асомӣ	اسامي
асорат	اسارت
асоратовар	اسارت آور
асос	اساس
асоса	اثاثه
асосан	اساساً
асосгузор	اساس گذار
асосгузоранда	اساس گذارنده
асосдор	اساس دار
асосӣ	اساسي
асоснок	اساس ناک
асоснокӣ	اساس ناکي
асоснома	اساس نامه
асотир	اساطير
асотирӣ	اساطيري
асотиршинос	اساطيرشناس
асотиршиносӣ	اساطيرشناسي
асофил	اسافل
асочӯб	عصاچوب
асп	اسپ
аспа	اسپه
аспак	اسپک
аспакбозӣ	اسپک بازي
аспакӣ	اسپکي
аспангез	اسپ انگيز
аспарағм	اسپرغم
аспафкан	اسپ افکن
аспбандӣ	اسپ بندي
аспбоз	اسپ باز
аспбозӣ	اسپ بازي
аспбон	اسپ بان
аспбонӣ	اسپ باني
аспвор	اسپ وار
аспдавон	اسپ دوان
аспдавонӣ	اسپ دواني
аспдор	اسپ دار
аспдорӣ	اسپ داري
аспдузд	اسپ دزد
аспдуздӣ	اسپ دزدي
аспдӯст	اسپ دوست
аспил	اسپيل
аспирант	اسپيرنت
аспирантӣ	اسپيرنتي
аспирантура	اسپيرنتوره
аспирин	اسپيرين
аспист	اسپست
аспӣ	اسپي
аспнамад	اسپ نمد
аспона	اسپانه
асппарвар	اسپ پرور
асппарварӣ	اسپ پروري
асппой	اسپ پاي
асппойӣ	اسپ پائي
аспромкунӣ	اسپ رامکني
аспсавор	اسپ سوار
аспсаворӣ	اسپ سواري
асптоз	اسپ تاز
асптозӣ	اسپ تازي
аспхона	اسپ خانه
аспҷаллоб	اسپ جلاب
аспҷаллобӣ	اسپ جلابي
аср	عصر
асримиёнагӣ	عصرميانگي
асрина	عصرينه
асрӣ	عصري
асрор	اسرا
асрорангез	اسرارانگيز
асрорангезона	اسرارانگيزانه
асрорнок	اسرارناک
асроромез	اسرارآميز
асроромезона	اسرارآميزانه
ассало	الصلا
ассалом	السلام
ассамблея	اسمبليه
ассимилятсия	اسيميليتسيه
ассистент	اسيستنت
ассор	عصار
ассотсиатсия	اساتسئتسيه
аст	است
аста	استه
астағфируллоҳ	استغفرالله
астар	استر
астарбор	استربار
астарборӣ	استرباري
астарван	استرون
астарвор	استروار
астарворӣ	استرواري
астардор	استردار
астаршоҳӣ	استرشاهي
астероидҳо	استرائدها
астрология	استرالاگيه
астронавт	استرانوت
астронавтика	استرانوتيکه
астрономия	استراناميه
астрофизика	استرافزيکه
асфалассофилин	اسفل السافلين
асфалт	اسفلت
асфалтпӯш	اسفلت پوش
асфалуссофилин	اسفل السافلين
асфар	اصفر
асфо	اصفي
асҳал	اسهل
асҳоб	اصحاب
асъаб	اصعب
асъад	اسعد
асъор	اسعار
атавизм	اتويزم
атбоъ	اتباع
атвор	اطوار
атиббо	اطبا
атиқ	عتيق
атиқа	عتيقه
атиқафурӯш	عتيقه فروش
атиқафурӯшӣ	عتيقه فروشي
атиқашинос	عتيقه شناس
атиқӣ	عتيقي
атлант	اتلنت
атлас	اطلس
атласбоф	اطلس باف
атласбофӣ	اطلس بافي
атласӣ	اطلسي
атласкурта	اطلس کرته
атласпӯш	اطلس پوش
атмосфера	اتماسفيره
атмосферӣ	اتماسفيري
ато	عطا
атобак	اتابک
атобакон	اتابکان
атобахш	عطابخش
атола	اتاله
атолапазӣ	اتاله پزي
атолапо	اتاله پا
атолахӯр	اتاله خور
атолиқ	اتاليق
атом	اتام
атомӣ	اتامي
атопеша	عطاپيشه
аторуд	عطارد
атр	عطر
атрафзо	عطرافزا
атрафшон	عطرافشان
атрафшонӣ	عطرافشاني
атрбор	عطربار
атрбӯ	عطربو
атргардон	عطرگردان
атргирӣ	عطرگيري
атргул	عطرگل
атрдон	عطردان
атриёт	عطريات
атрӣ	عطري
атрмоя	عطرمايه
атрогин	عطرآگين
атрок	اتراک
атромез	عطرآميز
атроф	اطراف
атрофиён	اطرافيان
атрпошак	عطرپاشک
атрсой	عطرسا
атрсоз	عطرساز
атрсозӣ	عطرسازي
атрсӯз	عطرسوز
атрфазо	عطرفزا
атрфурӯш	عطرفروش
атрфурӯшӣ	عطرفروشي
атса	عطسه
атсаовар	عطسه آور
атташе	اتشي
аттестат	اتيستت
аттестатдиҳӣ	اتيستت دهي
аттестатсионӣ	اتيستت سياني
аттестатсия	اتيستتسيه
аттор	عطار
атторӣ	عطاري
аттраксион	اترکسيان
атф	عطف
атфол	اطفال
атъима	اطعمه
аудит	ائودت
аудитор	ائودتار
аудиторӣ	ائودتاري
аузубиллоҳ	اعوذ باالله
ауксион	ائوکسيان
афандигӣ	افندگي
афандӣ	افندي
аф-аф	اف اف
афв	عفو
афвнопазир	عفو ناپزير
афвот	افوات
афвоҳ	افواه
афвоҷ	افواج
афвпазирӣ	عفوپزيري
афвталабона	عفوطلبانه
афгандан	افگندن
афгона	افگانه
афгор	افگار
афғон	افغان
афғонӣ	افغاني
афдар	افدر
афзал	افضل
афзалият	افضليت
афзалӣ	افضلي
афзоиш	افزايش
афзоишнок	افزايشناک
афзор	افزار
афзорсоз	افزارساز
афзорсозӣ	افزارسازي
афзоянда	افزاينده
афзуда	افزوده
афзудагӣ	افزودگي
афзудан	افزودن
афзуданӣ	افزودني
афзун	افزون
афзунгардонӣ	افزون گرداني
афзунӣ	افزوني
афин	عفن
афиф	عفيف
афифа	عفيفه
афкананда	افکننده
афкандагӣ	افکندگي
афкор	افکار
афлесун	افليسون
афлок	افلاک
афлокӣ	افلاکي
афлокшинос	افلاک شناس
афлотуния	افلاتونيه
афлотунӣ	افلاتوني
афозил	افاضل
афоризм	افاريزم
афрод	افراد
афроз	افراز
афрохтақомат	افراخته قامت
афрохтан	افراختن
афроштан	افراشتن
афрӯз	افروز
афрӯзон	افروزان
афрӯхта	افروخته
афрӯхтагӣ	افروختگي
афрӯхтан	افروختن
афсад	افسد
афсар	افسر
афсарӣ	افسري
афсартироз	افسرطراز
афсаҳ	افصح
афсаҳбаён	افصح بيان
афсона	افسانه
афсонавӣ	افسانوي
афсонавор	افسانوار
афсонагӣ	افسانگي
афсонагӯӣ	افسانه گوئي
афсонагӯй	افسانه گوي
афсонамонанд	افسانه مانند
афсонапараст	افسانه پرست
афсонапардоз	افسانه پرداز
афсонапардозӣ	افسانه پردازي
афсонасаро	افسانه سرا
афсонасароӣ	افسانه سرائي
афсонасоз	افسانه ساز
афсонасозӣ	افسانه سازي
афсонахон	افسانه خوان
афсонахонӣ	افسانه خواني
афсонашунавӣ	افسانه شنوي
афсор	افسار
афсоргусехта	افسارگسيخته
афсун	افسون
афсунгар	افسونگر
афсунгарӣ	افسونگري
афсункор	افسون کار
афсунсоз	افسون ساز
афсунсозӣ	افسون سازي
афсунсухан	افسون سخن
афсунхон	افسون خوان
афсурда	افسرده
афсурдагӣ	افسردگي
афсурдадил	افسرده دل
афсурдадилӣ	افسرده دلي
афсурдан	افسردن
афсурдарӯй	افسرده روي
афсурдахотир	افسرده خاطر
афсурдахотирӣ	افسرده خاطري
афсурдаҷон	افسرده جان
афсурдашуда	افسرده شده
афсӯс	افسوس
афсӯсомез	افسوس آميز
афсӯсхӯрона	افسوس خورانه
афт	افت
афтасӣ	افطسي
афтидан	افتيدن
афтидамонда	افتيده مانده
афтиш	افتش
афтода	افتاده
афтодагӣ	افتادگي
афтодамонда	افتاده مانده
афтодаовоз	افتاده آواز
афтодарӯҳ	افتاده روح
афтодаҳол	افتاده حال
афтон	افتان
афтондан	افتاندن
афтонидан	افتانيدن
афтударафт	افت ودرفت
афтухез	افت و خيز
аффикс	افيکس
афҳом	افهام
афча	افچه
афшон	افشان
афшура	افشوره
афшурда	افشورده
афшурдагом	افشورده گام
афшурдан	افشوردن
афъӣ	افعي
афъол	افعال
афюн	افيون
афюнӣ	افيوني
афюнхӯр	افيون خور
ах	اخ
ахавон	اخوان
ахбор	اخبار
ахбордиҳанда	اخباردهنده
ахбордиҳӣ	اخباردهي
ахборнавис	اخبارنويس
ахборнависӣ	اخبارنويسي
ахборнома	اخبارنامه
ахгар	اخگر
ахгарвор	اخگروار
ахгаристон	اخگرستان
ахгаросо	اخگرآسا
ахгул	اخگل
ахёр	اخيار
ахз	اخذ
ахзар	اخضر
ахзарӣ	اخضري
ахир	اخير
ахиран	اخيراً
ахлоқ	اخلاق
ахлоқан	اخلاقاً
ахлоқиёт	اخلاقيات
ахлоқӣ	اخلاقي
ахлоқомӯзӣ	اخلاق آموزي
ахлот	اخلات
ахлоткашонӣ	اخلات کشاني
ахлотпартоӣ	اخلات پرتائي
ахлотрезӣ	اخلات ريزي
ахлоттӯда	اخلات توده
ахлотхона	اخلات خانه
ахлотҷой	اخلات جاي
ахлоф	اخلاف
ахраб	اخرب
ахрам	اخرم
ахта	اخته
ахтакунӣ	اخته کني
ахтар	اختر
ахтарбин	اختربين
ахтаргӯй	اخترگوي
ахтарӣ	اختري
ахтарнигорӣ	اخترنگاري
ахтарсипоҳ	اخترسپاه
ахтарсӯхта	اخترسوخته
ахтаршинос	اخترشناس
ахтаршиносӣ	اخترشناسي
ахтаршумор	اخترشمار
ахтаршуморӣ	اخترشماري
ахтахона	اخته خانه
ахтор	اخطار
ахфаш	اخفش
ахш	اخش
ахшам	اخشم
ахшеҷ	اخشيج
ахшеҷон	اخشيخان
аҳад	احد
аҳадият	احديت
аҳамм	اهم
аҳамият	اهميت
аҳамиятдор	اهميت دار
аҳамиятнок	اهميتناک
аҳамиятнокӣ	اهميتناکي
аҳбоб	احباب
аҳвал	احول
аҳвар	احور
аҳват	احوط
аҳвол	احوال
аҳволдон	احوال دان
аҳволпурсӣ	احوال پرسي
аҳволфаҳмӣ	احوال فهمي
аҳволҷӯӣ	احوال جوئي
аҳд	عهد
аҳдаб	احدب
аҳдбандӣ	عهدبندي
аҳднома	عهدنامه
аҳдоб	اهداب
аҳдос	احداث
аҳдшикан	عهدشکن
аҳдшиканӣ	عهدشکني
аҳдшиканона	عهدشکنانه
аҳён	احيان
аҳёнан	احياناً
аҳком	احکام
аҳл	اهل
аҳлият	اهليت
аҳлӣ	اهلي
аҳлона	اهلانه
аҳмақ	احمق
аҳмақӣ	احمقي
аҳмақнамо	احمق نما
аҳмақона	احمقانه
аҳмақфиреб	احمق فريب
аҳмар	احمر
аҳодис	احاديث
аҳолинишин	اهالي نشين
аҳолӣ	اهالي
аҳор	اهار
аҳраман	اهرمن
аҳреман	اهريمن
аҳриман	اهريمن
аҳром	اهرام
аҳроммонанд	اهرام مانند
аҳромшакл	اهرام شکل
аҳрор	احرار
аҳсан	احسن
аҳсант	احسنت
аҳуромаздо	اهورا مذدا
аҷаб	عجب
аҷабо	عجبا
аҷал	اجل
аҷала	عجله
аҷалгиёҳ	اجل گياه
аҷалрасида	اجل رسيده
аҷам	عجم
аҷаминажод	عجمي نژاد
аҷамӣ	عجمي
аҷдод	اجداد
аҷдодӣ	اجدادي
аҷз	عجز
аҷзо	اجزا
аҷиб	عجيب
аҷибтабиат	عجيب طبيعت
аҷибулахлоқ	عجيب الاخلاق
аҷина	اجينه
аҷинабодак	اجينه بادک
аҷиназада	اجينه زده
аҷинахона	اجينه خانه
аҷир	اجير
аҷириқ	اجيرق
аҷириқзор	اجيرقزار
аҷнабӣ	اجنبي
аҷнос	اجناس
аҷобат	عجابت
аҷобатангез	عجابت انگيز
аҷоиб	عجائب
аҷоиблибос	عجائب لباس
аҷоибот	عجائبات
аҷоибулмахлуқот	اجائب المخلوقات
аҷоибхилқат	عجائب خلقت
аҷоибхислат	عجائب خصلت
аҷоибхона	عجائب خانه
аҷоибшакл	عجائب شکل
аҷолат	عجالت
аҷониб	اجانب
аҷр	اجر
аҷриқ	اجريق
аҷром	اجرام
аҷсод	اجساد
аҷсом	اجسام
аҷузкампир	عجوزکمپير
аҷул	عجول
аҷулӣ	عجولي
аҷулона	عجولانه
ашадд	اشد
ашаддӣ	اشدي
ашан	اشن
ашақа	اشقه
ашғол	اشغال
ашё	اشياء
ашёъ	اشياع
ашир	عشير
ашк	اشک
ашкафшон	اشک افشان
ашкафшонӣ	اشک افشاني
ашкбор	اشکبار
ашкборӣ	اشکباري
ашковар	اشک آور
ашкол	اشکال
ашколуд	اشکالود
ашкониён	اشکانيان
ашкпаймо	اشک پيما
ашкполо	اشک پالا
ашкрез	اشک ريز
ашкрезӣ	اشک ريزي
ашкрезон	اشک ريزان
ашкӯб	اشکوب
ашкфишон	اشک فشان
ашкфишонӣ	اشک فشاني
ашқар	اشقر
ашна	اشنه
ашоир	عشاير
ашраф	اشرف
ашрафӣ	اشرفي
ашрор	اشرار
ашроф	اشراف
ашрофзода	اشراف زاده
ашрофона	اشرافانه
аштақ	اشتق
аштақӣ	اشتقي
ашӯла	اشوله
ашӯлагӯӣ	اشوله گوئي
ашӯлахон	اشوله خوان
ашӯлахонӣ	اشوله خواني
ашӯлачӣ	اشوله چي
ашхос	اشخاص
ашҳаб	اشهب
ашҳал	اشهل
ашҳар	اشهر
ашҷор	اشجار
ашшор	اشّار
ашъор	اشعار
аъвар	اعور
аъвон	اعوان
аъдо	اعدا
аъдод	اعداد
аъён	اعيان
аъзам	اعظم
аъзо	اعضا
аълам	اعلم
аъламӣ	اعلمي
аълодараҷа	اعليدرجه
аълосифат	اعليصفت
аълом	اعلام
аълохон	اعليخوان
аълохонӣ	اعليخواني
аълоҳазрат	اعليحضرت
аълочӣ	اعليچي
аъмаш	اعمش
аъмо	اعمي
аъмоқ	اعماق
аъмол	اعمال
аъроб	اعراب
аъробӣ	اعرابي
аъроф	اعراف
аъсоб	اعصاب
аъҷуба	اعجوبه
аъшор	اعشار
аъшорӣ	اعشاري
аэродинамика	ائرادينميکه
аэродром	ائرادرام
аэрозол	ائرازال
аэронавигатсия	ائرانويگتسيه
аэронавтика	ائرانوتيکه
аэроплан	ائراپلن
аэропорт	ائراپارت
аэростат	ائراستت
ба	به
баамд	بعمد
баақл	بعقل
баақлӣ	بعقلي
баандеша	بانديشه
баандешагӣ	بانديشگي
баандом	باندام
бабаракат	ببرکت
бабаракатӣ	ببرکتي
бабардошт	ببرداشت
бабр	ببر
бабрафкан	ببرافکن
баввоб	بواب
баввобӣ	بوابي
бавежа	بويژه
бавиҷдон	بوجدان
бавиш	بوش
бавл	بول
бавлидан	بوليدن
бавн	بون
баводӣ	بوادي
бавор	بوار
баворид	بوارد
бавориқ	بوارق
бавосир	بواسير
бавосирӣ	بواسيري
бавосита	بواسطه
бавотин	بواطن
бавоҷиб	بواجب
бавуҷудоварӣ	به وجود آوري
бавуҷудоӣ	بوجودآيي
бавуҷудорӣ	بوجودآري
бавш	بوش
бавшҷӯ	بوشجو
багнӣ	بگني
багона	بگانه
баграс	بگرس
бактар	بکتر
бағайрат	بغيرت
бағайратӣ	بغيرتي
бағайратона	بغيرتانه
бағал	بغل
бағалак	بغلک
бағаласо	بغل عصا
бағалбанд	بغل بند
бағалгоҳ	بغل گاه
бағалӣ	بغلي
бағалкаш	بغلکش
бағалкашӣ	بغل کشي
бағалкиса	بغل کيسه
бағалпанҷара	بغل پنجره
бағалток	بغل تاک
бағалтоқ	بغل تاق
бағалшох	بغل شاخ
бағбаға	بغبغه
бағдодӣ	بغدادي
бағият	بغيت
бағӣ	بغي
бағл	بغل
бағлоба	بغلابه
бағоват	بغاوت
бағоз	بغاز
бағоч	بغاچ
бағоҷ	بغاج
бағоҷкашонӣ	بغاج کشاني
бағоҷмонак	بغاج مانک
бағоҷхона	بغاج خانه
бағоят	بغايت
бағпур	بغپور
бағро	بغرا
бад	بد
бадавзоъ	بداوضاع
бадавият	بدويت
бадавӣ	بدوي
бадавлат	بدولت
бадал	بدل
бадалисозӣ	بدلي سازي
бадалиҷот	بدليجات
бадалӣ	بدلي
бадалшаванда	بدل شونده
бадалшавандагӣ	بدل شوندگي
бадалшавӣ	بدل شوي
бадамал	بدعمل
бадан	بدن
бадана	بدنه
бадандарун	بداندرون
бадандеш	بدانديش
бадандеша	بدانديشه
бадандешӣ	بدانديشي
бадандом	بداندام
баданӣ	بدني
баданҷом	بدانجام
бадар	بدر
бадараҷот	بدرجات
бадарға	بدرغه
бадарғагӣ	بدرغگي
бадарғашуда	بدرغه شده
бадард	بدرد
бадардхӯрд	بدردخورد
бадасл	بداصل
бадаст	بدست
бадаста	بدسته
бадаступо	بدست وپا
бадаступогӣ	بدست وپاگي
бадафт	بدافت
бадафъол	بدافعال
бадахлоқ	بداخلاق
бадахлоқӣ	بداخلاقي
бадахтар	بداختر
бадахтарӣ	بداختري
бадахшӣ	بدخشي
бадахшонӣ	بدخشاني
бадаҳд	بدعهد
бадаҳдӣ	بدعهدي
бадаъмол	بداعمال
бадаъмолӣ	بداعمالي
бадбадрақа	بدبدرقه
бадбанда	بدبنده
бадбандагӣ	بدبندگي
бадбахт	بدبخت
бадбахтӣ	بدبختي
бадбахтона	بدبختانه
бадбашара	بدبشره
бадбин	بدبين
бадбинӣ	بدبيني
бадбинона	بدبينانه
бадботин	بدباطن
бадбуна	بدبنه
бадбунёд	بدبنياد
бадбуриш	بدبرش
бадбурут	بدبروت
бадбӯй	بدبوي
бадбӯӣ	بدبويي
бадбӯшуда	بدبوشده
бадв	بدو
бадвазъ	بدوضع
бадвазъӣ	بدوضعي
бадвоҳима	بدواهمه
бадгавҳар	بدگوهر
бадгавҳарӣ	بدگوهري
бадгап	بدگپ
бадгапӣ	بدگپي
бадгард	بدگرد
бадгашт	بدگشت
бадгаштӣ	بدگشتي
бадгил	بدگل
бадгилӣ	بدگلي
бадгир	بدگير
бадгирӣ	بدگيري
бадгувор	بدگوار
бадгузарон	بدگذران
бадгулӯӣ	بدگلوي
бадгумон	بدگمان
бадгумонӣ	بدگماني
бадгуфтор	بدگفتار
бадгуфторӣ	بدگفتاري
бадгуҳар	بدگهر
бадгӯй	بدگوي
бадгӯӣ	بدگوئي
бадгӯшт	بدگوشت
баддарунӣ	بددروني
баддаҳан	بددهن
баддил	بددل
баддилӣ	بددلي
баддимоғ	بددماغ
баддимоғӣ	بددماغي
баддин	بددين
баддинӣ	بدديني
баддӯзӣ	بددوزي
баддӯхт	بددوخت
бадеа	بديعه
бадеиёт	بديعيات
бадеият	بديعيت
бадеӣ	بديعي
бадеулҷамол	بديع الجمال
бадеҳа	بديهه
бадеҳагӯй	بديهه گوي
бадеҳагӯӣ	بديهه گويي
бадеҳанавоз	بديهه نواز
бадеҳанавозӣ	بديهه نوازي
бадеҳатан	بديهتاً
бадеҳахон	بديهه خوان
бадеҳиёт	بديهيات
бадеҳӣ	بديهي
бадеъ	بديع
бадзабон	بدزبان
бадзабонӣ	بدزباني
бадзаҳр	بدزهر
бадзаҳра	بدزهره
бадзаҳрӣ	بدزهري
бадзин	بدزين
бадзо	بدزا
бадзот	بدذات
бадиқбол	بداقبال
бадиқболӣ	بداقبالي
бадил	بديل
бад-ин	بدين
бадиштиҳо	بداشتها
бадӣ	بدي
бадкалла	بدکلّه
бадкаш	بدکش
бадкеш	بدکيش
бадкешӣ	بدکيشي
бадкирдор	بدکردار
бадкирдорӣ	بدکرداري
бадкирдорона	بدکردارانه
бадком	بدکام
бадкома	بدکامه
бадкор	بدکار
бадкора	بدکاره
бадкорагӣ	بدکارگي
бадкорӣ	بدکاري
бадкуниш	بدکنش
бадкунишӣ	بدکنشي
бадқавл	بدقول
бадқавлӣ	بدقولي
бадқавоқ	بدقواق
бадқавоқӣ	بدقواقي
бадқавора	بدقواره
бадқаворагӣ	بدقوارگي
бадқадам	بدقدم
бадқадамӣ	بدقدمي
бадқалб	بدقلب
бадқалбӣ	بدقلبي
бадқасд	بدقصد
бадқасдӣ	بدقصدي
бадқасдона	بدقصدانه
бадқаҳр	بدقهر
бадқаҳрӣ	بدقهري
бадқаҳрона	بدقهرانه
бадқиёфа	بدقيافه
бадқиёфагӣ	بدقيافگي
бадқилиқ	بدقليق
бадқилиқӣ	بدقليقي
бадқимор	بدقمار
бадқиморӣ	بدقماري
бадлагом	بدلگام
бадлагомӣ	بدلگامي
бадлаҳҷа	بدلهجه
бадлаҷом	بدلجام
бадмаза	بدمزه
бадмазагӣ	بدمزگي
бадмазоқ	بدمذاق
бадмазҳаб	بدمذهب
бадмазҳабӣ	بدمذهبي
бадманзар	بدمنظر
бадманзарӣ	بدمنظري
бадманиш	بدمنش
бадмансаб	بد منصب
бадмаош	بدمعاش
бадмаошӣ	بدمعاشي
бадмард	بدمرد
бадмардӣ	بدمردي
бадмасир	بدمسير
бадмаст	بدمست
бадмастӣ	بدمستي
бадмаҳзар	بدمحضر
бадмеҳр	بدمهر
бадмеҳрӣ	بدمهري
бадмизоҷ	بدمزاج
бадминтон	بدمنتان
бадминтонбоз	بدمنتان باز
бадминтонбозӣ	بدمنتان بازي
бадмуомила	بدمعامله
бадмуомилагӣ	بدمعاملگي
бадмуошират	بدمعاشرت
бадмур	بدمر
баднажод	بدنژاد
бадназар	بدنظر
баднақш	بدنقش
баднамо	بدنما
баднамоӣ	بدنمايي
баднамуд	بدنمود
баднафас	بدنفس
баднафс	بدنفس
баднафсӣ	بدنفسي
баднаъл	بدنعل
баднаълӣ	بدنعلي
бадниҳод	بدنهاد
бадниҳодӣ	بدنهادي
бадният	بدنيت
бадном	بدنام
бадномӣ	بدنامي
бадномкунӣ	بدنام کني
бадо	بدا
бадоат	بداعت
бадобуҳаво	بدآبو هوا
бадоват	بداوت
бадовоз	بدآواز
бадоғ	بداغ
бадодат	بدعادت
бадоеъ	بدايع
бадоин	بدآيين
бадоғоз	بدآغاز
бадомад	بدآمد
бадомез	بدآميز
бадомӯз	بدآموز
бадомӯзӣ	بدآموزي
бадомӯхта	بدآموخته
бад-он	بدان
бадоркашӣ	بدارکشي
